brand,region,bundle_id,date,wave,raw_value,pivot_raw_value,rescaled_value
ClickUp,worldwide,2,2026-05-02,t1,10,8,125.0
Smartsheet,worldwide,2,2026-05-02,t1,2,8,25.0
Airtable,worldwide,2,2026-05-02,t1,7,8,87.5
Notion,worldwide,2,2026-05-03,t1,65,8,812.5
ClickUp,worldwide,2,2026-05-03,t1,10,8,125.0
Smartsheet,worldwide,2,2026-05-03,t1,2,8,25.0
Airtable,worldwide,2,2026-05-03,t1,7,8,87.5
Notion,worldwide,2,2026-05-04,t2,87,18,483.33
ClickUp,worldwide,2,2026-05-04,t2,22,18,122.22
Smartsheet,worldwide,2,2026-05-04,t2,7,18,38.89
Airtable,worldwide,2,2026-05-04,t2,10,18,55.56
Notion,worldwide,2,2026-05-05,t2,100,19,526.32
ClickUp,worldwide,2,2026-05-05,t2,21,19,110.53
Smartsheet,worldwide,2,2026-05-05,t2,7,19,36.84
Airtable,worldwide,2,2026-05-05,t2,12,19,63.16
Notion,worldwide,2,2026-05-06,t2,93,18,516.67
ClickUp,worldwide,2,2026-05-06,t2,20,18,111.11
Smartsheet,worldwide,2,2026-05-06,t2,7,18,38.89
Airtable,worldwide,2,2026-05-06,t2,13,18,72.22
Notion,worldwide,2,2026-05-07,t2,90,18,500.0
ClickUp,worldwide,2,2026-05-07,t2,19,18,105.56
Smartsheet,worldwide,2,2026-05-07,t2,7,18,38.89
Airtable,worldwide,2,2026-05-07,t2,12,18,66.67
Notion,worldwide,2,2026-05-08,t2,80,16,500.0
ClickUp,worldwide,2,2026-05-08,t2,17,16,106.25
Smartsheet,worldwide,2,2026-05-08,t2,5,16,31.25
Airtable,worldwide,2,2026-05-08,t2,10,16,62.5
Notion,worldwide,2,2026-05-09,t2,61,7,871.43
ClickUp,worldwide,2,2026-05-09,t2,9,7,128.57
Smartsheet,worldwide,2,2026-05-09,t2,2,7,28.57
Airtable,worldwide,2,2026-05-09,t2,7,7,100.0
Notion,worldwide,2,2026-05-10,t2,70,7,1000.0
ClickUp,worldwide,2,2026-05-10,t2,8,7,114.29
Smartsheet,worldwide,2,2026-05-10,t2,1,7,14.29
Airtable,worldwide,2,2026-05-10,t2,7,7,100.0
Basecamp,worldwide,3,2026-04-27,t1,18,100,18.0
Coda,worldwide,3,2026-04-27,t1,11,100,11.0
Wrike,worldwide,3,2026-04-27,t1,11,100,11.0
Workfront,worldwide,3,2026-04-27,t1,5,100,5.0
Basecamp,worldwide,3,2026-04-28,t1,19,93,20.43
Coda,worldwide,3,2026-04-28,t1,11,93,11.83
Wrike,worldwide,3,2026-04-28,t1,11,93,11.83
Workfront,worldwide,3,2026-04-28,t1,6,93,6.45
Basecamp,worldwide,3,2026-04-29,t1,18,93,19.35
Coda,worldwide,3,2026-04-29,t1,10,93,10.75
Wrike,worldwide,3,2026-04-29,t1,11,93,11.83
Workfront,worldwide,3,2026-04-29,t1,6,93,6.45
Basecamp,worldwide,3,2026-04-30,t1,18,90,20.0
Coda,worldwide,3,2026-04-30,t1,10,90,11.11
Wrike,worldwide,3,2026-04-30,t1,11,90,12.22
Workfront,worldwide,3,2026-04-30,t1,6,90,6.67
Basecamp,worldwide,3,2026-05-01,t1,16,66,24.24
Coda,worldwide,3,2026-05-01,t1,11,66,16.67
Wrike,worldwide,3,2026-05-01,t1,8,66,12.12
Workfront,worldwide,3,2026-05-01,t1,6,66,9.09
Basecamp,worldwide,3,2026-05-02,t1,12,38,31.58
Coda,worldwide,3,2026-05-02,t1,10,38,26.32
Wrike,worldwide,3,2026-05-02,t1,5,38,13.16
Workfront,worldwide,3,2026-05-02,t1,3,38,7.89
Basecamp,worldwide,3,2026-05-03,t1,13,39,33.33
Coda,worldwide,3,2026-05-03,t1,9,39,23.08
Wrike,worldwide,3,2026-05-03,t1,5,39,12.82
Workfront,worldwide,3,2026-05-03,t1,2,39,5.13
Basecamp,worldwide,3,2026-05-04,t2,17,93,18.28
Coda,worldwide,3,2026-05-04,t2,10,93,10.75
Wrike,worldwide,3,2026-05-04,t2,11,93,11.83
Workfront,worldwide,3,2026-05-04,t2,5,93,5.38
Basecamp,worldwide,3,2026-05-05,t2,19,94,20.21
Coda,worldwide,3,2026-05-05,t2,10,94,10.64
Wrike,worldwide,3,2026-05-05,t2,10,94,10.64
Workfront,worldwide,3,2026-05-05,t2,6,94,6.38
Basecamp,worldwide,3,2026-05-06,t2,17,93,18.28
Coda,worldwide,3,2026-05-06,t2,9,93,9.68
Wrike,worldwide,3,2026-05-06,t2,11,93,11.83
Workfront,worldwide,3,2026-05-06,t2,7,93,7.53
Basecamp,worldwide,3,2026-05-07,t2,17,93,18.28
Coda,worldwide,3,2026-05-07,t2,9,93,9.68
Wrike,worldwide,3,2026-05-07,t2,11,93,11.83
Workfront,worldwide,3,2026-05-07,t2,7,93,7.53
Basecamp,worldwide,3,2026-05-08,t2,16,79,20.25
Coda,worldwide,3,2026-05-08,t2,10,79,12.66
Wrike,worldwide,3,2026-05-08,t2,9,79,11.39
Workfront,worldwide,3,2026-05-08,t2,5,79,6.33
Basecamp,worldwide,3,2026-05-09,t2,10,37,27.03
Coda,worldwide,3,2026-05-09,t2,10,37,27.03
Wrike,worldwide,3,2026-05-09,t2,4,37,10.81
Workfront,worldwide,3,2026-05-09,t2,2,37,5.41
Basecamp,worldwide,3,2026-05-10,t2,11,36,30.56
Coda,worldwide,3,2026-05-10,t2,9,36,25.0
Wrike,worldwide,3,2026-05-10,t2,4,36,11.11
Workfront,worldwide,3,2026-05-10,t2,3,36,8.33
Linear,worldwide,4,2026-04-27,t1,1,100,1.0
Todoist,worldwide,4,2026-04-27,t1,22,100,22.0
GitHub Projects,worldwide,4,2026-04-27,t1,18,100,18.0
Motion,worldwide,4,2026-04-27,t1,1,100,1.0
Linear,worldwide,4,2026-04-28,t1,1,93,1.08
Todoist,worldwide,4,2026-04-28,t1,21,93,22.58
GitHub Projects,worldwide,4,2026-04-28,t1,20,93,21.51
Motion,worldwide,4,2026-04-28,t1,0,93,0.0
Linear,worldwide,4,2026-04-29,t1,2,93,2.15
Todoist,worldwide,4,2026-04-29,t1,20,93,21.51
GitHub Projects,worldwide,4,2026-04-29,t1,17,93,18.28
Motion,worldwide,4,2026-04-29,t1,1,93,1.08
Linear,worldwide,4,2026-04-30,t1,2,90,2.22
Todoist,worldwide,4,2026-04-30,t1,20,90,22.22
GitHub Projects,worldwide,4,2026-04-30,t1,18,90,20.0
Motion,worldwide,4,2026-04-30,t1,1,90,1.11
Linear,worldwide,4,2026-05-01,t1,1,66,1.52
Todoist,worldwide,4,2026-05-01,t1,18,66,27.27
GitHub Projects,worldwide,4,2026-05-01,t1,18,66,27.27
Motion,worldwide,4,2026-05-01,t1,1,66,1.52
Linear,worldwide,4,2026-05-02,t1,1,38,2.63
Todoist,worldwide,4,2026-05-02,t1,15,38,39.47
GitHub Projects,worldwide,4,2026-05-02,t1,19,38,50.0
Motion,worldwide,4,2026-05-02,t1,1,38,2.63
Linear,worldwide,4,2026-05-03,t1,1,39,2.56
Todoist,worldwide,4,2026-05-03,t1,17,39,43.59
GitHub Projects,worldwide,4,2026-05-03,t1,16,39,41.03
Motion,worldwide,4,2026-05-03,t1,1,39,2.56
Linear,worldwide,4,2026-05-04,t2,1,93,1.08
Todoist,worldwide,4,2026-05-04,t2,22,93,23.66
GitHub Projects,worldwide,4,2026-05-04,t2,15,93,16.13
Motion,worldwide,4,2026-05-04,t2,1,93,1.08
Linear,worldwide,4,2026-05-05,t2,1,94,1.06
Todoist,worldwide,4,2026-05-05,t2,21,94,22.34
GitHub Projects,worldwide,4,2026-05-05,t2,17,94,18.09
Motion,worldwide,4,2026-05-05,t2,1,94,1.06
Linear,worldwide,4,2026-05-06,t2,1,93,1.08
Todoist,worldwide,4,2026-05-06,t2,19,93,20.43
GitHub Projects,worldwide,4,2026-05-06,t2,18,93,19.35
Motion,worldwide,4,2026-05-06,t2,1,93,1.08
Linear,worldwide,4,2026-05-07,t2,1,93,1.08
Todoist,worldwide,4,2026-05-07,t2,20,93,21.51
GitHub Projects,worldwide,4,2026-05-07,t2,18,93,19.35
Motion,worldwide,4,2026-05-07,t2,1,93,1.08
Linear,worldwide,4,2026-05-08,t2,1,79,1.27
Todoist,worldwide,4,2026-05-08,t2,17,79,21.52
GitHub Projects,worldwide,4,2026-05-08,t2,17,79,21.52
Motion,worldwide,4,2026-05-08,t2,1,79,1.27
Linear,worldwide,4,2026-05-09,t2,2,37,5.41
Todoist,worldwide,4,2026-05-09,t2,14,37,37.84
GitHub Projects,worldwide,4,2026-05-09,t2,16,37,43.24
Motion,worldwide,4,2026-05-09,t2,1,37,2.7
Linear,worldwide,4,2026-05-10,t2,2,34,5.88
Todoist,worldwide,4,2026-05-10,t2,15,34,44.12
GitHub Projects,worldwide,4,2026-05-10,t2,17,34,50.0
Motion,worldwide,4,2026-05-10,t2,1,34,2.94
Height,worldwide,5,2026-04-27,t1,0,40,0.0
Height,worldwide,5,2026-04-28,t1,0,37,0.0
Height,worldwide,5,2026-04-29,t1,0,38,0.0
Height,worldwide,5,2026-04-30,t1,0,36,0.0
Height,worldwide,5,2026-05-01,t1,0,27,0.0
Height,worldwide,5,2026-05-02,t1,0,15,0.0
Height,worldwide,5,2026-05-03,t1,0,16,0.0
Height,worldwide,5,2026-05-04,t2,0,38,0.0
Height,worldwide,5,2026-05-05,t2,0,38,0.0
Height,worldwide,5,2026-05-06,t2,0,37,0.0
Height,worldwide,5,2026-05-07,t2,0,38,0.0
Height,worldwide,5,2026-05-08,t2,0,32,0.0
Height,worldwide,5,2026-05-09,t2,0,15,0.0
Height,worldwide,5,2026-05-10,t2,1,14,7.14
Asana,US,1,2026-04-27,t1,37,37,100.0
Monday,US,1,2026-04-27,t1,44,37,118.92
Jira,US,1,2026-04-27,t1,85,37,229.73
Trello,US,1,2026-04-27,t1,35,37,94.59
Confluence,US,1,2026-04-27,t1,32,37,86.49
Asana,US,1,2026-04-28,t1,36,36,100.0
Monday,US,1,2026-04-28,t1,33,36,91.67
Jira,US,1,2026-04-28,t1,100,36,277.78
Trello,US,1,2026-04-28,t1,32,36,88.89
Confluence,US,1,2026-04-28,t1,37,36,102.78
Asana,US,1,2026-04-29,t1,35,35,100.0
Monday,US,1,2026-04-29,t1,27,35,77.14
Jira,US,1,2026-04-29,t1,92,35,262.86
Trello,US,1,2026-04-29,t1,33,35,94.29
Confluence,US,1,2026-04-29,t1,38,35,108.57
Asana,US,1,2026-04-30,t1,35,35,100.0
Monday,US,1,2026-04-30,t1,26,35,74.29
Jira,US,1,2026-04-30,t1,89,35,254.29
Trello,US,1,2026-04-30,t1,32,35,91.43
Confluence,US,1,2026-04-30,t1,35,35,100.0
Asana,US,1,2026-05-01,t1,31,31,100.0
Monday,US,1,2026-05-01,t1,23,31,74.19
Jira,US,1,2026-05-01,t1,77,31,248.39
Trello,US,1,2026-05-01,t1,30,31,96.77
Confluence,US,1,2026-05-01,t1,29,31,93.55
Asana,US,1,2026-05-02,t1,13,13,100.0
Monday,US,1,2026-05-02,t1,11,13,84.62
Jira,US,1,2026-05-02,t1,29,13,223.08
Trello,US,1,2026-05-02,t1,31,13,238.46
Confluence,US,1,2026-05-02,t1,10,13,76.92
Asana,US,1,2026-05-03,t1,13,13,100.0
Monday,US,1,2026-05-03,t1,9,13,69.23
Jira,US,1,2026-05-03,t1,19,13,146.15
Trello,US,1,2026-05-03,t1,33,13,253.85
Confluence,US,1,2026-05-03,t1,8,13,61.54
Asana,US,1,2026-05-04,t2,34,34,100.0
Monday,US,1,2026-05-04,t2,35,34,102.94
Jira,US,1,2026-05-04,t2,83,34,244.12
Trello,US,1,2026-05-04,t2,31,34,91.18
Confluence,US,1,2026-05-04,t2,35,34,102.94
Asana,US,1,2026-05-05,t2,37,37,100.0
Monday,US,1,2026-05-05,t2,31,37,83.78
Jira,US,1,2026-05-05,t2,89,37,240.54
Trello,US,1,2026-05-05,t2,30,37,81.08
Confluence,US,1,2026-05-05,t2,34,37,91.89
Asana,US,1,2026-05-06,t2,38,38,100.0
Monday,US,1,2026-05-06,t2,26,38,68.42
Jira,US,1,2026-05-06,t2,93,38,244.74
Trello,US,1,2026-05-06,t2,32,38,84.21
Confluence,US,1,2026-05-06,t2,36,38,94.74
Asana,US,1,2026-05-07,t2,33,33,100.0
Monday,US,1,2026-05-07,t2,27,33,81.82
Jira,US,1,2026-05-07,t2,92,33,278.79
Trello,US,1,2026-05-07,t2,28,33,84.85
Confluence,US,1,2026-05-07,t2,37,33,112.12
Asana,US,1,2026-05-08,t2,31,31,100.0
Monday,US,1,2026-05-08,t2,22,31,70.97
Jira,US,1,2026-05-08,t2,75,31,241.94
Trello,US,1,2026-05-08,t2,37,31,119.35
Confluence,US,1,2026-05-08,t2,30,31,96.77
Asana,US,1,2026-05-09,t2,11,11,100.0
Monday,US,1,2026-05-09,t2,7,11,63.64
Jira,US,1,2026-05-09,t2,21,11,190.91
Trello,US,1,2026-05-09,t2,27,11,245.45
Confluence,US,1,2026-05-09,t2,9,11,81.82
Asana,US,1,2026-05-10,t2,10,10,100.0
Monday,US,1,2026-05-10,t2,8,10,80.0
Jira,US,1,2026-05-10,t2,21,10,210.0
Trello,US,1,2026-05-10,t2,45,10,450.0
Confluence,US,1,2026-05-10,t2,8,10,80.0
Notion,US,2,2026-04-27,t1,93,41,226.83
ClickUp,US,2,2026-04-27,t1,32,41,78.05
Smartsheet,US,2,2026-04-27,t1,34,41,82.93
Airtable,US,2,2026-04-27,t1,26,41,63.41
Notion,US,2,2026-04-28,t1,100,40,250.0
ClickUp,US,2,2026-04-28,t1,27,40,67.5
Smartsheet,US,2,2026-04-28,t1,32,40,80.0
Airtable,US,2,2026-04-28,t1,27,40,67.5
Notion,US,2,2026-04-29,t1,92,39,235.9
ClickUp,US,2,2026-04-29,t1,31,39,79.49
Smartsheet,US,2,2026-04-29,t1,30,39,76.92
Airtable,US,2,2026-04-29,t1,27,39,69.23
Notion,US,2,2026-04-30,t1,97,39,248.72
ClickUp,US,2,2026-04-30,t1,26,39,66.67
Smartsheet,US,2,2026-04-30,t1,31,39,79.49
Airtable,US,2,2026-04-30,t1,26,39,66.67
Notion,US,2,2026-05-01,t1,84,35,240.0
ClickUp,US,2,2026-05-01,t1,23,35,65.71
Smartsheet,US,2,2026-05-01,t1,30,35,85.71
Airtable,US,2,2026-05-01,t1,24,35,68.57
Notion,US,2,2026-05-02,t1,67,15,446.67
ClickUp,US,2,2026-05-02,t1,12,15,80.0
Smartsheet,US,2,2026-05-02,t1,7,15,46.67
Airtable,US,2,2026-05-02,t1,12,15,80.0
Notion,US,2,2026-05-03,t1,73,14,521.43
ClickUp,US,2,2026-05-03,t1,10,14,71.43
Smartsheet,US,2,2026-05-03,t1,6,14,42.86
Airtable,US,2,2026-05-03,t1,12,14,85.71
Notion,US,2,2026-05-04,t2,90,38,236.84
ClickUp,US,2,2026-05-04,t2,25,38,65.79
Smartsheet,US,2,2026-05-04,t2,34,38,89.47
Airtable,US,2,2026-05-04,t2,26,38,68.42
Notion,US,2,2026-05-05,t2,90,41,219.51
ClickUp,US,2,2026-05-05,t2,26,41,63.41
Smartsheet,US,2,2026-05-05,t2,35,41,85.37
Airtable,US,2,2026-05-05,t2,26,41,63.41
Notion,US,2,2026-05-06,t2,95,42,226.19
ClickUp,US,2,2026-05-06,t2,25,42,59.52
Smartsheet,US,2,2026-05-06,t2,35,42,83.33
Airtable,US,2,2026-05-06,t2,27,42,64.29
Notion,US,2,2026-05-07,t2,93,37,251.35
ClickUp,US,2,2026-05-07,t2,26,37,70.27
Smartsheet,US,2,2026-05-07,t2,31,37,83.78
Airtable,US,2,2026-05-07,t2,26,37,70.27
Notion,US,2,2026-05-08,t2,84,34,247.06
ClickUp,US,2,2026-05-08,t2,21,34,61.76
Smartsheet,US,2,2026-05-08,t2,28,34,82.35
Airtable,US,2,2026-05-08,t2,23,34,67.65
Notion,US,2,2026-05-09,t2,63,12,525.0
ClickUp,US,2,2026-05-09,t2,10,12,83.33
Smartsheet,US,2,2026-05-09,t2,6,12,50.0
Airtable,US,2,2026-05-09,t2,11,12,91.67
Notion,US,2,2026-05-10,t2,67,11,609.09
ClickUp,US,2,2026-05-10,t2,10,11,90.91
Smartsheet,US,2,2026-05-10,t2,4,11,36.36
Airtable,US,2,2026-05-10,t2,10,11,90.91
Basecamp,US,3,2026-04-27,t1,24,96,25.0
Coda,US,3,2026-04-27,t1,11,96,11.46
Wrike,US,3,2026-04-27,t1,15,96,15.62
Workfront,US,3,2026-04-27,t1,9,96,9.38
Basecamp,US,3,2026-04-28,t1,24,93,25.81
Coda,US,3,2026-04-28,t1,11,93,11.83
Wrike,US,3,2026-04-28,t1,15,93,16.13
Workfront,US,3,2026-04-28,t1,11,93,11.83
Basecamp,US,3,2026-04-29,t1,22,93,23.66
Coda,US,3,2026-04-29,t1,10,93,10.75
Wrike,US,3,2026-04-29,t1,14,93,15.05
Workfront,US,3,2026-04-29,t1,13,93,13.98
Basecamp,US,3,2026-04-30,t1,23,92,25.0
Coda,US,3,2026-04-30,t1,12,92,13.04
Wrike,US,3,2026-04-30,t1,14,92,15.22
Workfront,US,3,2026-04-30,t1,11,92,11.96
Basecamp,US,3,2026-05-01,t1,22,82,26.83
Coda,US,3,2026-05-01,t1,10,82,12.2
Wrike,US,3,2026-05-01,t1,11,82,13.41
Workfront,US,3,2026-05-01,t1,9,82,10.98
Basecamp,US,3,2026-05-02,t1,14,34,41.18
Coda,US,3,2026-05-02,t1,9,34,26.47
Wrike,US,3,2026-05-02,t1,3,34,8.82
Workfront,US,3,2026-05-02,t1,2,34,5.88
Basecamp,US,3,2026-05-03,t1,14,33,42.42
Coda,US,3,2026-05-03,t1,9,33,27.27
Wrike,US,3,2026-05-03,t1,4,33,12.12
Workfront,US,3,2026-05-03,t1,2,33,6.06
Basecamp,US,3,2026-05-04,t2,21,89,23.6
Coda,US,3,2026-05-04,t2,11,89,12.36
Wrike,US,3,2026-05-04,t2,14,89,15.73
Workfront,US,3,2026-05-04,t2,10,89,11.24
Basecamp,US,3,2026-05-05,t2,21,96,21.88
Coda,US,3,2026-05-05,t2,9,96,9.38
Wrike,US,3,2026-05-05,t2,14,96,14.58
Workfront,US,3,2026-05-05,t2,11,96,11.46
Basecamp,US,3,2026-05-06,t2,22,100,22.0
Coda,US,3,2026-05-06,t2,12,100,12.0
Wrike,US,3,2026-05-06,t2,15,100,15.0
Workfront,US,3,2026-05-06,t2,14,100,14.0
Basecamp,US,3,2026-05-07,t2,23,88,26.14
Coda,US,3,2026-05-07,t2,10,88,11.36
Wrike,US,3,2026-05-07,t2,14,88,15.91
Workfront,US,3,2026-05-07,t2,13,88,14.77
Basecamp,US,3,2026-05-08,t2,20,80,25.0
Coda,US,3,2026-05-08,t2,11,80,13.75
Wrike,US,3,2026-05-08,t2,11,80,13.75
Workfront,US,3,2026-05-08,t2,9,80,11.25
Basecamp,US,3,2026-05-09,t2,11,28,39.29
Coda,US,3,2026-05-09,t2,9,28,32.14
Wrike,US,3,2026-05-09,t2,3,28,10.71
Workfront,US,3,2026-05-09,t2,1,28,3.57
Basecamp,US,3,2026-05-10,t2,8,26,30.77
Coda,US,3,2026-05-10,t2,11,26,42.31
Wrike,US,3,2026-05-10,t2,3,26,11.54
Workfront,US,3,2026-05-10,t2,2,26,7.69
Linear,US,4,2026-04-27,t1,1,93,1.08
Todoist,US,4,2026-04-27,t1,19,93,20.43
GitHub Projects,US,4,2026-04-27,t1,12,93,12.9
Motion,US,4,2026-04-27,t1,1,93,1.08
Linear,US,4,2026-04-28,t1,1,100,1.0
Todoist,US,4,2026-04-28,t1,19,100,19.0
GitHub Projects,US,4,2026-04-28,t1,11,100,11.0
Motion,US,4,2026-04-28,t1,0,100,0.0
Linear,US,4,2026-04-29,t1,1,96,1.04
Todoist,US,4,2026-04-29,t1,18,96,18.75
GitHub Projects,US,4,2026-04-29,t1,10,96,10.42
Motion,US,4,2026-04-29,t1,0,96,0.0
Linear,US,4,2026-04-30,t1,1,90,1.11
Todoist,US,4,2026-04-30,t1,16,90,17.78
GitHub Projects,US,4,2026-04-30,t1,10,90,11.11
Motion,US,4,2026-04-30,t1,0,90,0.0
Linear,US,4,2026-05-01,t1,2,84,2.38
Todoist,US,4,2026-05-01,t1,15,84,17.86
GitHub Projects,US,4,2026-05-01,t1,8,84,9.52
Motion,US,4,2026-05-01,t1,0,84,0.0
Linear,US,4,2026-05-02,t1,1,34,2.94
Todoist,US,4,2026-05-02,t1,12,34,35.29
GitHub Projects,US,4,2026-05-02,t1,7,34,20.59
Motion,US,4,2026-05-02,t1,0,34,0.0
Linear,US,4,2026-05-03,t1,1,33,3.03
Todoist,US,4,2026-05-03,t1,14,33,42.42
GitHub Projects,US,4,2026-05-03,t1,8,33,24.24
Motion,US,4,2026-05-03,t1,0,33,0.0
Linear,US,4,2026-05-04,t2,1,91,1.1
Todoist,US,4,2026-05-04,t2,18,91,19.78
GitHub Projects,US,4,2026-05-04,t2,8,91,8.79
Motion,US,4,2026-05-04,t2,0,91,0.0
Linear,US,4,2026-05-05,t2,1,99,1.01
Todoist,US,4,2026-05-05,t2,17,99,17.17
GitHub Projects,US,4,2026-05-05,t2,9,99,9.09
Motion,US,4,2026-05-05,t2,0,99,0.0
Linear,US,4,2026-05-06,t2,1,100,1.0
Todoist,US,4,2026-05-06,t2,17,100,17.0
GitHub Projects,US,4,2026-05-06,t2,10,100,10.0
Motion,US,4,2026-05-06,t2,1,100,1.0
Linear,US,4,2026-05-07,t2,1,85,1.18
Todoist,US,4,2026-05-07,t2,18,85,21.18
GitHub Projects,US,4,2026-05-07,t2,8,85,9.41
Motion,US,4,2026-05-07,t2,0,85,0.0
Linear,US,4,2026-05-08,t2,1,79,1.27
Todoist,US,4,2026-05-08,t2,15,79,18.99
GitHub Projects,US,4,2026-05-08,t2,8,79,10.13
Motion,US,4,2026-05-08,t2,0,79,0.0
Linear,US,4,2026-05-09,t2,1,28,3.57
Todoist,US,4,2026-05-09,t2,12,28,42.86
GitHub Projects,US,4,2026-05-09,t2,7,28,25.0
Motion,US,4,2026-05-09,t2,0,28,0.0
Linear,US,4,2026-05-10,t2,0,26,0.0
Todoist,US,4,2026-05-10,t2,10,26,38.46
GitHub Projects,US,4,2026-05-10,t2,10,26,38.46
