brand,panel_model,frame,mentioned,rank
Grado,gemini-2.5-flash,q2_enthusiast,0,
Sony,gemini-2.5-flash,q2_enthusiast,0,
Audio-Technica,gemini-2.5-flash,q2_enthusiast,0,
Stax,gemini-2.5-flash,q2_enthusiast,0,
Koss,gemini-2.5-flash,q2_enthusiast,0,
Audeze,gemini-2.5-flash,q2_enthusiast,0,
HiFiMan,gemini-2.5-flash,q2_enthusiast,0,
Focal,gemini-2.5-flash,q2_enthusiast,0,
Meze,gemini-2.5-flash,q2_enthusiast,0,
ZMF Headphones,gemini-2.5-flash,q2_enthusiast,0,
Spirit Torino,gemini-2.5-flash,q2_enthusiast,0,
Final Audio,gemini-2.5-flash,q2_enthusiast,0,
Dan Clark Audio,gemini-2.5-flash,q2_enthusiast,0,
Sennheiser,gemini-2.5-flash-lite,q2_enthusiast,1,
Beyerdynamic,gemini-2.5-flash-lite,q2_enthusiast,1,5
Denon,gemini-2.5-flash-lite,q2_enthusiast,0,
Grado,gemini-2.5-flash-lite,q2_enthusiast,0,
Sony,gemini-2.5-flash-lite,q2_enthusiast,0,
Audio-Technica,gemini-2.5-flash-lite,q2_enthusiast,1,10
Stax,gemini-2.5-flash-lite,q2_enthusiast,0,
Koss,gemini-2.5-flash-lite,q2_enthusiast,0,
Audeze,gemini-2.5-flash-lite,q2_enthusiast,0,
HiFiMan,gemini-2.5-flash-lite,q2_enthusiast,1,14
Focal,gemini-2.5-flash-lite,q2_enthusiast,1,19
Meze,gemini-2.5-flash-lite,q2_enthusiast,0,
ZMF Headphones,gemini-2.5-flash-lite,q2_enthusiast,0,
Spirit Torino,gemini-2.5-flash-lite,q2_enthusiast,0,
Final Audio,gemini-2.5-flash-lite,q2_enthusiast,0,
Dan Clark Audio,gemini-2.5-flash-lite,q2_enthusiast,0,
Sennheiser,claude-opus-4-5,q3_reference,1,1
Beyerdynamic,claude-opus-4-5,q3_reference,1,3
Denon,claude-opus-4-5,q3_reference,0,
Grado,claude-opus-4-5,q3_reference,0,
Sony,claude-opus-4-5,q3_reference,1,12
Audio-Technica,claude-opus-4-5,q3_reference,1,11
Stax,claude-opus-4-5,q3_reference,0,
Koss,claude-opus-4-5,q3_reference,0,
Audeze,claude-opus-4-5,q3_reference,1,6
HiFiMan,claude-opus-4-5,q3_reference,1,4
Focal,claude-opus-4-5,q3_reference,1,5
Meze,claude-opus-4-5,q3_reference,0,
ZMF Headphones,claude-opus-4-5,q3_reference,0,
Spirit Torino,claude-opus-4-5,q3_reference,0,
Final Audio,claude-opus-4-5,q3_reference,0,
Dan Clark Audio,claude-opus-4-5,q3_reference,0,
Sennheiser,claude-sonnet-4-5,q3_reference,1,1
Beyerdynamic,claude-sonnet-4-5,q3_reference,1,7
Denon,claude-sonnet-4-5,q3_reference,0,
Grado,claude-sonnet-4-5,q3_reference,0,
Sony,claude-sonnet-4-5,q3_reference,0,
Audio-Technica,claude-sonnet-4-5,q3_reference,0,
Stax,claude-sonnet-4-5,q3_reference,1,11
Koss,claude-sonnet-4-5,q3_reference,0,
Audeze,claude-sonnet-4-5,q3_reference,1,3
HiFiMan,claude-sonnet-4-5,q3_reference,1,4
Focal,claude-sonnet-4-5,q3_reference,1,2
Meze,claude-sonnet-4-5,q3_reference,0,
ZMF Headphones,claude-sonnet-4-5,q3_reference,0,
Spirit Torino,claude-sonnet-4-5,q3_reference,0,
Final Audio,claude-sonnet-4-5,q3_reference,0,
Dan Clark Audio,claude-sonnet-4-5,q3_reference,1,10
Sennheiser,gpt-4o,q3_reference,1,1
Beyerdynamic,gpt-4o,q3_reference,1,5
Denon,gpt-4o,q3_reference,0,
Grado,gpt-4o,q3_reference,0,
Sony,gpt-4o,q3_reference,1,8
Audio-Technica,gpt-4o,q3_reference,0,
Stax,gpt-4o,q3_reference,1,6
Koss,gpt-4o,q3_reference,0,
Audeze,gpt-4o,q3_reference,1,2
HiFiMan,gpt-4o,q3_reference,1,4
Focal,gpt-4o,q3_reference,1,3
Meze,gpt-4o,q3_reference,0,
ZMF Headphones,gpt-4o,q3_reference,0,
Spirit Torino,gpt-4o,q3_reference,0,
Final Audio,gpt-4o,q3_reference,0,
Dan Clark Audio,gpt-4o,q3_reference,0,
Sennheiser,gpt-4o-mini,q3_reference,1,1
Beyerdynamic,gpt-4o-mini,q3_reference,1,2
Denon,gpt-4o-mini,q3_reference,0,
Grado,gpt-4o-mini,q3_reference,1,9
Sony,gpt-4o-mini,q3_reference,1,5
Audio-Technica,gpt-4o-mini,q3_reference,0,
Stax,gpt-4o-mini,q3_reference,0,
Koss,gpt-4o-mini,q3_reference,0,
Audeze,gpt-4o-mini,q3_reference,1,3
HiFiMan,gpt-4o-mini,q3_reference,1,6
Focal,gpt-4o-mini,q3_reference,1,4
Meze,gpt-4o-mini,q3_reference,0,
ZMF Headphones,gpt-4o-mini,q3_reference,0,
Spirit Torino,gpt-4o-mini,q3_reference,0,
Final Audio,gpt-4o-mini,q3_reference,0,
Dan Clark Audio,gpt-4o-mini,q3_reference,0,
Sennheiser,gemini-2.5-flash,q3_reference,0,
Beyerdynamic,gemini-2.5-flash,q3_reference,0,
Denon,gemini-2.5-flash,q3_reference,0,
Grado,gemini-2.5-flash,q3_reference,0,
Sony,gemini-2.5-flash,q3_reference,0,
Audio-Technica,gemini-2.5-flash,q3_reference,0,
Stax,gemini-2.5-flash,q3_reference,0,
Koss,gemini-2.5-flash,q3_reference,0,
Audeze,gemini-2.5-flash,q3_reference,0,
HiFiMan,gemini-2.5-flash,q3_reference,0,
Focal,gemini-2.5-flash,q3_reference,0,
Meze,gemini-2.5-flash,q3_reference,0,
ZMF Headphones,gemini-2.5-flash,q3_reference,0,
Spirit Torino,gemini-2.5-flash,q3_reference,0,
Final Audio,gemini-2.5-flash,q3_reference,0,
Dan Clark Audio,gemini-2.5-flash,q3_reference,0,
Sennheiser,gemini-2.5-flash-lite,q3_reference,1,6
Beyerdynamic,gemini-2.5-flash-lite,q3_reference,1,7
Denon,gemini-2.5-flash-lite,q3_reference,1,13
Grado,gemini-2.5-flash-lite,q3_reference,0,
Sony,gemini-2.5-flash-lite,q3_reference,0,
Audio-Technica,gemini-2.5-flash-lite,q3_reference,0,
Stax,gemini-2.5-flash-lite,q3_reference,0,
Koss,gemini-2.5-flash-lite,q3_reference,0,
Audeze,gemini-2.5-flash-lite,q3_reference,1,9
HiFiMan,gemini-2.5-flash-lite,q3_reference,1,8
Focal,gemini-2.5-flash-lite,q3_reference,1,10
Meze,gemini-2.5-flash-lite,q3_reference,0,
ZMF Headphones,gemini-2.5-flash-lite,q3_reference,0,
Spirit Torino,gemini-2.5-flash-lite,q3_reference,0,
Final Audio,gemini-2.5-flash-lite,q3_reference,0,
Dan Clark Audio,gemini-2.5-flash-lite,q3_reference,0,
Sennheiser,claude-opus-4-5,q4_famous,1,1
Beyerdynamic,claude-opus-4-5,q4_famous,1,2
Denon,claude-opus-4-5,q4_famous,0,
Grado,claude-opus-4-5,q4_famous,1,5
Sony,claude-opus-4-5,q4_famous,1,6
Audio-Technica,claude-opus-4-5,q4_famous,1,3
Stax,claude-opus-4-5,q4_famous,0,
Koss,claude-opus-4-5,q4_famous,0,
Audeze,claude-opus-4-5,q4_famous,1,17
HiFiMan,claude-opus-4-5,q4_famous,0,
Focal,claude-opus-4-5,q4_famous,1,16
Meze,claude-opus-4-5,q4_famous,0,
ZMF Headphones,claude-opus-4-5,q4_famous,0,
Spirit Torino,claude-opus-4-5,q4_famous,0,
Final Audio,claude-opus-4-5,q4_famous,0,
Dan Clark Audio,claude-opus-4-5,q4_famous,0,
Sennheiser,claude-sonnet-4-5,q4_famous,1,1
Beyerdynamic,claude-sonnet-4-5,q4_famous,1,2
Denon,claude-sonnet-4-5,q4_famous,0,
Grado,claude-sonnet-4-5,q4_famous,0,
Sony,claude-sonnet-4-5,q4_famous,1,5
Audio-Technica,claude-sonnet-4-5,q4_famous,1,3
Stax,claude-sonnet-4-5,q4_famous,0,
Koss,claude-sonnet-4-5,q4_famous,0,
Audeze,claude-sonnet-4-5,q4_famous,0,
HiFiMan,claude-sonnet-4-5,q4_famous,0,
Focal,claude-sonnet-4-5,q4_famous,1,17
Meze,claude-sonnet-4-5,q4_famous,0,
ZMF Headphones,claude-sonnet-4-5,q4_famous,0,
Spirit Torino,claude-sonnet-4-5,q4_famous,0,
Final Audio,claude-sonnet-4-5,q4_famous,0,
Dan Clark Audio,claude-sonnet-4-5,q4_famous,0,
Sennheiser,gpt-4o,q4_famous,1,3
Beyerdynamic,gpt-4o,q4_famous,0,
Denon,gpt-4o,q4_famous,0,
Grado,gpt-4o,q4_famous,0,
Sony,gpt-4o,q4_famous,1,1
Audio-Technica,gpt-4o,q4_famous,1,6
Stax,gpt-4o,q4_famous,0,
Koss,gpt-4o,q4_famous,0,
Audeze,gpt-4o,q4_famous,0,
HiFiMan,gpt-4o,q4_famous,0,
Focal,gpt-4o,q4_famous,0,
Meze,gpt-4o,q4_famous,0,
ZMF Headphones,gpt-4o,q4_famous,0,
Spirit Torino,gpt-4o,q4_famous,0,
Final Audio,gpt-4o,q4_famous,0,
Dan Clark Audio,gpt-4o,q4_famous,0,
Sennheiser,gpt-4o-mini,q4_famous,1,2
Beyerdynamic,gpt-4o-mini,q4_famous,0,
Denon,gpt-4o-mini,q4_famous,0,
Grado,gpt-4o-mini,q4_famous,0,
Sony,gpt-4o-mini,q4_famous,1,3
Audio-Technica,gpt-4o-mini,q4_famous,1,5
Stax,gpt-4o-mini,q4_famous,0,
Koss,gpt-4o-mini,q4_famous,0,
Audeze,gpt-4o-mini,q4_famous,0,
HiFiMan,gpt-4o-mini,q4_famous,0,
Focal,gpt-4o-mini,q4_famous,1,10
Meze,gpt-4o-mini,q4_famous,0,
ZMF Headphones,gpt-4o-mini,q4_famous,0,
Spirit Torino,gpt-4o-mini,q4_famous,0,
Final Audio,gpt-4o-mini,q4_famous,0,
Dan Clark Audio,gpt-4o-mini,q4_famous,0,
Sennheiser,gemini-2.5-flash,q4_famous,0,
Beyerdynamic,gemini-2.5-flash,q4_famous,0,
Denon,gemini-2.5-flash,q4_famous,0,
Grado,gemini-2.5-flash,q4_famous,0,
Sony,gemini-2.5-flash,q4_famous,0,
Audio-Technica,gemini-2.5-flash,q4_famous,0,
Stax,gemini-2.5-flash,q4_famous,0,
Koss,gemini-2.5-flash,q4_famous,0,
Audeze,gemini-2.5-flash,q4_famous,0,
HiFiMan,gemini-2.5-flash,q4_famous,0,
Focal,gemini-2.5-flash,q4_famous,0,
Meze,gemini-2.5-flash,q4_famous,0,
ZMF Headphones,gemini-2.5-flash,q4_famous,0,
Spirit Torino,gemini-2.5-flash,q4_famous,0,
Final Audio,gemini-2.5-flash,q4_famous,0,
Dan Clark Audio,gemini-2.5-flash,q4_famous,0,
Sennheiser,gemini-2.5-flash-lite,q4_famous,1,1
Beyerdynamic,gemini-2.5-flash-lite,q4_famous,1,4
Denon,gemini-2.5-flash-lite,q4_famous,0,
Grado,gemini-2.5-flash-lite,q4_famous,0,
Sony,gemini-2.5-flash-lite,q4_famous,1,2
Audio-Technica,gemini-2.5-flash-lite,q4_famous,1,5
Stax,gemini-2.5-flash-lite,q4_famous,0,
Koss,gemini-2.5-flash-lite,q4_famous,0,
Audeze,gemini-2.5-flash-lite,q4_famous,1,21
HiFiMan,gemini-2.5-flash-lite,q4_famous,1,20
Focal,gemini-2.5-flash-lite,q4_famous,0,
Meze,gemini-2.5-flash-lite,q4_famous,0,
ZMF Headphones,gemini-2.5-flash-lite,q4_famous,0,
Spirit Torino,gemini-2.5-flash-lite,q4_famous,0,
Final Audio,gemini-2.5-flash-lite,q4_famous,0,
Dan Clark Audio,gemini-2.5-flash-lite,q4_famous,0,
Sennheiser,claude-opus-4-5,q5_popular,1,7
Beyerdynamic,claude-opus-4-5,q5_popular,0,
Denon,claude-opus-4-5,q5_popular,0,
Grado,claude-opus-4-5,q5_popular,0,
Sony,claude-opus-4-5,q5_popular,1,2
Audio-Technica,claude-opus-4-5,q5_popular,1,8
Stax,claude-opus-4-5,q5_popular,0,
Koss,claude-opus-4-5,q5_popular,0,
Audeze,claude-opus-4-5,q5_popular,0,
HiFiMan,claude-opus-4-5,q5_popular,0,
Focal,claude-opus-4-5,q5_popular,0,
Meze,claude-opus-4-5,q5_popular,0,
ZMF Headphones,claude-opus-4-5,q5_popular,0,
Spirit Torino,claude-opus-4-5,q5_popular,0,
Final Audio,claude-opus-4-5,q5_popular,0,
Dan Clark Audio,claude-opus-4-5,q5_popular,0,
Sennheiser,claude-sonnet-4-5,q5_popular,1,8
Beyerdynamic,claude-sonnet-4-5,q5_popular,0,
Denon,claude-sonnet-4-5,q5_popular,0,
Grado,claude-sonnet-4-5,q5_popular,0,
Sony,claude-sonnet-4-5,q5_popular,1,4
Audio-Technica,claude-sonnet-4-5,q5_popular,1,9
Stax,claude-sonnet-4-5,q5_popular,0,
Koss,claude-sonnet-4-5,q5_popular,0,
Audeze,claude-sonnet-4-5,q5_popular,0,
HiFiMan,claude-sonnet-4-5,q5_popular,0,
Focal,claude-sonnet-4-5,q5_popular,0,
Meze,claude-sonnet-4-5,q5_popular,0,
ZMF Headphones,claude-sonnet-4-5,q5_popular,0,
Spirit Torino,claude-sonnet-4-5,q5_popular,0,
Final Audio,claude-sonnet-4-5,q5_popular,0,
Dan Clark Audio,claude-sonnet-4-5,q5_popular,0,
Sennheiser,gpt-4o,q5_popular,1,4
Beyerdynamic,gpt-4o,q5_popular,0,
Denon,gpt-4o,q5_popular,0,
Grado,gpt-4o,q5_popular,0,
Sony,gpt-4o,q5_popular,1,1
Audio-Technica,gpt-4o,q5_popular,1,6
Stax,gpt-4o,q5_popular,0,
Koss,gpt-4o,q5_popular,0,
Audeze,gpt-4o,q5_popular,0,
HiFiMan,gpt-4o,q5_popular,0,
Focal,gpt-4o,q5_popular,0,
Meze,gpt-4o,q5_popular,0,
ZMF Headphones,gpt-4o,q5_popular,0,
Spirit Torino,gpt-4o,q5_popular,0,
Final Audio,gpt-4o,q5_popular,0,
Dan Clark Audio,gpt-4o,q5_popular,0,
Sennheiser,gpt-4o-mini,q5_popular,1,4
Beyerdynamic,gpt-4o-mini,q5_popular,0,
Denon,gpt-4o-mini,q5_popular,0,
Grado,gpt-4o-mini,q5_popular,0,
Sony,gpt-4o-mini,q5_popular,1,1
Audio-Technica,gpt-4o-mini,q5_popular,1,6
Stax,gpt-4o-mini,q5_popular,0,
Koss,gpt-4o-mini,q5_popular,0,
Audeze,gpt-4o-mini,q5_popular,0,
HiFiMan,gpt-4o-mini,q5_popular,0,
Focal,gpt-4o-mini,q5_popular,0,
Meze,gpt-4o-mini,q5_popular,0,
ZMF Headphones,gpt-4o-mini,q5_popular,0,
Spirit Torino,gpt-4o-mini,q5_popular,0,
Final Audio,gpt-4o-mini,q5_popular,0,
Dan Clark Audio,gpt-4o-mini,q5_popular,0,
Sennheiser,gemini-2.5-flash,q5_popular,0,
Beyerdynamic,gemini-2.5-flash,q5_popular,0,
Denon,gemini-2.5-flash,q5_popular,0,
Grado,gemini-2.5-flash,q5_popular,0,
Sony,gemini-2.5-flash,q5_popular,0,
Audio-Technica,gemini-2.5-flash,q5_popular,0,
Stax,gemini-2.5-flash,q5_popular,0,
Koss,gemini-2.5-flash,q5_popular,0,
Audeze,gemini-2.5-flash,q5_popular,0,
HiFiMan,gemini-2.5-flash,q5_popular,0,
Focal,gemini-2.5-flash,q5_popular,0,
Meze,gemini-2.5-flash,q5_popular,0,
ZMF Headphones,gemini-2.5-flash,q5_popular,0,
Spirit Torino,gemini-2.5-flash,q5_popular,0,
Final Audio,gemini-2.5-flash,q5_popular,0,
Dan Clark Audio,gemini-2.5-flash,q5_popular,0,
Sennheiser,gemini-2.5-flash-lite,q5_popular,1,5
Beyerdynamic,gemini-2.5-flash-lite,q5_popular,1,14
Denon,gemini-2.5-flash-lite,q5_popular,0,
Grado,gemini-2.5-flash-lite,q5_popular,1,14
Sony,gemini-2.5-flash-lite,q5_popular,1,2
Audio-Technica,gemini-2.5-flash-lite,q5_popular,1,9
Stax,gemini-2.5-flash-lite,q5_popular,0,
Koss,gemini-2.5-flash-lite,q5_popular,0,
Audeze,gemini-2.5-flash-lite,q5_popular,0,
HiFiMan,gemini-2.5-flash-lite,q5_popular,0,
Focal,gemini-2.5-flash-lite,q5_popular,0,
Meze,gemini-2.5-flash-lite,q5_popular,1,14
ZMF Headphones,gemini-2.5-flash-lite,q5_popular,0,
Spirit Torino,gemini-2.5-flash-lite,q5_popular,0,
Final Audio,gemini-2.5-flash-lite,q5_popular,0,
Dan Clark Audio,gemini-2.5-flash-lite,q5_popular,0,
Sennheiser,claude-opus-4-5,q6_iconic,1,5
Beyerdynamic,claude-opus-4-5,q6_iconic,0,
Denon,claude-opus-4-5,q6_iconic,0,
Grado,claude-opus-4-5,q6_iconic,0,
Sony,claude-opus-4-5,q6_iconic,1,3
Audio-Technica,claude-opus-4-5,q6_iconic,1,6
Stax,claude-opus-4-5,q6_iconic,0,
Koss,claude-opus-4-5,q6_iconic,0,
Audeze,claude-opus-4-5,q6_iconic,0,
HiFiMan,claude-opus-4-5,q6_iconic,0,
Focal,claude-opus-4-5,q6_iconic,0,
Meze,claude-opus-4-5,q6_iconic,0,
ZMF Headphones,claude-opus-4-5,q6_iconic,0,
Spirit Torino,claude-opus-4-5,q6_iconic,0,
Final Audio,claude-opus-4-5,q6_iconic,0,
Dan Clark Audio,claude-opus-4-5,q6_iconic,0,
Sennheiser,claude-sonnet-4-5,q6_iconic,1,5
Beyerdynamic,claude-sonnet-4-5,q6_iconic,0,
Denon,claude-sonnet-4-5,q6_iconic,0,
Grado,claude-sonnet-4-5,q6_iconic,0,
Sony,claude-sonnet-4-5,q6_iconic,1,2
Audio-Technica,claude-sonnet-4-5,q6_iconic,1,6
Stax,claude-sonnet-4-5,q6_iconic,0,
Koss,claude-sonnet-4-5,q6_iconic,0,
Audeze,claude-sonnet-4-5,q6_iconic,0,
HiFiMan,claude-sonnet-4-5,q6_iconic,0,
Focal,claude-sonnet-4-5,q6_iconic,0,
Meze,claude-sonnet-4-5,q6_iconic,0,
ZMF Headphones,claude-sonnet-4-5,q6_iconic,0,
Spirit Torino,claude-sonnet-4-5,q6_iconic,0,
Final Audio,claude-sonnet-4-5,q6_iconic,0,
Dan Clark Audio,claude-sonnet-4-5,q6_iconic,0,
Sennheiser,gpt-4o,q6_iconic,1,5
Beyerdynamic,gpt-4o,q6_iconic,0,
Denon,gpt-4o,q6_iconic,0,
Grado,gpt-4o,q6_iconic,0,
Sony,gpt-4o,q6_iconic,1,3
