category,bundle_id,bundle_label,region,members,queries,pull_timestamp_utc,http_status,timeline_points,status,raw_path,notes
finance,3,fin-mid-tier-challengers,worldwide,YNAB|EveryDollar|Monarch Money|Copilot|Lunch Money,YNAB|/g/11kzq5f67g|/g/11llqmms61|/g/11q83qbj3d|/g/11x_bjn3_l,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/worldwide/finance_bundle_3_2026-05-11T21-45-28.826232+00-00.json,pivot_min=4 pivot_max=8 pivot_mean=5.9
finance,4,fin-challengers-padding,worldwide,YNAB|Origin|Cleo|Tiller|__pad_Empower,YNAB|/g/11v45fr_k2|/g/11c6tyv40z|/g/11b64kk5vb|/g/11g71t_4sy,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/worldwide/finance_bundle_4_2026-05-11T21-45-28.826232+00-00.json,pivot_min=11 pivot_max=20 pivot_mean=14.3
skincare,1,skin-incumbents-I,US,CeraVe|Cetaphil|Neutrogena|La Roche-Posay|Vanicream,CeraVe|/g/11rv4gmy_x|/m/061t8w|/g/11cp7jtw54|/g/11lmsbyk0h,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/skincare_bundle_1_2026-05-11T21-45-28.826232+00-00.json,pivot_min=80 pivot_max=100 pivot_mean=90.1
skincare,2,skin-incumbents-mid-I,US,CeraVe|Skinceuticals|Eucerin|Paula's Choice|Drunk Elephant,CeraVe|Skinceuticals|/m/0125wkzs|/g/11g9mn9twf|/g/11g6qkqq0v,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/skincare_bundle_2_2026-05-11T21-45-28.826232+00-00.json,pivot_min=81 pivot_max=100 pivot_mean=88.6
skincare,3,skin-mid-tier-I,US,CeraVe|Tatcha|The Ordinary|EltaMD|Bioderma,CeraVe|/g/11c6tx2q_t|/g/11g6qkjtcg|/g/113ml5z9y|/g/11c0xrmhjb,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/skincare_bundle_3_2026-05-11T21-45-28.826232+00-00.json,pivot_min=80 pivot_max=100 pivot_mean=90.1
skincare,4,skin-mid-tier-II,US,CeraVe|Avène|Aveeno|First Aid Beauty|Augustinus Bader,CeraVe|/g/113mzhymc|/g/11bc65nmzp|/g/11cnkmrf43|/g/11mp3g199j,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/skincare_bundle_4_2026-05-11T21-45-28.826232+00-00.json,pivot_min=80 pivot_max=100 pivot_mean=91.1
skincare,5,skin-challengers-luxury-I,US,CeraVe|Youth to the People|La Mer|Estée Lauder|Lancôme,CeraVe|/g/11h1y83h6r|/m/03yml9x|/m/02mr_1|/m/05mxqz,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/skincare_bundle_5_2026-05-11T21-45-28.826232+00-00.json,pivot_min=80 pivot_max=100 pivot_mean=90.1
skincare,6,skin-challengers-luxury-II,US,CeraVe|Clinique|Kiehl's|Sunday Riley|SK-II,CeraVe|/m/0_svhh_|/m/026dq_r|/g/11dxd3t6wd|/g/11bwdcbdlj,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/skincare_bundle_6_2026-05-11T21-45-28.826232+00-00.json,pivot_min=80 pivot_max=100 pivot_mean=90.1
skincare,7,skin-challengers-III,US,CeraVe|Olay|Origins|Dermalogica|Murad,CeraVe|/m/07d8ml|/m/0_vwzvg|/g/113mdlkgh|/g/113pjywv7,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/skincare_bundle_7_2026-05-11T21-45-28.826232+00-00.json,pivot_min=80 pivot_max=100 pivot_mean=90.1
skincare,8,skin-remainder-padding,US,CeraVe|Glossier|Beauty of Joseon|__pad_Cetaphil|__pad_Neutrogena,CeraVe|/g/11h1qtm97p|/g/11rqgp6dlj|/g/11rv4gmy_x|/m/061t8w,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/skincare_bundle_8_2026-05-11T21-45-28.826232+00-00.json,pivot_min=80 pivot_max=100 pivot_mean=90.1
finance,1,fin-incumbents,US,YNAB|Mint|Quicken|Empower|NerdWallet,YNAB|mint personal finance|/m/0cfzgk|/g/11g71t_4sy|/m/0hzpb7j,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/finance_bundle_1_2026-05-11T21-45-28.826232+00-00.json,pivot_min=6 pivot_max=11 pivot_mean=8.4
finance,2,fin-incumbents-mid,US,YNAB|Rocket Money|PocketGuard|Goodbudget|__pad_NerdWallet,YNAB|/g/11g9n3wfpw|/g/11kzq2vm1h|/g/11k31_hh5v|/m/0hzpb7j,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/finance_bundle_2_2026-05-11T21-45-28.826232+00-00.json,pivot_min=38 pivot_max=65 pivot_mean=50.3
finance,3,fin-mid-tier-challengers,US,YNAB|EveryDollar|Monarch Money|Copilot|Lunch Money,YNAB|/g/11kzq5f67g|/g/11llqmms61|/g/11q83qbj3d|/g/11x_bjn3_l,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/finance_bundle_3_2026-05-11T21-45-28.826232+00-00.json,pivot_min=18 pivot_max=32 pivot_mean=24.4
finance,4,fin-challengers-padding,US,YNAB|Origin|Cleo|Tiller|__pad_Empower,YNAB|/g/11v45fr_k2|/g/11c6tyv40z|/g/11b64kk5vb|/g/11g71t_4sy,2026-05-11T21:45:28.826232+00:00,200,14,PASS,/Users/pablou/aias/osf/v13/data/trends_raw/US/finance_bundle_4_2026-05-11T21-45-28.826232+00-00.json,pivot_min=7 pivot_max=13 pivot_mean=9.9
