brand,substrate,cell,cell_label,in_market,is_phantom,r_per_model,mean_r,sd_pop,cpc_raw,cpc_score,cpc_status,cpc_panel_n,C_P,R_cat_total,R_cult_total,presence_composite,presence_recognition,presence_recall_level
Drunk Elephant,v0.20,B,Celebrity DTC / cult,True,False,"[5, 5, 5, 4, 5, 6]",5.0,0.5773502691896257,0.11547005383792515,0.8964830535426433,defined,6,6,13,17,88.8888888888889,6,5.0
Glossier,v0.20,B,Celebrity DTC / cult,True,False,"[0, 1, 0, 0, 2, 0]",0.5,0.7637626158259734,,,N/A,6,6,0,3,38.888888888888886,6,0.5
Augustinus Bader,v0.20,B,Celebrity DTC / cult,True,False,"[2, 2, 1, 2, 0, 0]",1.1666666666666667,0.8975274678557508,0.7693092581620721,0.5651923175029236,defined,6,6,0,7,46.2962962962963,6,1.1666666666666667
Tower 28,v0.20,B,Celebrity DTC / cult,True,False,"[0, 0, 0, 1, 0, 0]",0.16666666666666666,0.372677996249965,,,N/A,6,2,0,1,12.962962962962962,2,0.16666666666666666
SkinCeuticals,v0.20,C,Clinical / dermatologist-recommended,True,False,"[5, 5, 5, 4, 3, 5]",4.5,0.7637626158259734,0.1697250257391052,0.8549017743449044,defined,6,6,18,9,83.33333333333333,6,4.5
La Roche-Posay,v0.20,C,Clinical / dermatologist-recommended,True,False,"[5, 4, 4, 5, 5, 4]",4.5,0.5,0.1111111111111111,0.8999999999999999,defined,6,6,17,10,83.33333333333333,6,4.5
Paula's Choice,v0.20,C,Clinical / dermatologist-recommended,True,False,"[4, 2, 5, 6, 2, 2]",3.5,1.6072751268321592,0.45922146480918835,0.6852969368366321,defined,6,6,10,11,72.22222222222221,6,3.5
CeraVe,v0.20,C,Clinical / dermatologist-recommended,True,False,"[6, 6, 6, 6, 6, 5]",5.833333333333333,0.37267799624996495,0.06388765649999399,0.9399488694979569,defined,6,6,18,17,98.14814814814815,6,5.833333333333333
The Ordinary,v0.20,C,Clinical / dermatologist-recommended,True,False,"[5, 5, 5, 6, 5, 5]",5.166666666666667,0.37267799624996495,0.07213122508063838,0.9327216450810738,defined,6,6,13,18,90.74074074074075,6,5.166666666666667
Cetaphil,v0.20,C,Clinical / dermatologist-recommended,True,False,"[2, 2, 1, 1, 1, 1]",1.3333333333333333,0.47140452079103173,0.35355339059327384,0.7387961250362585,defined,6,6,6,2,48.148148148148145,6,1.3333333333333333
Eucerin,v0.20,C,Clinical / dermatologist-recommended,True,False,"[1, 0, 0, 1, 1, 0]",0.5,0.5,,,N/A,6,6,3,0,38.888888888888886,6,0.5
Bioderma,v0.20,C,Clinical / dermatologist-recommended,True,False,"[0, 0, 0, 0, 1, 1]",0.3333333333333333,0.4714045207910317,,,N/A,6,6,2,0,37.03703703703704,6,0.3333333333333333
MAC Cosmetics,v0.21,A,Prestige,True,False,"[1, 3, 3, 2, 4, 3]",2.6666666666666665,0.9428090415820634,0.3535533905932738,0.7387961250362586,defined,6,6,12,4,62.96296296296296,6,2.6666666666666665
NARS,v0.21,A,Prestige,True,False,"[6, 4, 5, 6, 4, 4]",4.833333333333333,0.8975274678557507,0.18569533817705186,0.8433869711737677,defined,6,6,18,11,87.03703703703702,6,4.833333333333333
Bobbi Brown,v0.21,A,Prestige,True,False,"[1, 2, 1, 1, 1, 2]",1.3333333333333333,0.4714045207910317,0.3535533905932738,0.7387961250362586,defined,6,6,8,0,48.14814814814815,6,1.3333333333333333
Tom Ford Beauty,v0.21,A,Prestige,True,False,"[1, 1, 0, 3, 1, 0]",1.0,1.0,1.0,0.5,defined,6,6,2,4,44.44444444444445,6,1.0
Giorgio Armani Beauty,v0.21,A,Prestige,True,False,"[0, 0, 0, 1, 0, 0]",0.16666666666666666,0.372677996249965,,,N/A,6,6,0,1,35.18518518518518,6,0.16666666666666666
Hourglass,v0.21,A,Prestige,True,False,"[0, 0, 0, 2, 0, 0]",0.3333333333333333,0.74535599249993,,,N/A,6,6,1,1,37.03703703703704,6,0.3333333333333333
Chantecaille,v0.21,A,Prestige,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Laura Mercier,v0.21,A,Prestige,True,False,"[2, 0, 2, 0, 1, 0]",0.8333333333333334,0.8975274678557507,,,N/A,6,6,5,0,42.59259259259259,6,0.8333333333333334
Rare Beauty,v0.21,B,Celebrity DTC / cult,True,False,"[3, 3, 4, 3, 2, 3]",3.0,0.5773502691896257,0.19245008972987523,0.8386095222035911,defined,6,6,1,17,66.66666666666667,6,3.0
Fenty Beauty,v0.21,B,Celebrity DTC / cult,True,False,"[3, 3, 4, 4, 5, 6]",4.166666666666667,1.0671873729054748,0.25612496949731395,0.796099133671539,defined,6,6,9,16,79.62962962962963,6,4.166666666666667
Haus Labs,v0.21,B,Celebrity DTC / cult,True,False,"[1, 2, 1, 0, 0, 0]",0.6666666666666666,0.74535599249993,,,N/A,6,6,0,4,40.74074074074074,6,0.6666666666666666
Pat McGrath Labs,v0.21,B,Celebrity DTC / cult,True,False,"[3, 2, 1, 3, 3, 2]",2.3333333333333335,0.7453559924999298,0.31943828249996986,0.7578982763068516,defined,6,6,4,10,59.25925925925926,6,2.3333333333333335
Charlotte Tilbury,v0.21,B,Celebrity DTC / cult,True,False,"[6, 6, 3, 4, 4, 6]",4.833333333333333,1.2133516482134197,0.2510382720441558,0.7993360573741941,defined,6,6,12,17,87.03703703703702,6,4.833333333333333
Huda Beauty,v0.21,B,Celebrity DTC / cult,True,False,"[0, 2, 1, 2, 3, 3]",1.8333333333333333,1.0671873729054748,0.5821022034029862,0.6320704173529833,defined,6,6,0,11,53.7037037037037,6,1.8333333333333333
Kylie Cosmetics,v0.21,B,Celebrity DTC / cult,True,False,"[1, 0, 0, 1, 1, 2]",0.8333333333333334,0.6871842709362768,,,N/A,6,6,0,5,42.59259259259259,6,0.8333333333333334
Anastasia Beverly Hills,v0.21,B,Celebrity DTC / cult,True,False,"[1, 2, 2, 2, 3, 3]",2.1666666666666665,0.6871842709362768,0.31716197120135853,0.7592080714932264,defined,6,6,5,8,57.40740740740741,6,2.1666666666666665
Maybelline,v0.21,C,Drugstore / mass,True,False,"[5, 2, 0, 4, 1, 0]",2.0,1.9148542155126762,0.9574271077563381,0.5108747069239427,defined,6,6,7,5,55.55555555555555,6,2.0
L'Oréal Paris,v0.21,C,Drugstore / mass,True,False,"[2, 0, 1, 3, 1, 0]",1.1666666666666667,1.0671873729054748,0.9147320339189784,0.5222662922462574,defined,6,6,3,4,46.2962962962963,6,1.1666666666666667
CoverGirl,v0.21,C,Drugstore / mass,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Revlon,v0.21,C,Drugstore / mass,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
NYX Professional Makeup,v0.21,C,Drugstore / mass,True,False,"[4, 2, 0, 4, 0, 1]",1.8333333333333333,1.674979270186815,0.9136250564655355,0.5225684083835104,defined,6,6,5,6,53.703703703703695,6,1.8333333333333333
e.l.f. Cosmetics,v0.21,C,Drugstore / mass,True,False,"[3, 2, 2, 2, 1, 0]",1.6666666666666667,0.9428090415820634,0.565685424949238,0.6386979044864147,defined,6,6,1,9,51.85185185185185,6,1.6666666666666667
Wet n Wild,v0.21,C,Drugstore / mass,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Milani Cosmetics,v0.21,C,Drugstore / mass,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Mercedes-Benz,v0.22,A,Heritage,True,False,"[4, 4, 5, 4, 5, 4]",4.333333333333333,0.4714045207910317,0.10878565864408424,0.9018875670008968,defined,6,6,10,16,81.48148148148148,6,4.333333333333333
Jaguar,v0.22,A,Heritage,True,False,"[1, 2, 1, 1, 2, 3]",1.6666666666666667,0.7453559924999299,0.4472135954999579,0.6909830056250527,defined,6,6,0,10,51.85185185185185,6,1.6666666666666667
Cadillac,v0.22,A,Heritage,True,False,"[2, 2, 1, 2, 1, 0]",1.3333333333333333,0.7453559924999299,0.5590169943749475,0.6414298263637128,defined,6,6,0,8,48.14814814814815,6,1.3333333333333333
Rolls-Royce,v0.22,A,Heritage,True,False,"[2, 1, 3, 3, 2, 2]",2.1666666666666665,0.6871842709362768,0.31716197120135853,0.7592080714932264,defined,6,6,0,13,57.40740740740741,6,2.1666666666666665
Bentley,v0.22,A,Heritage,True,False,"[2, 2, 2, 2, 2, 2]",2.0,0.0,0.0,1.0,defined,6,6,0,12,55.55555555555555,6,2.0
Porsche,v0.22,A,Heritage,True,False,"[6, 6, 5, 5, 4, 6]",5.333333333333333,0.7453559924999298,0.13975424859373684,0.8773821209561887,defined,6,6,14,18,92.5925925925926,6,5.333333333333333
BMW,v0.22,A,Heritage,True,False,"[3, 3, 4, 3, 5, 4]",3.6666666666666665,0.7453559924999299,0.20327890704543544,0.8310625193750198,defined,6,6,12,10,74.07407407407408,6,3.6666666666666665
Tesla,v0.22,B,Disruptor,True,False,"[2, 1, 2, 2, 3, 3]",2.1666666666666665,0.6871842709362768,0.31716197120135853,0.7592080714932264,defined,6,6,7,6,57.40740740740741,6,2.1666666666666665
Rivian,v0.22,B,Disruptor,True,False,"[1, 0, 0, 0, 0, 0]",0.16666666666666666,0.372677996249965,,,N/A,6,6,1,0,35.18518518518518,6,0.16666666666666666
Lucid,v0.22,B,Disruptor,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Polestar,v0.22,B,Disruptor,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Fisker,v0.22,B,Disruptor,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,5,0,0,27.777777777777782,5,0.0
Toyota,v0.22,C,Mass-Legacy,True,False,"[4, 3, 4, 4, 5, 4]",4.0,0.5773502691896257,0.14433756729740643,0.8738680163771168,defined,6,6,18,6,77.77777777777777,6,4.0
Honda,v0.22,C,Mass-Legacy,True,False,"[3, 3, 3, 3, 3, 3]",3.0,0.0,0.0,1.0,defined,6,6,18,0,66.66666666666667,6,3.0
Ford,v0.22,C,Mass-Legacy,True,False,"[2, 1, 1, 1, 2, 1]",1.3333333333333333,0.4714045207910317,0.3535533905932738,0.7387961250362586,defined,6,6,2,6,48.14814814814815,6,1.3333333333333333
Chevrolet,v0.22,C,Mass-Legacy,True,False,"[1, 2, 1, 1, 1, 1]",1.1666666666666667,0.3726779962499649,0.31943828249996986,0.7578982763068516,defined,6,6,0,7,46.2962962962963,6,1.1666666666666667
Hyundai,v0.22,C,Mass-Legacy,True,False,"[3, 1, 3, 4, 3, 2]",2.6666666666666665,0.9428090415820634,0.3535533905932738,0.7387961250362586,defined,6,6,15,1,62.96296296296296,6,2.6666666666666665
Volkswagen,v0.22,C,Mass-Legacy,True,False,"[1, 1, 1, 1, 1, 2]",1.1666666666666667,0.3726779962499649,0.31943828249996986,0.7578982763068516,defined,6,6,1,6,46.2962962962963,6,1.1666666666666667
Nissan,v0.22,C,Mass-Legacy,True,False,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Pontiac,v0.22,D,Defunct,False,True,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Oldsmobile,v0.22,D,Defunct,False,True,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Plymouth,v0.22,D,Defunct,False,True,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Mercury,v0.22,D,Defunct,False,True,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
Saturn,v0.22,D,Defunct,False,True,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,,N/A,6,6,0,0,33.333333333333336,6,0.0
