substrate,brand,phi,pi_hat,J,J_defined,J_n_models,il_direct,c_p,recall_mean
v0.21,MAC Cosmetics,0.7200000000000001,0.4444444444444444,0.5111111111111111,True,6,-8.0,6.0,2.6666666666666665
v0.21,NARS,1.028571428571429,0.8055555555555556,0.8044444444444444,True,6,-7.0,6.0,4.833333333333333
v0.21,Bobbi Brown,0.25714285714285723,0.2222222222222222,0.45555555555555555,True,6,-8.0,6.0,1.3333333333333333
v0.21,Tom Ford Beauty,1.44,0.16666666666666666,0.27777777777777773,True,4,2.0,6.0,1.0
v0.21,Giorgio Armani Beauty,1.028571428571429,0.027777777777777776,,False,1,1.0,6.0,0.16666666666666666
v0.21,Hourglass,2.11764705882353,0.05555555555555555,,False,1,0.0,6.0,0.3333333333333333
v0.21,Laura Mercier,1.3470967741935482,0.1388888888888889,0.6666666666666666,True,3,-5.0,6.0,0.8333333333333334
v0.21,Rare Beauty,0.26666666666666666,0.5,0.811111111111111,True,6,16.0,6.0,3.0
v0.21,Fenty Beauty,1.0734545454545457,0.6944444444444444,0.6577777777777778,True,6,7.0,6.0,4.166666666666667
v0.21,Haus Labs,1.1250000000000002,0.1111111111111111,0.6666666666666666,True,3,4.0,6.0,0.6666666666666666
v0.21,Pat McGrath Labs,0.4675324675324675,0.3888888888888889,0.43222222222222223,True,6,6.0,6.0,2.3333333333333335
v0.21,Charlotte Tilbury,1.8798029556650249,0.8055555555555556,0.6833333333333333,True,6,5.0,6.0,4.833333333333333
v0.21,Huda Beauty,1.0734545454545454,0.3055555555555556,0.5166666666666666,True,5,11.0,6.0,1.8333333333333333
v0.21,Kylie Cosmetics,0.7896774193548385,0.1388888888888889,0.75,True,4,5.0,6.0,0.8333333333333334
v0.21,Anastasia Beverly Hills,0.40936454849498327,0.3611111111111111,0.33555555555555555,True,6,3.0,6.0,2.1666666666666665
v0.21,Maybelline,3.2999999999999994,0.3333333333333333,0.35833333333333334,True,4,-2.0,6.0,2.0
v0.21,L'Oréal Paris,1.4541871921182266,0.19444444444444445,0.38888888888888884,True,4,1.0,6.0,1.1666666666666667
v0.21,NYX Professional Makeup,2.6443636363636362,0.3055555555555556,0.4166666666666667,True,4,1.0,6.0,1.8333333333333333
v0.21,e.l.f. Cosmetics,0.8861538461538461,0.2777777777777778,0.4666666666666666,True,5,8.0,6.0,1.6666666666666667
v0.22,Mercedes-Benz,0.22153846153846155,0.7222222222222222,0.7244444444444446,True,6,6.0,6.0,4.333333333333333
v0.22,Jaguar,0.5538461538461539,0.2777777777777778,0.6222222222222221,True,6,10.0,6.0,1.6666666666666667
v0.22,Cadillac,0.6428571428571429,0.2222222222222222,0.5666666666666667,True,5,8.0,6.0,1.3333333333333333
v0.22,Rolls-Royce,0.40936454849498327,0.3611111111111111,0.6777777777777777,True,6,13.0,6.0,2.1666666666666665
v0.22,Bentley,0.0,0.3333333333333333,1.0,True,6,12.0,6.0,2.0
v0.22,Porsche,1.1249999999999996,0.8888888888888888,0.8400000000000002,True,6,4.0,6.0,5.333333333333333
v0.22,BMW,0.4675324675324675,0.6111111111111112,0.6333333333333333,True,6,-2.0,6.0,3.6666666666666665
v0.22,Tesla,0.40936454849498327,0.3611111111111111,0.4222222222222222,True,6,-1.0,6.0,2.1666666666666665
v0.22,Rivian,1.028571428571429,0.027777777777777776,,False,1,-1.0,6.0,0.16666666666666666
v0.22,Toyota,0.29999999999999993,0.6666666666666666,0.7000000000000001,True,6,-12.0,6.0,4.0
v0.22,Honda,0.0,0.5,1.0,True,6,-18.0,6.0,3.0
v0.22,Ford,0.25714285714285723,0.2222222222222222,0.6888888888888888,True,6,4.0,6.0,1.3333333333333333
v0.22,Chevrolet,0.17733990147783246,0.19444444444444445,0.8333333333333334,True,6,7.0,6.0,1.1666666666666667
v0.22,Hyundai,0.72,0.4444444444444444,0.6333333333333333,True,6,-14.0,6.0,2.6666666666666665
v0.22,Volkswagen,0.17733990147783246,0.19444444444444445,0.8333333333333334,True,6,5.0,6.0,1.1666666666666667
