substrate,brand,cell,k_per_model,pi_hat,mu,phi,phi_partition,phi_defined,J,J_n_models,J_defined,J_frame_resolved_substrate,mu_count,sd_pop,cpc_raw,cpc_raw_defined,cpc_corr,cpc_corr_defined
v0.21,Kylie Cosmetics,B,"[1, 0, 1, 2, 0, 1]",0.1388888888888889,0.1388888888888889,0.7896774193548385,defined,True,0.75,4,True,True,0.8333333333333334,0.6871842709362768,,False,1.987054880161641,True
v0.21,Anastasia Beverly Hills,B,"[1, 2, 3, 3, 2, 2]",0.3611111111111111,0.3611111111111111,0.40936454849498327,defined,True,0.33555555555555555,6,True,True,2.1666666666666665,0.6871842709362768,0.31716197120135853,True,1.43067212962122,True
v0.21,Maybelline,C,"[5, 2, 1, 0, 0, 4]",0.3333333333333333,0.3333333333333333,3.2999999999999994,defined,True,0.35833333333333334,4,True,True,2.0,1.9148542155126762,0.9574271077563381,True,4.06201920231798,True
v0.21,L'Oréal Paris,C,"[2, 0, 1, 0, 1, 3]",0.19444444444444445,0.19444444444444445,1.4541871921182266,defined,True,0.38888888888888884,4,True,True,1.1666666666666667,1.0671873729054748,0.9147320339189784,True,2.696467311240975,True
v0.21,CoverGirl,C,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.21,Revlon,C,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.21,NYX Professional Makeup,C,"[4, 2, 0, 1, 0, 4]",0.3055555555555556,0.3055555555555556,2.6443636363636362,defined,True,0.4166666666666667,4,True,True,1.8333333333333333,1.6749792701868151,0.9136250564655356,True,3.636181813636137,True
v0.21,e.l.f. Cosmetics,C,"[3, 2, 1, 0, 2, 2]",0.2777777777777778,0.2777777777777778,0.8861538461538461,defined,True,0.4666666666666666,5,True,True,1.6666666666666667,0.9428090415820634,0.565685424949238,True,2.1049392463368704,True
v0.21,Wet n Wild,C,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.21,Milani Cosmetics,C,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.22,Mercedes-Benz,A,"[4, 4, 5, 4, 5, 4]",0.7222222222222222,0.7222222222222222,0.22153846153846155,defined,True,0.7244444444444446,6,True,True,4.333333333333333,0.4714045207910317,0.10878565864408424,True,1.0524696231684352,True
v0.22,Jaguar,A,"[1, 2, 2, 3, 1, 1]",0.2777777777777778,0.2777777777777778,0.5538461538461539,defined,True,0.6222222222222221,6,True,True,1.6666666666666667,0.7453559924999299,0.4472135954999579,True,1.6641005886756874,True
v0.22,Cadillac,A,"[2, 2, 1, 0, 1, 2]",0.2222222222222222,0.2222222222222222,0.6428571428571429,defined,True,0.5666666666666667,5,True,True,1.3333333333333333,0.7453559924999299,0.5590169943749475,True,1.7928429140015905,True
v0.22,Rolls-Royce,A,"[2, 1, 2, 2, 3, 3]",0.3611111111111111,0.3611111111111111,0.40936454849498327,defined,True,0.6777777777777777,6,True,True,2.1666666666666665,0.6871842709362768,0.31716197120135853,True,1.43067212962122,True
v0.22,Bentley,A,"[2, 2, 2, 2, 2, 2]",0.3333333333333333,0.3333333333333333,0.0,defined,True,1.0,6,True,True,2.0,0.0,0.0,True,0.0,True
v0.22,Porsche,A,"[6, 6, 4, 6, 5, 5]",0.8888888888888888,0.8888888888888888,1.1249999999999996,defined,True,0.8400000000000002,6,True,True,5.333333333333333,0.7453559924999298,0.13975424859373684,True,2.371708245126284,True
v0.22,BMW,A,"[3, 3, 5, 4, 4, 3]",0.6111111111111112,0.6111111111111112,0.4675324675324675,defined,True,0.6333333333333333,6,True,True,3.6666666666666665,0.7453559924999298,0.20327890704543541,True,1.5289415743128765,True
v0.22,Tesla,B,"[2, 1, 3, 3, 2, 2]",0.3611111111111111,0.3611111111111111,0.40936454849498327,defined,True,0.4222222222222222,6,True,True,2.1666666666666665,0.6871842709362768,0.31716197120135853,True,1.43067212962122,True
v0.22,Rivian,B,"[1, 0, 0, 0, 0, 0]",0.027777777777777776,0.027777777777777776,1.028571428571429,defined,True,,1,False,True,0.16666666666666666,0.372677996249965,,False,2.267786838055364,True
v0.22,Lucid,B,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.22,Polestar,B,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.22,Fisker,B,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.22,Toyota,C,"[4, 3, 5, 4, 4, 4]",0.6666666666666666,0.6666666666666666,0.29999999999999993,defined,True,0.7000000000000001,6,True,True,4.0,0.5773502691896257,0.14433756729740643,True,1.224744871391589,True
v0.22,Honda,C,"[3, 3, 3, 3, 3, 3]",0.5,0.5,0.0,defined,True,1.0,6,True,True,3.0,0.0,0.0,True,0.0,True
v0.22,Ford,C,"[2, 1, 2, 1, 1, 1]",0.2222222222222222,0.2222222222222222,0.25714285714285723,defined,True,0.6888888888888888,6,True,True,1.3333333333333333,0.4714045207910317,0.3535533905932738,True,1.1338934190276817,True
v0.22,Chevrolet,C,"[1, 2, 1, 1, 1, 1]",0.19444444444444445,0.19444444444444445,0.17733990147783246,defined,True,0.8333333333333334,6,True,True,1.1666666666666667,0.3726779962499649,0.31943828249996986,True,0.9416472308615165,True
v0.22,Hyundai,C,"[3, 1, 3, 2, 3, 4]",0.4444444444444444,0.4444444444444444,0.72,defined,True,0.6333333333333333,6,True,True,2.6666666666666665,0.9428090415820634,0.3535533905932738,True,1.8973665961010278,True
v0.22,Volkswagen,C,"[1, 1, 1, 2, 1, 1]",0.19444444444444445,0.19444444444444445,0.17733990147783246,defined,True,0.8333333333333334,6,True,True,1.1666666666666667,0.3726779962499649,0.31943828249996986,True,0.9416472308615165,True
v0.22,Nissan,C,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.22,Pontiac,D,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.22,Oldsmobile,D,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.22,Plymouth,D,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.22,Mercury,D,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.22,Saturn,D,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.23,S01,,"[0, 0, 1, 0, 0, 0]",0.027777777777777776,0.027777777777777776,1.028571428571429,defined,True,,1,False,True,0.16666666666666666,0.372677996249965,,False,2.267786838055364,True
v0.23,S02,,"[1, 3, 3, 1, 1, 1]",0.2777777777777778,0.2777777777777778,0.8861538461538462,defined,True,0.3,6,True,True,1.6666666666666667,0.9428090415820634,0.565685424949238,True,2.1049392463368704,True
v0.23,S03,,"[0, 1, 1, 1, 1, 1]",0.1388888888888889,0.1388888888888889,0.23225806451612904,defined,True,1.0,5,True,True,0.8333333333333334,0.372677996249965,,False,1.0776318121606496,True
v0.23,S04,,"[2, 2, 3, 3, 1, 0]",0.3055555555555556,0.3055555555555556,1.0734545454545454,defined,True,0.6333333333333332,5,True,True,1.8333333333333333,1.0671873729054748,0.5821022034029862,True,2.316737517992215,True
v0.23,S05,,"[1, 2, 2, 3, 0, 1]",0.25,0.25,0.9777777777777779,defined,True,0.3416666666666667,5,True,True,1.5,0.9574271077563381,0.6382847385042254,True,2.211083193570267,True
v0.23,S06,,"[0, 0, 1, 1, 0, 0]",0.05555555555555555,0.05555555555555555,0.847058823529412,defined,True,1.0,2,True,True,0.3333333333333333,0.4714045207910317,,False,2.057983021710106,True
v0.23,S07,,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.23,S08,,"[0, 0, 0, 1, 0, 0]",0.027777777777777776,0.027777777777777776,1.028571428571429,defined,True,,1,False,True,0.16666666666666666,0.372677996249965,,False,2.267786838055364,True
v0.23,S09,,"[0, 2, 0, 1, 0, 1]",0.1111111111111111,0.1111111111111111,1.1250000000000002,defined,True,0.16666666666666666,3,True,True,0.6666666666666666,0.7453559924999299,,False,2.3717082451262845,True
v0.23,S10,,"[0, 2, 2, 1, 0, 0]",0.1388888888888889,0.1388888888888889,1.3470967741935482,defined,True,0.27777777777777773,3,True,True,0.8333333333333334,0.8975274678557507,,False,2.5952810774495587,True
v0.23,S11,,"[0, 0, 3, 5, 0, 1]",0.25,0.25,3.822222222222222,defined,True,0.37777777777777777,3,True,True,1.5,1.8929694486000912,1.2619796324000607,True,4.371625682868,True
v0.23,S12,,"[0, 0, 0, 1, 0, 0]",0.027777777777777776,0.027777777777777776,1.028571428571429,defined,True,,1,False,True,0.16666666666666666,0.372677996249965,,False,2.267786838055364,True
v0.23,S13,,"[2, 4, 1, 0, 0, 0]",0.19444444444444445,0.19444444444444445,2.7310344827586204,defined,True,0.4166666666666667,3,True,True,1.1666666666666667,1.4624940645653537,1.2535663410560174,True,3.695290572308638,True
v0.23,S14,,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.23,S15,,"[3, 3, 2, 1, 0, 1]",0.2777777777777778,0.2777777777777778,1.2184615384615385,defined,True,0.5666666666666667,5,True,True,1.6666666666666667,1.1055415967851334,0.66332495807108,True,2.4682600536223274,True
v0.23,S16,,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.23,S17,,"[3, 2, 0, 0, 1, 3]",0.25,0.25,1.6888888888888889,defined,True,0.2916666666666667,4,True,True,1.5,1.2583057392117916,0.8388704928078611,True,2.9059326290271157,True
v0.23,S18,,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.23,S19,,"[1, 1, 1, 1, 0, 3]",0.19444444444444445,0.19444444444444445,1.0285714285714285,defined,True,0.26666666666666666,5,True,True,1.1666666666666667,0.8975274678557507,0.769309258162072,True,2.2677868380553634,True
v0.23,S20,,"[2, 2, 1, 1, 0, 3]",0.25,0.25,0.9777777777777779,defined,True,0.5999999999999999,5,True,True,1.5,0.9574271077563381,0.6382847385042254,True,2.211083193570267,True
v0.23,S21,,"[0, 0, 0, 0, 0, 0]",0.0,0.0,,zero,False,,0,False,True,0.0,0.0,,False,,False
v0.23,S22,,"[1, 2, 0, 0, 0, 1]",0.1111111111111111,0.1111111111111111,1.1250000000000004,defined,True,0.0,3,True,True,0.6666666666666666,0.74535599249993,,False,2.371708245126285,True
v0.23,S23,,"[0, 0, 1, 0, 0, 1]",0.05555555555555555,0.05555555555555555,0.847058823529412,defined,True,1.0,2,True,True,0.3333333333333333,0.4714045207910317,,False,2.057983021710106,True
v0.23,S24,,"[1, 0, 2, 0, 0, 1]",0.1111111111111111,0.1111111111111111,1.1250000000000004,defined,True,0.16666666666666666,3,True,True,0.6666666666666666,0.74535599249993,,False,2.371708245126285,True
