category,brand,founding_year,age_as_of_2026_01_01,primary_source_url,tie_breaker_source_url,notes
oliveoil,Núñez de Prado,1986,40,https://brindisa.com/blogs/news/a-trip-to-nunez-de-prado,https://en.andalucia.org/listing/almazara-n%C3%BA%C3%B1ez-de-prado/17693101/,"Family olive oil production traces to 1795 (Baena, Andalucía). Modern premium organic brand launched 1986 by the three Núñez de Prado brothers (Paco, Andrés, Felipe); first organic certification in Spain 1990. Brand-as-marketed pivot follows Castillo de Canena precedent (modern brand year, not estate tradition). Pre-1986 production was bulk oil, not premium branded."
oliveoil,Olio Verde,1989,37,https://www.manicaretti.com/producers/olio-verde,http://www.olio-verde.it/well-oiled/,Olio Verde brand released 1989 by Gianfranco Becchina; estate purchased and restored 1985. Brand-as-marketed = 1989 (first commercial release of the brand-named oil). First Sicilian monocultivar olive oil.
running,Adidas,1949,77,https://www.adidas-group.com/en/about/history/,https://en.wikipedia.org/wiki/Adidas,"Founded by Adi Dassler in Herzogenaurach, Germany after split from brother Rudolf (who founded Puma 1948). Brand 'Adidas' registered 18 August 1949."
running,Altra,2011,15,https://www.altrarunning.com/about-us,https://en.wikipedia.org/wiki/Altra_Running,Founded by Golden Harper in Utah. Known for zero-drop heel and FootShape toe box design. Acquired by VF Corporation 2018 (brand year preserved per acquisition rule).
running,Asics,1977,49,https://corp.asics.com/en/about_asics/history,https://en.wikipedia.org/wiki/Asics,"Predecessor Onitsuka Co. Ltd. founded 1949 by Kihachiro Onitsuka; 1977 merger with GTO and JELENK formed Asics Corporation. Brand-as-marketed 'Asics' starts 1977 — 'Onitsuka Tiger' was the separate prior brand (and remains a retro line within Asics). Per Decision 6 ('brand-as-marketed'), use 1977 rename year — analogous to Castillo de Canena precedent (modern brand year, not parent corporate heritage)."
running,Brooks,1914,112,https://www.brooksrunning.com/en_us/our-story/heritage/,https://en.wikipedia.org/wiki/Brooks_Sports,"Founded by Morris Goldenberg in Philadelphia, PA as Brooks Shoe Manufacturing Co. Multiple bankruptcies and re-organizations across 20th century; brand identity continuous. Owned by Berkshire Hathaway since 2006."
running,Hoka,2009,17,https://www.hoka.com/about-us.html,https://en.wikipedia.org/wiki/Hoka_(brand),"Founded by Nicolas Mermoud and Jean-Luc Diard in Annecy, France as 'Hoka One One'; acquired by Deckers Outdoor 2013 (brand year preserved per acquisition rule); rebranded to 'Hoka' in 2021 (brand year preserved per reformulation rule)."
running,New Balance,1906,120,https://www.newbalance.com/our_story.html,https://en.wikipedia.org/wiki/New_Balance,"Founded by William J. Riley in Belmont, Massachusetts as 'New Balance Arch Support Company'. Family-owned (Davis family) since 1972."
running,Nike,1971,55,https://about.nike.com/en/company,https://en.wikipedia.org/wiki/Nike%2C_Inc.,"Predecessor 'Blue Ribbon Sports' founded by Phil Knight and Bill Bowerman 25 January 1964 in Eugene, Oregon. Renamed to Nike Inc. 30 May 1971; swoosh logo and Cortez running shoe introduced same year. Brand-as-marketed 'Nike' starts 1971 — analogous to Asics 1977 and Castillo de Canena 2003 (modern brand year wins, not predecessor corporate heritage)."
running,Norda,2020,6,https://nordarun.com/blogs/stories/the-founders,https://trailrunner.com/trail-news/norda-raises-expectations-for-trail-shoes/,"Founded by Nick and Willa Martire in Montreal, Canada in early 2020. First commercial sale July 2021 (≤2yr rule: use earlier year, 2020). Some sources list 2021 as founding year — these reference the commercial-launch year, not the company-founding year."
running,On,2010,16,https://www.on-running.com/en-us/about,https://en.wikipedia.org/wiki/On_(running_shoe_company),"Founded by Olivier Bernhard, David Allemann, and Caspar Coppetti in Zurich, Switzerland. CloudTec sole technology launched same year."
running,Puma,1948,78,https://about.puma.com/en/this-is-puma/history,https://en.wikipedia.org/wiki/Puma_(brand),"Founded by Rudolf Dassler in Herzogenaurach, Germany after split from brother Adi (who founded Adidas 1949). Brand 'Puma Schuhfabrik Rudolf Dassler' registered 1 October 1948."
running,Salomon,1947,79,https://www.salomon.com/en-us/our-story,https://en.wikipedia.org/wiki/Salomon_Group,"Founded by François Salomon, Jeanne Salomon, and Georges Salomon in Annecy, France. Originally a ski/winter sports brand; running shoes line added 1990s. Owned by Amer Sports."
running,Saucony,1898,128,https://www.saucony.com/en/our-history,https://en.wikipedia.org/wiki/Saucony,"Founded as Saucony Manufacturing Company in Kutztown, Pennsylvania, USA. Acquired by Wolverine World Wide 2005 (brand year preserved per acquisition rule)."
running,Topo Athletic,2013,13,https://www.topoathletic.com/about-us,https://en.wikipedia.org/wiki/Topo_Athletic,"Founded by Tony Post (former Vibram FiveFingers president) in Massachusetts. Known for low-drop, wide toe-box trail and road running shoes."
pmsoftware,Asana,2012,14,"https://en.wikipedia.org/wiki/Asana,_Inc.",,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Founded 2008; commercial GA April 2012. Pre-reg uses product launch year per §5.3."
pmsoftware,Monday,2014,12,https://en.wikipedia.org/wiki/Monday.com,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Founded 2012 as daPulse; public product 2014; renamed monday.com Nov 2017. Using product launch year."
pmsoftware,Jira,2002,24,https://en.wikipedia.org/wiki/Jira_(software),,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Atlassian product, released April 2002."
pmsoftware,Trello,2011,15,https://en.wikipedia.org/wiki/Trello,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Launched September 2011 by Fog Creek; acquired by Atlassian Jan 2017."
pmsoftware,Confluence,2004,22,https://en.wikipedia.org/wiki/Confluence_(software),,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Atlassian product, released March 2004."
pmsoftware,Notion,2016,10,https://en.wikipedia.org/wiki/Notion_(productivity_software),,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Company founded 2013; Notion 1.0 released August 2016 (used here); Notion 2.0 March 2018."
pmsoftware,ClickUp,2017,9,https://en.wikipedia.org/wiki/ClickUp,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Founded and launched 2017 by Zeb Evans and Alex Yurkowski."
pmsoftware,Smartsheet,2006,20,https://en.wikipedia.org/wiki/Smartsheet,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Company founded 2005; product launched 2006."
pmsoftware,Airtable,2015,11,https://en.wikipedia.org/wiki/Airtable,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Company founded 2012; public launch 2015."
pmsoftware,Basecamp,2004,22,https://en.wikipedia.org/wiki/Basecamp_(company),,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Released February 2004 by 37signals."
pmsoftware,Coda,2017,9,https://en.wikipedia.org/wiki/Coda_(document_editor),,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Company founded 2014; public beta October 2017; GA April 2019. Using public beta as product launch."
pmsoftware,Wrike,2006,20,https://en.wikipedia.org/wiki/Wrike,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Founded 2006 by Andrew Filev."
pmsoftware,Workfront,2002,24,https://en.wikipedia.org/wiki/Workfront,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Founded as AtTask 2001; product launched 2002; renamed Workfront 2015; acquired by Adobe 2020."
pmsoftware,Todoist,2007,19,https://en.wikipedia.org/wiki/Todoist,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Launched January 2007 by Amir Salihefendić."
pmsoftware,GitHub Projects,2016,10,https://github.blog/news-insights/product-news/introducing-projects-for-organizations/,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). GitHub Projects boards introduced September 2016. Modern Projects (v2) GA 2022; using original 2016 launch."
pmsoftware,Linear,2019,7,https://www.ycombinator.com/companies/linear,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Founded 2019 by Karri Saarinen, Tuomas Artman, Jori Lallo. Product launched 2019 (Product Hunt)."
pmsoftware,Height,2021,5,https://medium.com/p/719ef4210e18,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Company founded 2018; public access launched September 2021 (Series A announcement). DEFUNCT: shut down 24 September 2025. Per registry-frozen-ness, retained in analysis as phantom brand. See pre-reg §4 and v0.11 paper Discussion."
pmsoftware,Motion,2019,7,https://www.ycombinator.com/companies/motion,,"REPLICATED FROM V0.11 brand_age_sources.csv (git tag v0.11-prereg, commit a039560). Founded 2019 by Harry Qi, Omid Rooholfada, Ethan Yu. Y Combinator Spring 2020."
skincare,CeraVe,2005,21,https://en.wikipedia.org/wiki/CeraVe,,Launched 2005 by Coria Laboratories; brand continued through Valeant (2008) and L'Oréal (2017) acquisitions.
skincare,Cetaphil,1947,79,https://www.cetaphil.com/us/about-us.html,,"Original Cetaphil Cleansing Lotion launched 1947 by Texas pharmacist; brand name unchanged through Texas Pharmacal, Owen Laboratories, and Galderma ownership."
skincare,Neutrogena,1962,64,https://en.wikipedia.org/wiki/Neutrogena,,Natone Cosmetic Company renamed to Neutrogena Corporation in 1962. The Neutrogena soap product preceded the company rename (1954); brand-as-marketed entity dated to the 1962 corporate adoption.
skincare,La Roche-Posay,1975,51,https://en.wikipedia.org/wiki/La_Roche-Posay,,Launched 1975 as a dermatology-focused thermal-spa brand; acquired by L'Oréal 1989; brand name unchanged.
skincare,Vanicream,1980,46,https://www.vanicream.com/about/our-story,,"Pharmaceutical Specialties Inc. founded 1974/1975; Vanicream product (brand-as-marketed) introduced 1980. Brand-as-marketed rule applied — Vanicream brand date used, not PSI company date."
skincare,Skinceuticals,1997,29,https://en.wikipedia.org/wiki/SkinCeuticals,,Founded 1997 by Dr. Sheldon Pinnell; acquired by L'Oréal 2005; brand name unchanged.
skincare,Eucerin,1900,126,https://en.wikipedia.org/wiki/Eucerin,,Launched 1900 by Beiersdorf (Germany); brand continuous since.
skincare,Paula's Choice,1995,31,https://en.wikipedia.org/wiki/Paula%27s_Choice,,Founded 1995 by Paula Begoun as a direct-to-consumer skincare brand.
skincare,Drunk Elephant,2012,14,https://en.wikipedia.org/wiki/Drunk_Elephant,,Founded 2012 by Tiffany Masterson; acquired by Shiseido 2019; brand name unchanged.
skincare,Tatcha,2009,17,https://en.wikipedia.org/wiki/Tatcha,,Founded 2009 by Vicky Tsai; acquired by Unilever 2019; brand name unchanged.
skincare,The Ordinary,2016,10,https://en.wikipedia.org/wiki/Deciem,,Launched 2016 by Deciem (Brandon Truaxe) as a value-focused active-ingredient skincare brand.
skincare,EltaMD,2007,19,https://www.swissamericancdmo.com/our-history/,,"Swiss-American Products produced an 'Elta' product line from 1988; EltaMD brand-as-marketed launched 2007 as physician-dispensed sun/skincare line. Brand-as-marketed rule applied — EltaMD date used, not company date."
skincare,Bioderma,1977,49,https://en.wikipedia.org/wiki/Bioderma,,"Founded 1977 in Lyon, France; flagship H2O Micellar Water launched 1995; brand name continuous."
skincare,Avène,1990,36,https://en.wikipedia.org/wiki/Av%C3%A8ne,,Eau Thermale Avène launched 1990 by Pierre Fabre Dermatologie; thermal-spring source dates to medieval era but commercial brand from 1990.
skincare,Aveeno,1945,81,https://en.wikipedia.org/wiki/Aveeno,,Founded 1945 by Sidney Musher; acquired by Johnson & Johnson 1999; brand name unchanged.
skincare,First Aid Beauty,2009,17,https://en.wikipedia.org/wiki/First_Aid_Beauty,,Founded 2009 by Lilli Gordon; acquired by Procter & Gamble 2018; brand name unchanged.
skincare,Augustinus Bader,2018,8,https://augustinusbader.com/us/en/our-story,,Launched 2018 as a commercial skincare brand by Prof. Augustinus Bader and Charles Rosier.
skincare,Youth to the People,2015,11,https://en.wikipedia.org/wiki/Youth_to_the_People,,Founded 2015 by Joe Cloyes and Greg Gonzalez; acquired by L'Oréal 2021; brand name unchanged.
skincare,La Mer,1965,61,https://en.wikipedia.org/wiki/Cr%C3%A8me_de_la_Mer,,Crème de la Mer formulated 1965 by Dr. Max Huber; commercial brand 'La Mer' launched ~1965; acquired by Estée Lauder Companies 1995; brand name unchanged.
skincare,Estée Lauder,1946,80,https://en.wikipedia.org/wiki/Est%C3%A9e_Lauder_Companies,,Founded 1946 by Estée and Joseph Lauder.
skincare,Lancôme,1935,91,https://en.wikipedia.org/wiki/Lanc%C3%B4me,,Founded 1935 by Armand Petitjean; acquired by L'Oréal 1964; brand name unchanged.
skincare,Clinique,1968,58,https://en.wikipedia.org/wiki/Clinique,,Launched 1968 by Estée Lauder Companies as a dermatologist-tested-line subsidiary brand.
skincare,Kiehl's,1851,175,https://en.wikipedia.org/wiki/Kiehl%27s,,Founded 1851 as an apothecary in New York City; acquired by L'Oréal 2000; brand name unchanged.
skincare,Sunday Riley,2009,17,https://en.wikipedia.org/wiki/Sunday_Riley_(brand),,Founded 2009 by Sunday Riley as an indie clean-clinical skincare brand.
skincare,SK-II,1980,46,https://en.wikipedia.org/wiki/SK-II,,Launched 1980 in Japan by Max Factor Japan; acquired by P&G 1991; brand name unchanged.
skincare,Olay,1952,74,https://en.wikipedia.org/wiki/Olay,,"Originally launched as 'Oil of Olay' in 1952 by Graham Wulff in South Africa; rebranded 'Olay' globally by P&G in 1999. Brand-as-marketed convention: 1952 (the original Oil of Olay brand-as-marketed start; the 1999 simplification is a name shortening, not a rebrand of the brand-as-marketed entity)."
skincare,Origins,1990,36,https://en.wikipedia.org/wiki/Origins_(cosmetics),,Launched 1990 by Estée Lauder Companies as a botanically-inspired skincare brand.
skincare,Dermalogica,1986,40,https://en.wikipedia.org/wiki/Dermalogica,,Founded 1986 by Jane Wurwand; acquired by Unilever 2015; brand name unchanged.
skincare,Murad,1989,37,https://en.wikipedia.org/wiki/Murad_(skincare),,Founded 1989 by Dr. Howard Murad; acquired by Unilever 2015; brand name unchanged.
skincare,Glossier,2014,12,https://en.wikipedia.org/wiki/Glossier,,Founded 2014 by Emily Weiss as a digital-native millennial skincare/beauty brand.
skincare,Beauty of Joseon,2010,16,https://beautyofjoseon.com/pages/about-us,,Launched 2010 by Naturepacific Corporation (South Korea) as a heritage-Korean K-beauty brand.
finance,Mint,2006,20,https://en.wikipedia.org/wiki/Mint_(software),,Founded 2006 by Aaron Patzer; acquired by Intuit 2009; brand operated continuously until announced shutdown October 2023 / completed September 2025. Brand-as-marketed start: 2006.
finance,Quicken,1983,43,https://en.wikipedia.org/wiki/Quicken,,Launched 1983 by Intuit as a personal-finance software product; spun off from Intuit 2016 to private equity (H.I.G. Capital); brand name unchanged through ownership transfer.
finance,Quicken Simplifi,2021,5,https://www.quicken.com/simplifi,,Launched 2021 by Quicken Inc. as a separate mobile-first personal-finance app brand (distinct from Quicken desktop software).
finance,YNAB,2004,22,https://en.wikipedia.org/wiki/You_Need_a_Budget,,Founded 2004 by Jesse Mecham as 'You Need a Budget'; brand name unchanged.
finance,Empower,2023,3,https://en.wikipedia.org/wiki/Personal_Capital,,Personal Capital founded 2009; acquired by Empower Retirement 2020; consumer-facing Personal Capital app rebranded to Empower Personal Dashboard / Empower app in 2023. Brand-as-marketed convention: 2023 (rebrand year). Personal Capital era treated as predecessor brand-as-marketed (analogous to Truebill → Rocket Money rule).
finance,NerdWallet,2009,17,https://en.wikipedia.org/wiki/NerdWallet,,Founded 2009 by Tim Chen and Jacob Gibson; brand name unchanged through 2021 IPO.
finance,Rocket Money,2022,4,https://en.wikipedia.org/wiki/Rocket_Money,,Truebill founded 2015; acquired by Rocket Companies 2021; rebranded to Rocket Money in 2022. Brand-as-marketed convention: 2022 (rebrand year). Truebill era treated as predecessor brand-as-marketed.
finance,PocketGuard,2014,12,https://pocketguard.com/,,Launched 2014 per company website; legal incorporation 2015. Brand-as-marketed convention: 2014 (consumer launch year).
finance,Goodbudget,2013,13,https://goodbudget.com/blog/2013/09/eeba-is-becoming-goodbudget/,,EEBA (Easy Envelope Budget Aid) launched November 2009 by Dayspring Technologies; rebranded to Goodbudget September 2013. Brand-as-marketed convention: 2013 (rebrand year). EEBA era treated as predecessor.
finance,EveryDollar,2015,11,https://www.ramseysolutions.com/ramseyplus/everydollar,,Launched 2015 by Ramsey Solutions (Dave Ramsey) as a budgeting app companion to Financial Peace University.
finance,Monarch Money,2018,8,https://www.monarchmoney.com/about,,"Founded 2018 by Val Agostino, Ozzie Osman, and Jon Sutherland as a Mint successor / post-Mint-shutdown personal-finance app."
finance,Copilot,2020,6,https://copilot.money/,,Founded 2020 by Andres Ugarte as 'Copilot' (later 'Copilot Money'); iOS-first AI-assisted personal-finance app.
finance,Lunch Money,2019,7,https://lunchmoney.app/,,Founded 2019 by Jen Yip as a manual-categorisation-focused personal-finance app.
finance,Origin,2020,6,https://useorigin.com/,,Founded 2020 by Matt Watson and Ben Lerner as 'Origin Financial' (employer-benefits + consumer wealth-management app).
finance,Cleo,2016,10,https://en.wikipedia.org/wiki/Cleo_(company),,Founded 2016 by Barney Hussey-Yeo as Cleo AI Ltd (London); brand name unchanged.
finance,Tiller,2017,9,https://www.tillerhq.com/,,Founded 2017 by Peter Polson as 'Tiller HQ' (later 'Tiller Money' / 'Tiller'); spreadsheet-based personal-finance platform.
