brand,cell,model,probe_text,response_text,recognized,timestamp,latency_s
Apple,T,gpt-4o,Is the brand Apple commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:38.021309+00:00,0.641
Apple,T,gpt-4o-mini,Is the brand Apple commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:38.896371+00:00,1.513
CDW,T,claude-opus-4-5,Is the brand CDW commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:09.830923+00:00,5.261
CDW,T,claude-sonnet-4-5,Is the brand CDW commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:06.225627+00:00,1.518
CDW,T,gemini-2.5-flash,Is the brand CDW commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:07.443632+00:00,2.008
CDW,T,gemini-2.5-flash-lite,Is the brand CDW commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:06.283972+00:00,0.353
CDW,T,gpt-4o,Is the brand CDW commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:05.435882+00:00,0.538
CDW,T,gpt-4o-mini,Is the brand CDW commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:05.932667+00:00,0.981
Corning,T,claude-opus-4-5,Is the brand Corning commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:55.978775+00:00,1.715
Corning,T,claude-sonnet-4-5,Is the brand Corning commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:56.016117+00:00,1.686
Corning,T,gemini-2.5-flash,Is the brand Corning commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:59.787190+00:00,4.298
Corning,T,gemini-2.5-flash-lite,Is the brand Corning commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:55.906805+00:00,0.321
Corning,T,gpt-4o,Is the brand Corning commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:55.489132+00:00,0.867
Corning,T,gpt-4o-mini,Is the brand Corning commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:56.167877+00:00,0.681
Dell Technologies,T,claude-opus-4-5,Is the brand Dell Technologies commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:46.886714+00:00,1.319
Dell Technologies,T,claude-sonnet-4-5,Is the brand Dell Technologies commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:47.512110+00:00,1.551
Dell Technologies,T,gemini-2.5-flash,Is the brand Dell Technologies commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:49.033093+00:00,2.145
Dell Technologies,T,gemini-2.5-flash-lite,Is the brand Dell Technologies commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:47.499475+00:00,0.611
Dell Technologies,T,gpt-4o,Is the brand Dell Technologies commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:47.502508+00:00,0.618
Dell Technologies,T,gpt-4o-mini,Is the brand Dell Technologies commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:47.503700+00:00,0.618
Flex,T,claude-opus-4-5,Is the brand Flex commonly recognized as a technology brand? Answer yes or no.,No,no,2026-06-01T17:25:00.669713+00:00,0.843
Flex,T,claude-sonnet-4-5,Is the brand Flex commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:25:04.570241+00:00,4.408
Flex,T,gemini-2.5-flash,Is the brand Flex commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:05.931228+00:00,4.593
Flex,T,gemini-2.5-flash-lite,Is the brand Flex commonly recognized as a technology brand? Answer yes or no.,No,no,2026-06-01T17:25:03.165523+00:00,0.619
Flex,T,gpt-4o,Is the brand Flex commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:25:01.321797+00:00,0.652
Flex,T,gpt-4o-mini,Is the brand Flex commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:25:03.169039+00:00,1.848
Google,T,claude-opus-4-5,Is the brand Google commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:37.379473+00:00,2.861
Google,T,claude-sonnet-4-5,Is the brand Google commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:37.693922+00:00,3.174
Google,T,gemini-2.5-flash,Is the brand Google commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:37.361008+00:00,2.841
Google,T,gemini-2.5-flash-lite,Is the brand Google commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:36.003199+00:00,1.483
Google,T,gpt-4o,Is the brand Google commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:37.382695+00:00,2.863
Google,T,gpt-4o-mini,Is the brand Google commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:37.446646+00:00,2.928
HPE,T,claude-opus-4-5,Is the brand HPE commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:04.897421+00:00,1.732
HPE,T,claude-sonnet-4-5,Is the brand HPE commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:04.707954+00:00,1.539
HPE,T,gemini-2.5-flash,Is the brand HPE commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:07.586366+00:00,3.019
HPE,T,gemini-2.5-flash-lite,Is the brand HPE commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:04.951584+00:00,0.382
HPE,T,gpt-4o,Is the brand HPE commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:04.089344+00:00,0.697
HPE,T,gpt-4o-mini,Is the brand HPE commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:04.568898+00:00,0.480
Instagram,T,claude-opus-4-5,Is the brand Instagram commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:42.586331+00:00,1.541
Instagram,T,claude-sonnet-4-5,Is the brand Instagram commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:41.970985+00:00,0.859
Instagram,T,gemini-2.5-flash,Is the brand Instagram commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:24:46.886669+00:00,4.917
Instagram,T,gemini-2.5-flash-lite,Is the brand Instagram commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:42.447995+00:00,0.477
Instagram,T,gpt-4o,Is the brand Instagram commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:42.048964+00:00,0.936
Instagram,T,gpt-4o-mini,Is the brand Instagram commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:42.062116+00:00,0.399
Jabil,T,claude-opus-4-5,Is the brand Jabil commonly recognized as a technology brand? Answer yes or no.,No,no,2026-06-01T17:25:09.615016+00:00,2.028
Jabil,T,claude-sonnet-4-5,Is the brand Jabil commonly recognized as a technology brand? Answer yes or no.,"No.

Jabil is primarily recognized as a manufacturing services company, not a technology brand. They provide contract manufacturing and supply chain services to other companies rather than selling consumer technology products under their own brand name.",no,2026-06-01T17:25:10.024444+00:00,2.374
Jabil,T,gemini-2.5-flash,Is the brand Jabil commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:25:12.382284+00:00,4.180
Jabil,T,gemini-2.5-flash-lite,Is the brand Jabil commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:08.807203+00:00,0.356
Jabil,T,gpt-4o,Is the brand Jabil commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:08.451771+00:00,0.799
Jabil,T,gpt-4o-mini,Is the brand Jabil commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:25:08.202497+00:00,0.445
Lam Research,T,claude-opus-4-5,Is the brand Lam Research commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:10.331829+00:00,1.525
Lam Research,T,claude-sonnet-4-5,Is the brand Lam Research commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:11.460994+00:00,1.846
Lam Research,T,gemini-2.5-flash,Is the brand Lam Research commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:25:12.575200+00:00,2.258
Lam Research,T,gemini-2.5-flash-lite,Is the brand Lam Research commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:10.709222+00:00,0.375
Lam Research,T,gpt-4o,Is the brand Lam Research commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:10.442852+00:00,0.612
Lam Research,T,gpt-4o-mini,Is the brand Lam Research commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:10.789783+00:00,0.765
Microsoft,T,claude-opus-4-5,Is the brand Microsoft commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:41.112457+00:00,1.601
Microsoft,T,claude-sonnet-4-5,Is the brand Microsoft commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:41.111796+00:00,1.532
Microsoft,T,gemini-2.5-flash,Is the brand Microsoft commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:41.968618+00:00,1.997
Microsoft,T,gemini-2.5-flash-lite,Is the brand Microsoft commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:41.046080+00:00,0.615
Microsoft,T,gpt-4o,Is the brand Microsoft commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:39.971515+00:00,0.373
Microsoft,T,gpt-4o-mini,Is the brand Microsoft commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:41.663395+00:00,1.797
Motorola Solutions,T,claude-opus-4-5,Is the brand Motorola Solutions commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:52.737893+00:00,1.552
Motorola Solutions,T,claude-sonnet-4-5,Is the brand Motorola Solutions commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:53.332820+00:00,1.555
Motorola Solutions,T,gemini-2.5-flash,Is the brand Motorola Solutions commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:55.629787+00:00,2.910
Motorola Solutions,T,gemini-2.5-flash-lite,Is the brand Motorola Solutions commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:53.032272+00:00,0.311
Motorola Solutions,T,gpt-4o,Is the brand Motorola Solutions commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:52.719437+00:00,0.801
Motorola Solutions,T,gpt-4o-mini,Is the brand Motorola Solutions commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:52.720785+00:00,0.795
Netapp,T,claude-opus-4-5,Is the brand Netapp commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:07.649973+00:00,1.717
Netapp,T,claude-sonnet-4-5,Is the brand Netapp commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:07.652510+00:00,1.426
Netapp,T,gemini-2.5-flash,Is the brand Netapp commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:10.317982+00:00,3.233
Netapp,T,gemini-2.5-flash-lite,Is the brand Netapp commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:07.757716+00:00,0.314
Netapp,T,gpt-4o,Is the brand Netapp commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:06.652439+00:00,0.369
Netapp,T,gpt-4o-mini,Is the brand Netapp commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:07.085290+00:00,0.432
Netflix,T,claude-opus-4-5,Is the brand Netflix commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:39.598292+00:00,1.631
Netflix,T,claude-sonnet-4-5,Is the brand Netflix commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:39.580239+00:00,1.582
Netflix,T,gemini-2.5-flash,Is the brand Netflix commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:45.040713+00:00,6.026
Netflix,T,gemini-2.5-flash-lite,Is the brand Netflix commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:39.866903+00:00,0.356
Netflix,T,gpt-4o,Is the brand Netflix commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:40.430612+00:00,2.410
Netflix,T,gpt-4o-mini,Is the brand Netflix commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:39.511111+00:00,0.615
Parker-Hannifin,T,claude-opus-4-5,Is the brand Parker-Hannifin commonly recognized as a technology brand? Answer yes or no.,No,no,2026-06-01T17:25:13.300267+00:00,2.858
Parker-Hannifin,T,claude-sonnet-4-5,Is the brand Parker-Hannifin commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:25:11.725757+00:00,1.018
Parker-Hannifin,T,gemini-2.5-flash,Is the brand Parker-Hannifin commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:16.371556+00:00,4.909
Parker-Hannifin,T,gemini-2.5-flash-lite,Is the brand Parker-Hannifin commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:12.382111+00:00,0.657
Parker-Hannifin,T,gpt-4o,Is the brand Parker-Hannifin commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:25:11.463784+00:00,0.674
Parker-Hannifin,T,gpt-4o-mini,Is the brand Parker-Hannifin commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:12.383745+00:00,0.924
Pitney Bowes,T,claude-opus-4-5,Is the brand Pitney Bowes commonly recognized as a technology brand? Answer yes or no.,No,no,2026-06-01T17:24:58.944943+00:00,1.884
Pitney Bowes,T,claude-sonnet-4-5,Is the brand Pitney Bowes commonly recognized as a technology brand? Answer yes or no.,"No.

Pitney Bowes is primarily recognized as a mailing and shipping equipment company, not as a technology brand in the common sense of the term.",no,2026-06-01T17:24:59.293738+00:00,1.447
Pitney Bowes,T,gemini-2.5-flash,Is the brand Pitney Bowes commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:25:02.546920+00:00,4.271
Pitney Bowes,T,gemini-2.5-flash-lite,Is the brand Pitney Bowes commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:58.862842+00:00,0.586
Pitney Bowes,T,gpt-4o,Is the brand Pitney Bowes commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:58.276580+00:00,0.427
Pitney Bowes,T,gpt-4o-mini,Is the brand Pitney Bowes commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:58.275479+00:00,0.423
QVC,T,claude-opus-4-5,Is the brand QVC commonly recognized as a technology brand? Answer yes or no.,No,no,2026-06-01T17:24:51.918802+00:00,1.657
QVC,T,claude-sonnet-4-5,Is the brand QVC commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:24:51.185806+00:00,0.839
QVC,T,gemini-2.5-flash,Is the brand QVC commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:24:54.260719+00:00,3.453
QVC,T,gemini-2.5-flash-lite,Is the brand QVC commonly recognized as a technology brand? Answer yes or no.,No,no,2026-06-01T17:24:51.777637+00:00,0.718
QVC,T,gpt-4o,Is the brand QVC commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:24:50.807511+00:00,0.425
QVC,T,gpt-4o-mini,Is the brand QVC commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:24:51.059990+00:00,0.466
Seagate Technology,T,claude-opus-4-5,Is the brand Seagate Technology commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:54.329466+00:00,1.591
Seagate Technology,T,claude-sonnet-4-5,Is the brand Seagate Technology commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:55.487908+00:00,2.495
Seagate Technology,T,gemini-2.5-flash,Is the brand Seagate Technology commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:55.585338+00:00,2.218
Seagate Technology,T,gemini-2.5-flash-lite,Is the brand Seagate Technology commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:54.623095+00:00,0.361
Seagate Technology,T,gpt-4o,Is the brand Seagate Technology commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:53.367741+00:00,0.336
Seagate Technology,T,gpt-4o-mini,Is the brand Seagate Technology commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:54.261623+00:00,0.929
Thermo Fisher Scientific,T,claude-opus-4-5,Is the brand Thermo Fisher Scientific commonly recognized as a technology brand? Answer yes or no.,"No

Thermo Fisher Scientific is commonly recognized as a **life sciences/scientific equipment** brand, not a technology brand in the typical sense (like Apple, Microsoft, or Google). It's known for laboratory equipment, analytical instruments, reagents, and services for scientific research and healthcare.",no,2026-06-01T17:25:03.391732+00:00,4.529
Thermo Fisher Scientific,T,claude-sonnet-4-5,Is the brand Thermo Fisher Scientific commonly recognized as a technology brand? Answer yes or no.,"No.

Thermo Fisher Scientific is primarily recognized as a life sciences and laboratory equipment/services company, not as a technology brand in the conventional sense (like Apple, Microsoft, or Google).",no,2026-06-01T17:25:01.337412+00:00,2.393
Thermo Fisher Scientific,T,gemini-2.5-flash,Is the brand Thermo Fisher Scientific commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:25:04.567797+00:00,4.781
Thermo Fisher Scientific,T,gemini-2.5-flash-lite,Is the brand Thermo Fisher Scientific commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:25:00.162433+00:00,0.373
Thermo Fisher Scientific,T,gpt-4o,Is the brand Thermo Fisher Scientific commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:24:59.789069+00:00,0.639
Thermo Fisher Scientific,T,gpt-4o-mini,Is the brand Thermo Fisher Scientific commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:59.826362+00:00,0.533
Uber,T,claude-opus-4-5,Is the brand Uber commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:46.888684+00:00,4.839
Uber,T,claude-sonnet-4-5,Is the brand Uber commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:43.452784+00:00,1.390
Uber,T,gemini-2.5-flash,Is the brand Uber commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:46.883994+00:00,3.679
Uber,T,gemini-2.5-flash-lite,Is the brand Uber commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:43.577417+00:00,0.370
Uber,T,gpt-4o,Is the brand Uber commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:43.205310+00:00,0.756
Uber,T,gpt-4o-mini,Is the brand Uber commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:43.207007+00:00,0.620
VMware,T,claude-opus-4-5,Is the brand VMware commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:57.060139+00:00,1.431
VMware,T,claude-sonnet-4-5,Is the brand VMware commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:57.850740+00:00,1.943
VMware,T,gemini-2.5-flash,Is the brand VMware commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:59.151034+00:00,2.983
VMware,T,gemini-2.5-flash-lite,Is the brand VMware commonly recognized as a technology brand? Answer yes or no.,Yes,yes,2026-06-01T17:24:57.847786+00:00,0.827
VMware,T,gpt-4o,Is the brand VMware commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:57.019841+00:00,1.042
VMware,T,gpt-4o-mini,Is the brand VMware commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:57.852325+00:00,1.836
Whirlpool,T,claude-opus-4-5,Is the brand Whirlpool commonly recognized as a technology brand? Answer yes or no.,No,no,2026-06-01T17:24:49.164545+00:00,1.665
Whirlpool,T,claude-sonnet-4-5,Is the brand Whirlpool commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:24:49.386378+00:00,1.884
Whirlpool,T,gemini-2.5-flash,Is the brand Whirlpool commonly recognized as a technology brand? Answer yes or no.,"No.

Whirlpool is commonly recognized as a home appliance brand. While their products incorporate technology, they are not generally categorized as a ""technology brand"" in the same way companies like Apple, Samsung (for phones/chips), Microsoft, or Intel are.",no,2026-06-01T17:24:50.382799+00:00,2.269
Whirlpool,T,gemini-2.5-flash-lite,Is the brand Whirlpool commonly recognized as a technology brand? Answer yes or no.,No,no,2026-06-01T17:24:49.035082+00:00,0.918
Whirlpool,T,gpt-4o,Is the brand Whirlpool commonly recognized as a technology brand? Answer yes or no.,No.,no,2026-06-01T17:24:48.114045+00:00,0.610
Whirlpool,T,gpt-4o-mini,Is the brand Whirlpool commonly recognized as a technology brand? Answer yes or no.,Yes.,yes,2026-06-01T17:24:48.115858+00:00,0.603
