substrate,brand,cell,mean_r,defined,recall_per_model,recog_per_model,eta2_cvcpc,eta2_cp,delta_eta2
v0.20,La Prairie,A,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.20,Clé de Peau Beauté,A,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.20,Rare Beauty,B,0.500000,False,"[1, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",0.666667,0.000000,0.666667
v0.20,Rhode,B,1.166667,True,"[1, 2, 0, 0, 3, 1]","[1, 1, 1, 1, 1, 1]",0.634146,0.000000,0.634146
v0.20,Fenty Skin,B,0.666667,False,"[1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 1]",0.250000,0.000000,0.250000
v0.20,Goop,B,0.166667,False,"[1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]",0.400000,0.250000,0.150000
v0.20,Drunk Elephant,B,5.000000,True,"[5, 5, 5, 6, 5, 4]","[1, 1, 1, 1, 1, 1]",0.500000,0.000000,0.500000
v0.20,Glossier,B,0.500000,False,"[0, 1, 2, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.285714,0.000000,0.285714
v0.20,Augustinus Bader,B,1.166667,True,"[2, 2, 0, 0, 1, 2]","[1, 1, 1, 1, 1, 1]",0.896552,0.000000,0.896552
v0.20,Tower 28,B,0.166667,False,"[0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 1]",0.400000,0.250000,0.150000
v0.20,SkinCeuticals,C,4.500000,True,"[5, 5, 3, 5, 5, 4]","[1, 1, 1, 1, 1, 1]",0.285714,0.000000,0.285714
v0.20,La Roche-Posay,C,4.500000,True,"[5, 4, 5, 4, 4, 5]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.20,Paula's Choice,C,3.500000,True,"[4, 2, 2, 2, 5, 6]","[1, 1, 1, 1, 1, 1]",0.838710,0.000000,0.838710
v0.20,CeraVe,C,5.833333,True,"[6, 6, 6, 5, 6, 6]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.20,The Ordinary,C,5.166667,True,"[5, 5, 5, 5, 5, 6]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.20,Cetaphil,C,1.333333,True,"[2, 2, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",1.000000,0.000000,1.000000
v0.20,Eucerin,C,0.500000,False,"[1, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.20,Bioderma,C,0.333333,False,"[0, 0, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1]",1.000000,0.000000,1.000000
v0.21,MAC Cosmetics,A,2.666667,True,"[1, 3, 4, 3, 3, 2]","[1, 1, 1, 1, 1, 1]",0.437500,0.000000,0.437500
v0.21,NARS,A,4.833333,True,"[6, 4, 4, 4, 5, 6]","[1, 1, 1, 1, 1, 1]",0.482759,0.000000,0.482759
v0.21,Bobbi Brown,A,1.333333,True,"[1, 2, 1, 2, 1, 1]","[1, 1, 1, 1, 1, 1]",0.250000,0.000000,0.250000
v0.21,Tom Ford Beauty,A,1.000000,True,"[1, 1, 1, 0, 0, 3]","[1, 1, 1, 1, 1, 1]",0.166667,0.000000,0.166667
v0.21,Giorgio Armani Beauty,A,0.166667,False,"[0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.21,Hourglass,A,0.333333,False,"[0, 0, 0, 0, 0, 2]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.21,Chantecaille,A,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.21,Laura Mercier,A,0.833333,False,"[2, 0, 1, 0, 2, 0]","[1, 1, 1, 1, 1, 1]",0.068966,0.000000,0.068966
v0.21,Rare Beauty,B,3.000000,True,"[3, 3, 2, 3, 4, 3]","[1, 1, 1, 1, 1, 1]",0.500000,0.000000,0.500000
v0.21,Fenty Beauty,B,4.166667,True,"[3, 3, 5, 6, 4, 4]","[1, 1, 1, 1, 1, 1]",0.926829,0.000000,0.926829
v0.21,Haus Labs,B,0.666667,False,"[1, 2, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]",0.700000,0.000000,0.700000
v0.21,Pat McGrath Labs,B,2.333333,True,"[3, 2, 3, 2, 1, 3]","[1, 1, 1, 1, 1, 1]",0.100000,0.000000,0.100000
v0.21,Charlotte Tilbury,B,4.833333,True,"[6, 6, 4, 6, 3, 4]","[1, 1, 1, 1, 1, 1]",0.716981,0.000000,0.716981
v0.21,Huda Beauty,B,1.833333,True,"[0, 2, 3, 3, 1, 2]","[1, 1, 1, 1, 1, 1]",0.634146,0.000000,0.634146
v0.21,Kylie Cosmetics,B,0.833333,False,"[1, 0, 1, 2, 0, 1]","[1, 1, 1, 1, 1, 1]",0.470588,0.000000,0.470588
v0.21,Anastasia Beverly Hills,B,2.166667,True,"[1, 2, 3, 3, 2, 2]","[1, 1, 1, 1, 1, 1]",0.823529,0.000000,0.823529
v0.21,Maybelline,C,2.000000,True,"[5, 2, 1, 0, 0, 4]","[1, 1, 1, 1, 1, 1]",0.409091,0.000000,0.409091
v0.21,L'Oréal Paris,C,1.166667,True,"[2, 0, 1, 0, 1, 3]","[1, 1, 1, 1, 1, 1]",0.341463,0.000000,0.341463
v0.21,CoverGirl,C,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.21,Revlon,C,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.21,NYX Professional Makeup,C,1.833333,True,"[4, 2, 0, 1, 0, 4]","[1, 1, 1, 1, 1, 1]",0.376238,0.000000,0.376238
v0.21,e.l.f. Cosmetics,C,1.666667,True,"[3, 2, 1, 0, 2, 2]","[1, 1, 1, 1, 1, 1]",0.812500,0.000000,0.812500
v0.21,Wet n Wild,C,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.21,Milani Cosmetics,C,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.22,Mercedes-Benz,A,4.333333,True,"[4, 4, 5, 4, 5, 4]","[1, 1, 1, 1, 1, 1]",0.250000,0.000000,0.250000
v0.22,Jaguar,A,1.666667,True,"[1, 2, 2, 3, 1, 1]","[1, 1, 1, 1, 1, 1]",0.700000,0.000000,0.700000
v0.22,Cadillac,A,1.333333,True,"[2, 2, 1, 0, 1, 2]","[1, 1, 1, 1, 1, 1]",0.700000,0.000000,0.700000
v0.22,Rolls-Royce,A,2.166667,True,"[2, 1, 2, 2, 3, 3]","[1, 1, 1, 1, 1, 1]",0.823529,0.000000,0.823529
v0.22,Bentley,A,2.000000,True,"[2, 2, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.22,Porsche,A,5.333333,True,"[6, 6, 4, 6, 5, 5]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.22,BMW,A,3.666667,True,"[3, 3, 5, 4, 4, 3]","[1, 1, 1, 1, 1, 1]",0.700000,0.000000,0.700000
v0.22,Tesla,B,2.166667,True,"[2, 1, 3, 3, 2, 2]","[1, 1, 1, 1, 1, 1]",0.823529,0.000000,0.823529
v0.22,Rivian,B,0.166667,False,"[1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.22,Lucid,B,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.22,Polestar,B,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.22,Fisker,B,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 1, 1]",0.000000,0.400000,-0.400000
v0.22,Toyota,C,4.000000,True,"[4, 3, 5, 4, 4, 4]","[1, 1, 1, 1, 1, 1]",0.500000,0.000000,0.500000
v0.22,Honda,C,3.000000,True,"[3, 3, 3, 3, 3, 3]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.22,Ford,C,1.333333,True,"[2, 1, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",0.250000,0.000000,0.250000
v0.22,Chevrolet,C,1.166667,True,"[1, 2, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.22,Hyundai,C,2.666667,True,"[3, 1, 3, 2, 3, 4]","[1, 1, 1, 1, 1, 1]",0.437500,0.000000,0.437500
v0.22,Volkswagen,C,1.166667,True,"[1, 1, 1, 2, 1, 1]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.22,Nissan,C,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.22,Pontiac,D,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.22,Oldsmobile,D,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.22,Plymouth,D,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.22,Mercury,D,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.22,Saturn,D,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.23,S01,,0.166667,False,"[0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.23,S02,,1.666667,True,"[1, 3, 3, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",0.250000,0.000000,0.250000
v0.23,S03,,0.833333,False,"[0, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.23,S04,,1.833333,True,"[2, 2, 3, 3, 1, 0]","[1, 1, 1, 1, 1, 1]",0.926829,0.000000,0.926829
v0.23,S05,,1.500000,True,"[1, 2, 2, 3, 0, 1]","[1, 1, 1, 1, 1, 1]",0.727273,0.000000,0.727273
v0.23,S06,,0.333333,False,"[0, 0, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1]",1.000000,0.000000,1.000000
v0.23,S07,,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.23,S08,,0.166667,False,"[0, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.23,S09,,0.666667,False,"[0, 2, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1]",0.100000,0.000000,0.100000
v0.23,S10,,0.833333,False,"[0, 2, 2, 1, 0, 0]","[1, 1, 1, 1, 1, 1]",0.482759,0.000000,0.482759
v0.23,S11,,1.500000,True,"[0, 0, 3, 5, 0, 1]","[1, 1, 1, 1, 1, 1]",0.883721,0.000000,0.883721
v0.23,S12,,0.166667,False,"[0, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]",0.400000,0.000000,0.400000
v0.23,S13,,1.166667,True,"[2, 4, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.805195,0.000000,0.805195
v0.23,S14,,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.23,S15,,1.666667,True,"[3, 3, 2, 1, 0, 1]","[1, 1, 1, 1, 1, 1]",0.863636,0.000000,0.863636
v0.23,S16,,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.23,S17,,1.500000,True,"[3, 2, 0, 0, 1, 3]","[1, 1, 1, 1, 1, 1]",0.736842,0.000000,0.736842
v0.23,S18,,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.23,S19,,1.166667,True,"[1, 1, 1, 1, 0, 3]","[1, 1, 1, 1, 1, 1]",0.068966,0.000000,0.068966
v0.23,S20,,1.500000,True,"[2, 2, 1, 1, 0, 3]","[1, 1, 1, 1, 1, 1]",0.181818,0.000000,0.181818
v0.23,S21,,0.000000,False,"[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]",0.000000,0.000000,0.000000
v0.23,S22,,0.666667,False,"[1, 2, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]",0.700000,0.000000,0.700000
v0.23,S23,,0.333333,False,"[0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1]",0.250000,0.000000,0.250000
v0.23,S24,,0.666667,False,"[1, 0, 2, 0, 0, 1]","[1, 1, 1, 1, 1, 1]",0.100000,0.000000,0.100000
