brand,category,region,t1_n_days_total,t1_n_nonzero_days,t1_mean,t1_sd,t1_min,t1_max,t1_raw_mean,t1_raw_sd,t1_eligible_E1b,t1_raw_eligible,t1_sparse_E5,t2_n_days_total,t2_n_nonzero_days,t2_mean,t2_sd,t2_min,t2_max,t2_raw_mean,t2_raw_sd,t2_eligible_E1b,t2_raw_eligible,t2_sparse_E5
New Balance,running,worldwide,7,7,7.37,0.73,5.95,8.14,6.29,0.76,True,True,False,7,7,9.25,1.51,7.06,10.98,7.86,1.35,True,True,False
New Balance,running,US,7,7,14.46,0.87,13.41,16.05,12.43,0.98,True,True,False,7,7,17.57,2.97,13.41,21.43,15.43,3.31,True,True,False
Nike,running,worldwide,7,7,14.74,1.23,13.1,16.28,12.57,1.4,True,True,False,7,7,17.83,1.53,15.29,19.75,15.14,1.46,True,True,False
Nike,running,US,7,7,31.4,1.42,29.27,33.33,27,2.0,True,True,False,7,7,35.76,5.21,28.05,44.05,31.29,5.38,True,True,False
Norda,running,worldwide,7,7,1.18,0.11,1.0,1.32,1,0.0,True,False,False,7,7,1.18,0.07,1.05,1.25,1,0.0,True,False,False
Norda,running,US,7,7,1.17,0.1,1.0,1.23,1,0.0,True,False,False,7,7,1.95,0.52,1.2,2.38,1.71,0.49,True,True,False
Notion,pmsoftware,worldwide,7,7,589.46,150.71,466.67,825.0,79.86,12.93,True,True,False,7,7,618.28,204.15,472.22,942.86,81.71,13.65,True,True,False
Notion,pmsoftware,US,7,7,307.37,128.5,216.67,535.71,86.71,11.95,True,True,False,7,7,322.22,156.09,220.93,581.82,82.43,12.65,True,True,False
On,running,worldwide,7,7,1.18,0.11,1.0,1.32,1,0.0,True,False,False,7,7,1.18,0.07,1.05,1.25,1,0.0,True,False,False
On,running,US,7,7,2.63,0.32,2.38,3.19,2.29,0.49,True,True,False,7,7,2.6,0.36,2.35,3.16,2.29,0.49,True,True,False
Puma,running,worldwide,7,7,3.2,0.63,2.38,3.95,2.71,0.49,True,True,False,7,7,4.2,0.59,3.53,4.94,3.57,0.53,True,True,False
Puma,running,US,7,7,5.67,0.58,4.88,6.17,4.86,0.38,True,True,False,7,7,6.81,1.61,4.82,8.42,6,1.73,True,True,False
Salomon,running,worldwide,7,7,1.18,0.11,1.0,1.32,1,0.0,True,False,False,7,7,1.18,0.07,1.05,1.25,1,0.0,True,False,False
Salomon,running,US,7,7,2.51,0.55,2.0,3.7,2.14,0.38,True,True,False,7,7,2.77,0.5,2.35,3.57,2.43,0.53,True,True,False
Saucony,running,worldwide,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Saucony,running,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Smartsheet,pmsoftware,worldwide,7,7,33.33,7.5,25.0,46.15,5,2.08,True,True,False,7,7,35.52,9.58,14.29,42.86,5.43,2.44,True,True,False
Smartsheet,pmsoftware,US,7,7,70.34,18.48,42.86,90.0,24.71,12.62,True,True,False,7,7,75.64,21.03,45.45,97.22,25.71,14.16,True,True,False
Todoist,pmsoftware,worldwide,7,7,28.51,9.63,22.0,43.9,19.57,2.51,True,True,False,7,7,28.28,9.15,21.43,43.24,19.57,3.26,True,True,False
Todoist,pmsoftware,US,7,7,24.2,10.32,16.84,41.18,16.29,2.43,True,True,False,7,7,26.06,13.5,17.0,48.0,15.71,2.43,True,True,False
Topo Athletic,running,worldwide,7,7,1.18,0.11,1.0,1.32,1,0.0,True,False,False,7,7,1.18,0.07,1.05,1.25,1,0.0,True,False,False
Topo Athletic,running,US,7,7,4.79,0.51,3.7,5.32,4.14,0.69,True,True,False,7,7,4.6,0.31,4.12,4.88,4,0.0,True,False,False
Trello,pmsoftware,worldwide,7,7,212.04,52.88,172.41,300.0,46.86,9.81,True,True,False,7,7,227.31,63.11,174.19,341.67,50.14,8.97,True,True,False
Trello,pmsoftware,US,7,7,130.75,73.18,82.05,246.15,32,1.53,True,True,False,7,7,165.33,134.93,81.58,440.0,33.86,5.15,True,True,False
Workfront,pmsoftware,worldwide,7,7,6.48,1.41,4.65,8.57,5,1.83,True,True,False,7,7,6.15,1.13,5.0,8.08,5,2.31,True,True,False
Workfront,pmsoftware,US,7,7,9.7,2.81,5.71,13.27,8,4.32,True,True,False,7,7,10.5,3.73,4.0,14.0,8.57,5.09,True,True,False
Wrike,pmsoftware,worldwide,7,7,12.01,0.68,11.0,12.86,9.29,3.09,True,True,False,7,7,11.32,0.61,10.53,12.5,8.86,3.08,True,True,False
Wrike,pmsoftware,US,7,7,13.6,2.63,8.57,16.3,10.86,5.21,True,True,False,7,7,13.61,2.07,10.0,16.47,10.29,5.09,True,True,False
