category,bundle_id,bundle_label,region,members,queries,pull_timestamp_utc,http_status,timeline_points,status,raw_path,notes
pmsoftware,1,pm-incumbents,US,Asana|Monday|Jira|Trello|Confluence,/m/0c3z_p8|/g/11h1m5p60w|/g/11bc5c0lmw|/m/0h665rh|/m/05nyz0,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/US/pmsoftware_bundle_1_2026-05-11T10-33-22.535262+00-00.json,pivot_min=10 pivot_max=39 pivot_mean=29.1
pmsoftware,2,pm-mid-tier-I,US,Asana|Notion|ClickUp|Smartsheet|Airtable,/m/0c3z_p8|/g/11fd7dbddz|/g/11g9n26732|/m/010h7t67|/g/11c3ypc1q3,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/US/pmsoftware_bundle_2_2026-05-11T10-33-22.535262+00-00.json,pivot_min=11 pivot_max=43 pivot_mean=31.8
pmsoftware,3,pm-mid-tier-II,US,Asana|Basecamp|Coda|Wrike|Workfront,/m/0c3z_p8|/m/0d04n6|/g/11f3h7_jw9|wrike|workfront,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/US/pmsoftware_bundle_3_2026-05-11T10-33-22.535262+00-00.json,pivot_min=25 pivot_max=100 pivot_mean=74.0
pmsoftware,4,pm-challengers,US,Asana|Linear|Todoist|GitHub Projects|Motion,/m/0c3z_p8|linear project management|todoist|github projects|motion project management,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/US/pmsoftware_bundle_4_2026-05-11T10-33-22.535262+00-00.json,pivot_min=25 pivot_max=100 pivot_mean=76.3
pmsoftware,5,pm-remainder-padding,US,Asana|Height|__pad_kanban|__pad_agile|__pad_scrum,/m/0c3z_p8|height project management|kanban|agile|scrum,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/US/pmsoftware_bundle_5_2026-05-11T10-33-22.535262+00-00.json,pivot_min=14 pivot_max=56 pivot_mean=42.9
oliveoil,1,oil-mixed-tier,US,California Olive Ranch|Bertolli|Cobram Estate|Castillo de Canena|Frantoio Muraglia,/g/11cn92g97s|Bertolli olive oil|/g/11m9tx9srq|/g/11dxd55q7z|/g/11s888kbqf,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/US/oliveoil_bundle_1_2026-05-11T10-33-22.535262+00-00.json,pivot_min=63 pivot_max=100 pivot_mean=80.4
oliveoil,2,oil-challengers-padding,US,California Olive Ranch|Brightland|Graza|Kosterina|__pad_olive_oil,/g/11cn92g97s|/g/11ng0dpbrv|/g/11tsqs7vvg|/g/11nntdmlgp|extra virgin olive oil,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/US/oliveoil_bundle_2_2026-05-11T10-33-22.535262+00-00.json,pivot_min=3 pivot_max=5 pivot_mean=4.0
running,1,run-incumbents,US,Asics|Adidas|Brooks|New Balance|Nike,/m/04xxy1|Adidas running shoes|Brooks running shoes|New Balance running shoes|Nike running shoes,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/US/running_bundle_1_2026-05-11T10-33-22.535262+00-00.json,pivot_min=81 pivot_max=100 pivot_mean=86.7
running,2,run-mid-tier-mixed,US,Asics|Puma|Saucony|Altra|Hoka,/m/04xxy1|Puma running shoes|/m/06brvd|Altra running shoes|/m/0_qhc0d,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/US/running_bundle_2_2026-05-11T10-33-22.535262+00-00.json,pivot_min=81 pivot_max=100 pivot_mean=86.7
running,3,run-challengers,US,Asics|Norda|On|Salomon|Topo Athletic,/m/04xxy1|/g/11w7d4p3c3|On Cloud running shoes|Salomon running shoes|/g/11c6tz2y63,2026-05-11T10:33:22.535262+00:00,200,14,PASS,/Users/pablou/aias/osf/v12/data/trends_raw/US/running_bundle_3_2026-05-11T10-33-22.535262+00-00.json,pivot_min=81 pivot_max=100 pivot_mean=86.7
