brand,substrate,mean_r,cv_cpc,c_p,status,flagged,analyzable,group,exclusion_reason
Huda Beauty,v0.21,1.833333,0.632070,6,defined,False,False,non_phantom,comparison_group
L'Oréal Paris,v0.21,1.166667,0.522266,6,defined,False,False,non_phantom,comparison_group
MAC Cosmetics,v0.21,2.666667,0.738796,6,defined,False,False,non_phantom,comparison_group
Maybelline,v0.21,2.000000,0.510875,6,defined,False,False,non_phantom,comparison_group
NARS,v0.21,4.833333,0.843387,6,defined,False,False,non_phantom,comparison_group
NYX Professional Makeup,v0.21,1.833333,0.522568,6,defined,False,False,non_phantom,comparison_group
Pat McGrath Labs,v0.21,2.333333,0.757898,6,defined,False,False,non_phantom,comparison_group
Rare Beauty,v0.21,3.000000,0.838610,6,defined,False,False,non_phantom,comparison_group
Tom Ford Beauty,v0.21,1.000000,0.500000,6,defined,False,False,non_phantom,comparison_group
e.l.f. Cosmetics,v0.21,1.666667,0.638698,6,defined,False,False,non_phantom,comparison_group
Fisker,v0.22,0.000000,,5,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Lucid,v0.22,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Mercury,v0.22,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Nissan,v0.22,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Oldsmobile,v0.22,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Plymouth,v0.22,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Polestar,v0.22,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Pontiac,v0.22,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
Rivian,v0.22,0.166667,0.309017,6,undefined,True,True,phantom_analyzable,
Saturn,v0.22,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
BMW,v0.22,3.666667,0.831063,6,defined,False,False,non_phantom,comparison_group
Bentley,v0.22,2.000000,1.000000,6,defined,False,False,non_phantom,comparison_group
Cadillac,v0.22,1.333333,0.641430,6,defined,False,False,non_phantom,comparison_group
Chevrolet,v0.22,1.166667,0.757898,6,defined,False,False,non_phantom,comparison_group
Ford,v0.22,1.333333,0.738796,6,defined,False,False,non_phantom,comparison_group
Honda,v0.22,3.000000,1.000000,6,defined,False,False,non_phantom,comparison_group
Hyundai,v0.22,2.666667,0.738796,6,defined,False,False,non_phantom,comparison_group
Jaguar,v0.22,1.666667,0.690983,6,defined,False,False,non_phantom,comparison_group
Mercedes-Benz,v0.22,4.333333,0.901888,6,defined,False,False,non_phantom,comparison_group
Porsche,v0.22,5.333333,0.877382,6,defined,False,False,non_phantom,comparison_group
Rolls-Royce,v0.22,2.166667,0.759208,6,defined,False,False,non_phantom,comparison_group
Tesla,v0.22,2.166667,0.759208,6,defined,False,False,non_phantom,comparison_group
Toyota,v0.22,4.000000,0.873868,6,defined,False,False,non_phantom,comparison_group
Volkswagen,v0.22,1.166667,0.757898,6,defined,False,False,non_phantom,comparison_group
S01,v0.23,0.166667,0.309017,6,undefined,True,True,phantom_analyzable,
S03,v0.23,0.833333,0.690983,6,undefined,True,True,phantom_analyzable,
S06,v0.23,0.333333,0.414214,6,undefined,True,True,phantom_analyzable,
S07,v0.23,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
S08,v0.23,0.166667,0.309017,6,undefined,True,True,phantom_analyzable,
S09,v0.23,0.666667,0.472136,6,undefined,True,True,phantom_analyzable,
S10,v0.23,0.833333,0.481456,6,undefined,True,True,phantom_analyzable,
S12,v0.23,0.166667,0.309017,6,undefined,True,True,phantom_analyzable,
S14,v0.23,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
S16,v0.23,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
S18,v0.23,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
S21,v0.23,0.000000,,6,undefined,True,False,phantom_excluded,all_zero_recall_undefined_cv
S22,v0.23,0.666667,0.472136,6,undefined,True,True,phantom_analyzable,
S23,v0.23,0.333333,0.414214,6,undefined,True,True,phantom_analyzable,
S24,v0.23,0.666667,0.472136,6,undefined,True,True,phantom_analyzable,
S02,v0.23,1.666667,0.638698,6,defined,False,False,non_phantom,comparison_group
S04,v0.23,1.833333,0.632070,6,defined,False,False,non_phantom,comparison_group
S05,v0.23,1.500000,0.610395,6,defined,False,False,non_phantom,comparison_group
S11,v0.23,1.500000,0.442091,6,defined,False,False,non_phantom,comparison_group
S13,v0.23,1.166667,0.443741,6,defined,False,False,non_phantom,comparison_group
S15,v0.23,1.666667,0.601205,6,defined,False,False,non_phantom,comparison_group
S17,v0.23,1.500000,0.543812,6,defined,False,False,non_phantom,comparison_group
S19,v0.23,1.166667,0.565192,6,defined,False,False,non_phantom,comparison_group
S20,v0.23,1.500000,0.610395,6,defined,False,False,non_phantom,comparison_group
