brand,model,recognition_yes
Laguiole,gemini-2.5-flash-lite,1
Nogent (Goyon-Chazeau),claude-opus-4-5,1
Nogent (Goyon-Chazeau),claude-sonnet-4-5,1
Nogent (Goyon-Chazeau),gpt-4o,1
Nogent (Goyon-Chazeau),gpt-4o-mini,1
Nogent (Goyon-Chazeau),gemini-2.5-flash,1
Nogent (Goyon-Chazeau),gemini-2.5-flash-lite,1
Cutco,claude-opus-4-5,1
Cutco,claude-sonnet-4-5,1
Cutco,gpt-4o,1
Cutco,gpt-4o-mini,1
Cutco,gemini-2.5-flash,1
Cutco,gemini-2.5-flash-lite,1
Dalstrong,claude-opus-4-5,1
Dalstrong,claude-sonnet-4-5,1
Dalstrong,gpt-4o,1
Dalstrong,gpt-4o-mini,1
Dalstrong,gemini-2.5-flash,1
Dalstrong,gemini-2.5-flash-lite,1
Misen,claude-opus-4-5,1
Misen,claude-sonnet-4-5,1
Misen,gpt-4o,1
Misen,gpt-4o-mini,1
Misen,gemini-2.5-flash,1
Misen,gemini-2.5-flash-lite,1
New West KnifeWorks,claude-opus-4-5,1
New West KnifeWorks,claude-sonnet-4-5,0
New West KnifeWorks,gpt-4o,1
New West KnifeWorks,gpt-4o-mini,1
New West KnifeWorks,gemini-2.5-flash,1
New West KnifeWorks,gemini-2.5-flash-lite,1
Made In,claude-opus-4-5,1
Made In,claude-sonnet-4-5,0
Made In,gpt-4o,1
Made In,gpt-4o-mini,1
Made In,gemini-2.5-flash,0
Made In,gemini-2.5-flash-lite,1
CCK Chan Chi Kee,claude-opus-4-5,1
CCK Chan Chi Kee,claude-sonnet-4-5,0
CCK Chan Chi Kee,gpt-4o,1
CCK Chan Chi Kee,gpt-4o-mini,1
CCK Chan Chi Kee,gemini-2.5-flash,1
CCK Chan Chi Kee,gemini-2.5-flash-lite,1
Shibazi (Shi Ba Zi Zuo),claude-opus-4-5,1
Shibazi (Shi Ba Zi Zuo),claude-sonnet-4-5,1
Shibazi (Shi Ba Zi Zuo),gpt-4o,1
Shibazi (Shi Ba Zi Zuo),gpt-4o-mini,1
Shibazi (Shi Ba Zi Zuo),gemini-2.5-flash,1
Shibazi (Shi Ba Zi Zuo),gemini-2.5-flash-lite,1
Sunlong,claude-opus-4-5,0
Sunlong,claude-sonnet-4-5,0
Sunlong,gpt-4o,0
Sunlong,gpt-4o-mini,0
Sunlong,gemini-2.5-flash,0
Sunlong,gemini-2.5-flash-lite,0
ZHEN,claude-opus-4-5,1
ZHEN,claude-sonnet-4-5,0
ZHEN,gpt-4o,1
ZHEN,gpt-4o-mini,0
ZHEN,gemini-2.5-flash,0
ZHEN,gemini-2.5-flash-lite,0
Au Nain,claude-opus-4-5,1
Au Nain,claude-sonnet-4-5,0
Au Nain,gpt-4o,1
Au Nain,gpt-4o-mini,0
Au Nain,gemini-2.5-flash,1
Au Nain,gemini-2.5-flash-lite,0
Hengtai,claude-opus-4-5,0
Hengtai,claude-sonnet-4-5,0
Hengtai,gpt-4o,0
Hengtai,gpt-4o-mini,0
Hengtai,gemini-2.5-flash,0
Hengtai,gemini-2.5-flash-lite,0
