substrate,phase,call_index,alias,returned_model_id,timestamp
v20,A,79,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:07:59.777950+00:00
v20,A,80,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:07:59.781569+00:00
v20,A,81,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:01.622352+00:00
v20,A,82,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:01.629065+00:00
v20,A,83,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:01.631719+00:00
v20,A,84,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:01.789669+00:00
v20,A,85,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:02.232110+00:00
v20,A,86,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:02.234354+00:00
v20,A,87,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:02.235794+00:00
v20,A,88,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:02.845543+00:00
v20,A,89,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:02.849763+00:00
v20,A,90,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:03.767901+00:00
v20,A,91,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:03.814381+00:00
v20,A,92,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:04.686548+00:00
v20,A,93,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:06.531490+00:00
v20,A,94,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:07.455065+00:00
v20,A,95,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:08.068468+00:00
v20,A,96,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:08.900934+00:00
v20,A,97,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:09.413302+00:00
v20,A,98,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:09.424918+00:00
v20,A,99,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:10.526060+00:00
v20,A,100,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:10.998197+00:00
v20,A,101,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:11.754737+00:00
v20,A,102,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:12.156156+00:00
v20,A,103,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:12.674994+00:00
v20,A,104,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:12.747578+00:00
v20,A,105,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:13.599365+00:00
v20,A,106,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:14.113284+00:00
v20,A,107,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:14.134529+00:00
v20,A,108,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:14.418336+00:00
v20,A,109,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:14.825701+00:00
v20,A,110,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:14.827383+00:00
v20,A,111,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:14.828494+00:00
v20,A,112,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:14.902497+00:00
v20,A,113,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:15.438873+00:00
v20,A,114,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:15.491392+00:00
v20,A,115,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:16.146577+00:00
v20,A,116,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:16.215519+00:00
v20,A,117,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:17.122520+00:00
v20,A,118,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:17.163782+00:00
v20,A,119,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:17.769494+00:00
v20,A,120,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:17.770241+00:00
v20,A,121,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:18.509894+00:00
v20,A,122,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:19.127900+00:00
v20,A,123,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:19.355974+00:00
v20,A,124,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:19.905382+00:00
v20,A,125,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:20.154089+00:00
v20,A,126,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:20.506750+00:00
v20,A,127,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:20.877669+00:00
v20,A,128,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:21.656414+00:00
v20,A,129,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:21.852612+00:00
v20,A,130,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:22.259153+00:00
v20,A,131,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:22.811473+00:00
v20,A,132,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:22.950780+00:00
v20,A,133,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:23.204727+00:00
v20,A,134,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:23.413435+00:00
v20,A,135,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:23.469114+00:00
v20,A,136,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:24.041960+00:00
v20,A,137,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:24.339765+00:00
v20,A,138,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:24.504502+00:00
v20,A,139,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:24.570367+00:00
v20,A,140,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:24.644774+00:00
v20,A,141,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:24.737535+00:00
v20,A,142,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:24.855724+00:00
v20,A,143,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:26.723922+00:00
v20,A,144,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:27.492925+00:00
v20,B,1,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:36.950836+00:00
v20,B,2,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:36.954985+00:00
v20,B,3,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:38.142034+00:00
v20,B,4,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:39.707065+00:00
v20,B,5,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:42.366312+00:00
v20,B,6,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:44.316887+00:00
v20,B,7,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:44.885150+00:00
v20,B,8,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:46.773084+00:00
v20,B,9,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:08:46.993001+00:00
v20,B,10,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:08:47.779430+00:00
v20,B,11,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:49.540800+00:00
v20,B,12,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:08:53.212163+00:00
v20,B,13,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:08:53.431047+00:00
v20,B,14,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:08:58.111741+00:00
v20,B,15,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:08:59.371570+00:00
v20,B,16,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:09:01.799535+00:00
v20,B,17,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:09:03.092793+00:00
v20,B,18,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:09:04.409652+00:00
v20,B,19,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:09:05.512200+00:00
v20,B,20,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:09:05.958597+00:00
v20,B,21,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:09:08.584379+00:00
v20,B,22,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:09:11.352861+00:00
v20,B,23,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:09:11.694244+00:00
v20,B,24,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:09:12.582604+00:00
v20,B,25,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:09:12.773660+00:00
v20,B,26,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:09:16.927987+00:00
v20,B,27,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:09:18.727734+00:00
v20,B,28,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:09:18.731322+00:00
v20,B,29,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:09:20.014366+00:00
v20,B,30,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:09:20.079803+00:00
v20,B,31,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:09:22.982508+00:00
v20,B,32,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:09:23.087039+00:00
v20,B,33,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:09:27.017138+00:00
v20,B,34,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:09:28.258435+00:00
v20,B,35,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:09:31.942942+00:00
v20,B,36,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:09:33.909506+00:00
v21,A,1,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:10:52.963727+00:00
v21,A,2,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:10:53.209147+00:00
v21,A,3,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:10:53.487909+00:00
v21,A,4,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:10:54.199577+00:00
v21,A,5,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:10:54.337669+00:00
v21,A,6,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:10:54.727908+00:00
v21,A,7,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:10:55.112965+00:00
v21,A,8,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:10:56.734426+00:00
v21,A,9,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:10:56.738168+00:00
v21,A,10,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:10:57.210904+00:00
v21,A,11,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:10:58.248306+00:00
v21,A,12,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:10:58.258810+00:00
v21,A,13,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:10:58.675923+00:00
v21,A,14,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:10:58.734334+00:00
v21,A,15,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:10:59.798297+00:00
v21,A,16,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:10:59.828227+00:00
v21,A,17,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:00.410724+00:00
v21,A,18,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:00.412693+00:00
v21,A,19,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:01.022182+00:00
v21,A,20,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:01.024908+00:00
v21,A,21,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:02.751702+00:00
v21,A,22,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:03.347923+00:00
v21,A,23,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:03.396115+00:00
v21,A,24,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:04.706273+00:00
v21,A,25,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:04.750071+00:00
v21,A,26,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:05.104241+00:00
v21,A,27,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:05.628738+00:00
v21,A,28,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:11:05.631855+00:00
v21,A,29,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:06.101759+00:00
v21,A,30,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:06.126857+00:00
v21,A,31,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:06.856408+00:00
v21,A,32,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:11:06.857722+00:00
v21,A,33,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:06.948956+00:00
v21,A,34,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:07.640268+00:00
v21,A,35,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:11:07.689412+00:00
v21,A,36,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:07.806000+00:00
v21,A,37,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:08.398071+00:00
v21,A,38,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:08.400936+00:00
v21,A,39,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:08.402984+00:00
v21,A,40,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:09.010719+00:00
v21,A,41,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:09.931078+00:00
v21,A,42,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:09.933396+00:00
v21,A,43,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:10.328606+00:00
v21,A,44,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:10.672794+00:00
v21,A,45,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:11:10.763225+00:00
v21,A,46,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:11.315318+00:00
v21,A,47,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:12.086027+00:00
v21,A,48,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:12.089624+00:00
v21,A,49,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:12.091666+00:00
v21,A,50,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:12.547685+00:00
v21,A,51,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:11:12.550207+00:00
v21,A,52,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:11:12.868962+00:00
v21,A,53,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:13.036002+00:00
v21,A,54,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:13.423252+00:00
v21,A,55,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:13.782359+00:00
v21,A,56,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:13.836645+00:00
v21,A,57,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:14.671572+00:00
v21,A,58,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:14.924593+00:00
v21,A,59,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:15.229296+00:00
v21,A,60,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:15.329445+00:00
v21,A,61,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:15.402017+00:00
v21,A,62,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:15.562499+00:00
v21,A,63,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:15.676203+00:00
v21,A,64,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:16.122599+00:00
v21,A,65,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:16.691701+00:00
v21,A,66,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:16.916180+00:00
v21,A,67,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:17.270212+00:00
v21,A,68,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:18.132285+00:00
v21,A,69,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:11:19.179352+00:00
v21,A,70,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:20.066817+00:00
v21,A,71,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:11:20.993436+00:00
v21,A,72,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:20.996132+00:00
v21,A,73,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:21.601292+00:00
v21,A,74,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:23.080935+00:00
v21,A,75,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:11:23.237473+00:00
v21,A,76,claude-opus-4-5,claude-opus-4-5-20251101,2026-06-10T14:11:23.378633+00:00
v21,A,77,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:24.372571+00:00
v21,A,78,gpt-4o-mini,gpt-4o-mini-2024-07-18,2026-06-10T14:11:24.377673+00:00
v21,A,79,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:24.382508+00:00
v21,A,80,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:24.560384+00:00
v21,A,81,models/gemini-2.5-flash-lite,gemini-2.5-flash-lite,2026-06-10T14:11:24.743268+00:00
v21,A,82,gpt-4o,gpt-4o-2024-08-06,2026-06-10T14:11:25.597157+00:00
v21,A,83,models/gemini-2.5-flash,gemini-2.5-flash,2026-06-10T14:11:26.050363+00:00
v21,A,84,claude-sonnet-4-5,claude-sonnet-4-5-20250929,2026-06-10T14:11:26.331967+00:00
