brand,category,market_tier,tier_ordinal,brand_age_years,founding_year,ai_t1_pct,ai_t2_pct,e1a_excluded,is_pivot,is_phantom,trends_ww_t1_mean,trends_ww_t1_eligible,trends_ww_t1_raw_eligible,trends_ww_t1_sparse,trends_ww_t2_mean,trends_ww_t2_eligible,trends_ww_t2_raw_eligible,trends_ww_t2_sparse,trends_us_t1_mean,trends_us_t1_eligible,trends_us_t1_raw_eligible,trends_us_t1_sparse,trends_us_t2_mean,trends_us_t2_eligible,trends_us_t2_raw_eligible,trends_us_t2_sparse
Manni,oliveoil,mid-tier,2,26.0,2000.0,5.21,3.12,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Colonna,oliveoil,mid-tier,2,40.0,1986.0,5.21,4.17,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Brightland,oliveoil,challenger,3,8.0,2018.0,45.83,26.04,False,False,False,57.14,True,True,False,61.9,True,True,False,60.95,True,True,False,60.95,True,True,False
Graza,oliveoil,challenger,3,4.0,2022.0,28.12,19.79,False,False,False,385.71,True,True,False,442.86,True,True,False,369.29,True,True,False,400.0,True,True,False
Fly By Jing,oliveoil,challenger,3,,,0.0,0.0,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Frescobaldi Laudemio,oliveoil,challenger,3,38.0,1988.0,21.88,22.92,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Olio Verde,oliveoil,challenger,3,37.0,1989.0,16.67,22.92,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Kosterina,oliveoil,challenger,3,6.0,2020.0,27.08,31.25,False,False,False,45.24,True,False,False,47.62,True,False,False,43.81,True,True,False,48.1,True,True,False
Núñez de Prado,oliveoil,challenger,3,40.0,1986.0,5.21,4.17,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Nike,running,incumbent,1,55.0,1971.0,57.29,59.38,False,False,False,14.74,True,True,False,17.83,True,True,False,31.4,True,True,False,35.76,True,True,False
Adidas,running,incumbent,1,77.0,1949.0,23.96,21.88,False,False,False,14.72,True,True,False,20.18,True,True,False,25.1,True,True,False,31.45,True,True,False
Asics,running,incumbent,1,49.0,1977.0,80.21,80.21,False,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False
New Balance,running,incumbent,1,120.0,1906.0,77.08,69.79,False,False,False,7.37,True,True,False,9.25,True,True,False,14.46,True,True,False,17.57,True,True,False
Brooks,running,incumbent,1,112.0,1914.0,80.21,80.21,False,False,False,4.69,True,True,False,5.56,True,True,False,16.53,True,True,False,17.53,True,True,False
Saucony,running,mid-tier,2,128.0,1898.0,78.12,79.17,False,False,False,0.0,False,False,True,0.0,False,False,True,0.0,False,False,True,0.0,False,False,True
Mizuno,running,mid-tier,2,,,5.21,1.04,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Puma,running,mid-tier,2,78.0,1948.0,16.67,17.71,False,False,False,3.2,True,True,False,4.2,True,True,False,5.67,True,True,False,6.81,True,True,False
Under Armour,running,mid-tier,2,,,1.04,1.04,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Reebok,running,mid-tier,2,,,0.0,0.0,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
Hoka,running,challenger,3,17.0,2009.0,72.92,71.88,False,False,False,6.53,True,True,False,3.23,True,True,False,11.72,True,True,False,2.3,True,True,False
On,running,challenger,3,16.0,2010.0,9.38,8.33,False,False,False,1.18,True,False,False,1.18,True,False,False,2.63,True,True,False,2.6,True,True,False
Altra,running,challenger,3,15.0,2011.0,3.12,6.25,False,False,False,1.18,True,False,False,1.18,True,False,False,3.33,True,True,False,3.45,True,False,False
Topo Athletic,running,challenger,3,13.0,2013.0,12.5,11.46,False,False,False,1.18,True,False,False,1.18,True,False,False,4.79,True,True,False,4.6,True,False,False
Salomon,running,challenger,3,79.0,1947.0,5.21,11.46,False,False,False,1.18,True,False,False,1.18,True,False,False,2.51,True,True,False,2.77,True,True,False
Norda,running,challenger,3,6.0,2020.0,16.67,16.67,False,False,False,1.18,True,False,False,1.18,True,False,False,1.17,True,False,False,1.95,True,True,False
Tracksmith,running,challenger,3,,,2.08,0.0,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
CeraVe,skincare,incumbent,1,21.0,2005.0,66.67,68.75,False,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False
Cetaphil,skincare,incumbent,1,79.0,1947.0,31.25,37.5,False,False,False,4.49,True,False,False,4.25,True,False,False,2.26,True,False,False,2.2,True,False,False
Neutrogena,skincare,incumbent,1,96.0,1930.0,38.54,40.62,False,False,False,5.11,True,True,False,10.11,True,True,False,4.52,True,False,False,5.32,True,True,False
La Roche-Posay,skincare,incumbent,1,51.0,1975.0,63.54,64.58,False,False,False,118.81,True,True,False,111.12,True,True,False,68.02,True,True,False,65.51,True,True,False
Vanicream,skincare,incumbent,1,50.0,1976.0,44.79,47.92,False,False,False,0.0,False,False,True,0.0,False,False,True,1.13,True,False,False,1.55,True,True,False
Skinceuticals,skincare,incumbent,1,29.0,1997.0,25.0,29.17,False,False,False,13.95,True,True,False,13.06,True,True,False,20.97,True,True,False,19.92,True,True,False
Eucerin,skincare,incumbent,1,126.0,1900.0,21.88,18.75,False,False,False,19.07,True,True,False,17.58,True,True,False,49.18,True,True,False,46.73,True,True,False
Paula's Choice,skincare,mid-tier,2,31.0,1995.0,10.42,11.46,False,False,False,10.15,True,True,False,9.21,True,True,False,11.72,True,True,False,10.46,True,True,False
Drunk Elephant,skincare,mid-tier,2,13.0,2013.0,17.71,15.62,False,False,False,4.15,True,True,False,3.81,True,False,False,7.24,True,True,False,6.62,True,True,False
Tatcha,skincare,mid-tier,2,17.0,2009.0,13.54,17.71,False,False,False,5.65,True,True,False,5.45,True,True,False,14.8,True,True,False,14.7,True,True,False
The Ordinary,skincare,mid-tier,2,10.0,2016.0,13.54,14.58,False,False,False,76.14,True,True,False,68.07,True,True,False,65.97,True,True,False,60.13,True,True,False
EltaMD,skincare,mid-tier,2,37.0,1989.0,16.67,20.83,False,False,False,4.92,True,True,False,4.36,True,True,False,16.12,True,True,False,15.22,True,True,False
Bioderma,skincare,mid-tier,2,49.0,1977.0,16.67,16.67,False,False,False,42.87,True,True,False,41.14,True,True,False,6.29,True,True,False,6.28,True,True,False
Avène,skincare,mid-tier,2,36.0,1990.0,15.62,16.67,False,False,False,42.51,True,True,False,39.63,True,True,False,10.87,True,True,False,10.22,True,True,False
Aveeno,skincare,mid-tier,2,81.0,1945.0,13.54,17.71,False,False,False,17.6,True,True,False,18.59,True,True,False,20.9,True,True,False,20.73,True,True,False
First Aid Beauty,skincare,mid-tier,2,17.0,2009.0,17.71,19.79,False,False,False,1.88,True,True,False,1.83,True,True,False,5.5,True,True,False,5.51,True,True,False
Augustinus Bader,skincare,challenger,3,8.0,2018.0,7.29,4.17,False,False,False,1.52,True,True,False,1.27,True,False,False,2.35,True,True,False,2.2,True,False,False
Youth to the People,skincare,challenger,3,11.0,2015.0,2.08,3.12,False,False,False,0.0,False,False,True,0.0,False,False,True,0.0,False,False,True,0.0,False,False,True
La Mer,skincare,challenger,3,61.0,1965.0,2.08,4.17,False,False,False,8.66,True,True,False,8.14,True,True,False,10.01,True,True,False,10.02,True,True,False
Estée Lauder,skincare,challenger,3,80.0,1946.0,2.08,4.17,False,False,False,7.31,True,True,False,5.97,True,True,False,7.35,True,True,False,7.07,True,True,False
Lancôme,skincare,challenger,3,91.0,1935.0,1.04,4.17,False,False,False,4.5,True,True,False,4.33,True,True,False,3.72,True,True,False,3.59,True,True,False
Clinique,skincare,challenger,3,58.0,1968.0,1.04,1.04,False,False,False,38.71,True,True,False,36.99,True,True,False,42.96,True,True,False,41.56,True,True,False
Kiehl's,skincare,challenger,3,175.0,1851.0,2.08,1.04,False,False,False,2.99,True,True,False,2.53,True,True,False,2.43,True,True,False,1.41,True,True,False
Sunday Riley,skincare,challenger,3,17.0,2009.0,0.0,0.0,False,False,False,1.32,True,False,False,1.27,True,False,False,3.23,True,True,False,2.82,True,True,False
SK-II,skincare,challenger,3,46.0,1980.0,0.0,3.12,False,False,False,0.0,False,False,True,0.0,False,False,True,0.3,True,True,True,0.62,True,True,False
Olay,skincare,challenger,3,74.0,1952.0,0.0,0.0,False,False,False,17.13,True,True,False,20.5,True,True,False,28.46,True,True,False,29.25,True,True,False
Origins,skincare,challenger,3,36.0,1990.0,0.0,0.0,False,False,False,3.37,True,True,False,3.3,True,True,False,4.52,True,False,False,4.23,True,True,False
Dermalogica,skincare,challenger,3,40.0,1986.0,0.0,0.0,False,False,False,8.11,True,True,False,7.76,True,True,False,12.27,True,True,False,11.61,True,True,False
Murad,skincare,challenger,3,37.0,1989.0,0.0,0.0,False,False,False,3.77,True,True,False,3.81,True,False,False,6.77,True,True,False,5.8,True,True,False
Glossier,skincare,challenger,3,12.0,2014.0,0.0,0.0,False,False,False,8.46,True,True,False,8.19,True,True,False,20.3,True,True,False,20.02,True,True,False
Beauty of Joseon,skincare,challenger,3,16.0,2010.0,0.0,1.04,False,False,False,24.28,True,True,False,23.23,True,True,False,16.25,True,True,False,15.5,True,True,False
Mint,finance,incumbent,1,20.0,2006.0,44.79,41.67,False,False,True,0.0,False,False,True,0.0,False,False,True,0.0,False,False,True,0.0,False,False,True
Quicken,finance,incumbent,1,43.0,1983.0,11.46,8.33,False,False,False,500.29,True,True,False,559.9,True,True,False,803.48,True,True,False,867.6,True,True,False
Quicken Simplifi,finance,incumbent,1,5.0,2021.0,17.71,15.62,True,False,False,,False,False,False,,False,False,False,,False,False,False,,False,False,False
YNAB,finance,incumbent,1,22.0,2004.0,100.0,100.0,False,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False,100.0,True,True,False
Empower,finance,incumbent,1,17.0,2009.0,65.62,61.46,False,False,False,542.71,True,True,False,608.46,True,True,False,783.39,True,True,False,849.29,True,True,False
NerdWallet,finance,incumbent,1,17.0,2009.0,9.38,9.38,False,False,False,123.46,True,True,False,149.21,True,True,False,159.85,True,True,False,173.24,True,True,False
Rocket Money,finance,mid-tier,2,11.0,2015.0,35.42,36.46,False,False,False,73.4,True,True,False,77.96,True,True,False,115.01,True,True,False,123.91,True,True,False
PocketGuard,finance,mid-tier,2,12.0,2014.0,15.62,18.75,False,False,False,5.49,True,True,False,6.53,True,True,False,4.79,True,True,False,5.05,True,True,False
Goodbudget,finance,mid-tier,2,17.0,2009.0,3.12,9.38,False,False,False,7.31,True,True,False,6.72,True,True,False,4.56,True,True,False,4.14,True,True,False
EveryDollar,finance,mid-tier,2,11.0,2015.0,25.0,23.96,False,False,False,37.67,True,True,False,44.69,True,True,False,54.07,True,True,False,60.56,True,True,False
Monarch Money,finance,challenger,3,8.0,2018.0,90.62,85.42,False,False,False,14.29,True,True,False,7.99,True,True,True,21.12,True,True,False,11.29,True,True,False
Copilot,finance,challenger,3,6.0,2020.0,69.79,61.46,False,False,False,1034.52,True,True,False,946.67,True,True,False,260.94,True,True,False,238.93,True,True,False
Lunch Money,finance,challenger,3,8.0,2018.0,1.04,6.25,False,False,False,0.0,False,False,True,0.0,False,False,True,3.89,True,False,False,4.48,True,False,False
Origin,finance,challenger,3,7.0,2019.0,0.0,0.0,False,False,False,465.74,True,True,False,568.79,True,True,False,146.92,True,True,False,191.59,True,True,False
Cleo,finance,challenger,3,10.0,2016.0,0.0,0.0,False,False,False,36.38,True,True,False,41.68,True,True,False,0.0,False,False,True,0.0,False,False,True
Tiller,finance,challenger,3,9.0,2017.0,12.5,13.54,False,False,False,6.57,True,False,False,7.7,True,False,False,0.0,False,False,True,0.0,False,False,True
