==============================================================================
v0.9 Extraction Wrapper
Categories: ['finance']
Waves:      ['v06', 'v09']
Started:    2026-05-07T19:08:16
==============================================================================

==============================================================================
Category: finance (personal finance apps) — registry: 16 brands
==============================================================================

  Wave: v0.6 (t₁) — re-extracting 96 rows from data/finance/results_v2_20260430_181613.csv
  [   1/96] p1_functional  | openai_mini        | run 1 -> 6 canon, 0 unk
  [  96/96] p6_comparison  | anthropic_sonnet   | run 8 -> 6 canon, 0 unk

  Summary: 96 extracted, 0 skipped, 0 failed
  Wrote 96 rows to data/finance/results_enriched_v06_20260507_190816.csv

  Wave: v0.9 (t₂) — extracting 288 rows from 2 CSVs (merged)
  [   1/288] p1_functional  | anthropic_sonnet   | run 1 -> 6 canon, 1 unk
  [   2/288] p1_functional  | anthropic_sonnet   | run 2 -> 6 canon, 0 unk
  [   3/288] p1_functional  | anthropic_sonnet   | run 3 -> 4 canon, 2 unk
  [   4/288] p1_functional  | anthropic_sonnet   | run 4 -> 6 canon, 0 unk
  [   5/288] p1_functional  | anthropic_sonnet   | run 5 -> 6 canon, 0 unk
  [   6/288] p1_functional  | anthropic_sonnet   | run 6 -> 6 canon, 2 unk
  [   7/288] p1_functional  | anthropic_sonnet   | run 7 -> 4 canon, 0 unk
  [   8/288] p1_functional  | anthropic_sonnet   | run 8 -> 4 canon, 0 unk
  [   9/288] p1_functional  | anthropic_opus     | run 1 -> 7 canon, 0 unk
  [  10/288] p1_functional  | anthropic_opus     | run 2 -> 8 canon, 0 unk
  [  11/288] p1_functional  | anthropic_opus     | run 3 -> 10 canon, 1 unk
  [  12/288] p1_functional  | anthropic_opus     | run 4 -> 6 canon, 1 unk
  [  13/288] p1_functional  | anthropic_opus     | run 5 -> 9 canon, 1 unk
  [  14/288] p1_functional  | anthropic_opus     | run 6 -> 7 canon, 1 unk
  [  15/288] p1_functional  | anthropic_opus     | run 7 -> 6 canon, 3 unk
  [  16/288] p1_functional  | anthropic_opus     | run 8 -> 9 canon, 1 unk
  [  17/288] p1_functional  | openai_mini        | run 1 -> 6 canon, 0 unk
  [  18/288] p1_functional  | openai_mini        | run 2 -> 5 canon, 0 unk
  [  19/288] p1_functional  | openai_mini        | run 3 -> 5 canon, 0 unk
  [  20/288] p1_functional  | openai_mini        | run 4 -> 7 canon, 1 unk
  [  21/288] p1_functional  | openai_mini        | run 5 -> 4 canon, 0 unk
  [  22/288] p1_functional  | openai_mini        | run 6 -> 6 canon, 0 unk
  [  23/288] p1_functional  | openai_mini        | run 7 -> 5 canon, 0 unk
  [  24/288] p1_functional  | openai_mini        | run 8 -> 6 canon, 0 unk
  [  25/288] p1_functional  | openai_flagship    | run 1 -> 7 canon, 0 unk
  [  26/288] p1_functional  | openai_flagship    | run 2 -> 6 canon, 0 unk
  [  27/288] p1_functional  | openai_flagship    | run 3 -> 4 canon, 2 unk
  [  28/288] p1_functional  | openai_flagship    | run 4 -> 4 canon, 0 unk
  [  29/288] p1_functional  | openai_flagship    | run 5 -> 5 canon, 0 unk
  [  30/288] p1_functional  | openai_flagship    | run 6 -> 5 canon, 0 unk
  [  31/288] p1_functional  | openai_flagship    | run 7 -> 4 canon, 0 unk
  [  32/288] p1_functional  | openai_flagship    | run 8 -> 5 canon, 0 unk
  [  33/288] p1_functional  | google_flash       | run 1 -> 7 canon, 1 unk
  [  34/288] p1_functional  | google_flash       | run 2 -> 7 canon, 0 unk
  [  35/288] p1_functional  | google_flash       | run 3 -> 6 canon, 1 unk
  [  36/288] p1_functional  | google_flash       | run 4 -> 7 canon, 0 unk
  [  37/288] p1_functional  | google_flash       | run 5 -> 7 canon, 1 unk
  [  38/288] p1_functional  | google_flash       | run 6 -> 9 canon, 6 unk
  [  39/288] p1_functional  | google_flash       | run 7 -> 7 canon, 1 unk
  [  40/288] p1_functional  | google_flash       | run 8 -> 6 canon, 1 unk
  [  41/288] p1_functional  | xai_grok           | run 1 -> 7 canon, 5 unk
  [  42/288] p1_functional  | xai_grok           | run 2 -> 8 canon, 8 unk
  [  43/288] p1_functional  | xai_grok           | run 3 -> 8 canon, 6 unk
  [  44/288] p1_functional  | xai_grok           | run 4 -> 9 canon, 4 unk
  [  45/288] p1_functional  | xai_grok           | run 5 -> 5 canon, 6 unk
  [  46/288] p1_functional  | xai_grok           | run 6 -> 8 canon, 4 unk
  [  47/288] p1_functional  | xai_grok           | run 7 -> 6 canon, 3 unk
  [  48/288] p1_functional  | xai_grok           | run 8 -> 6 canon, 0 unk
  [  49/288] p2_contextual  | anthropic_sonnet   | run 1 -> 3 canon, 5 unk
  [  50/288] p2_contextual  | anthropic_sonnet   | run 2 -> 3 canon, 4 unk
  [  51/288] p2_contextual  | anthropic_sonnet   | run 3 -> 3 canon, 7 unk
  [  52/288] p2_contextual  | anthropic_sonnet   | run 4 -> 1 canon, 4 unk
  [  53/288] p2_contextual  | anthropic_sonnet   | run 5 -> 3 canon, 4 unk
  [  54/288] p2_contextual  | anthropic_sonnet   | run 6 -> 4 canon, 5 unk
  [  55/288] p2_contextual  | anthropic_sonnet   | run 7 -> 1 canon, 6 unk
  [  56/288] p2_contextual  | anthropic_sonnet   | run 8 -> 1 canon, 4 unk
  [  57/288] p2_contextual  | anthropic_opus     | run 1 -> 4 canon, 8 unk
  [  58/288] p2_contextual  | anthropic_opus     | run 2 -> 3 canon, 8 unk
  [  59/288] p2_contextual  | anthropic_opus     | run 3 -> 4 canon, 7 unk
  [  60/288] p2_contextual  | anthropic_opus     | run 4 -> 4 canon, 4 unk
  [  61/288] p2_contextual  | anthropic_opus     | run 5 -> 3 canon, 7 unk
  [  62/288] p2_contextual  | anthropic_opus     | run 6 -> 4 canon, 7 unk
  [  63/288] p2_contextual  | anthropic_opus     | run 7 -> 4 canon, 6 unk
  [  64/288] p2_contextual  | anthropic_opus     | run 8 -> 4 canon, 8 unk
  [  65/288] p2_contextual  | openai_mini        | run 1 -> 3 canon, 4 unk
  [  66/288] p2_contextual  | openai_mini        | run 2 -> 2 canon, 5 unk
  [  67/288] p2_contextual  | openai_mini        | run 3 -> 2 canon, 4 unk
  [  68/288] p2_contextual  | openai_mini        | run 4 -> 2 canon, 7 unk
  [  69/288] p2_contextual  | openai_mini        | run 5 -> 2 canon, 7 unk
  [  70/288] p2_contextual  | openai_mini        | run 6 -> 3 canon, 3 unk
  [  71/288] p2_contextual  | openai_mini        | run 7 -> 2 canon, 5 unk
  [  72/288] p2_contextual  | openai_mini        | run 8 -> 3 canon, 0 unk
  [  73/288] p2_contextual  | openai_flagship    | run 1 -> 3 canon, 7 unk
  [  74/288] p2_contextual  | openai_flagship    | run 2 -> 2 canon, 5 unk
  [  75/288] p2_contextual  | openai_flagship    | run 3 -> 4 canon, 1 unk
  [  76/288] p2_contextual  | openai_flagship    | run 4 -> 3 canon, 3 unk
  [  77/288] p2_contextual  | openai_flagship    | run 5 -> 1 canon, 8 unk
  [  78/288] p2_contextual  | openai_flagship    | run 6 -> 1 canon, 2 unk
  [  79/288] p2_contextual  | openai_flagship    | run 7 -> 1 canon, 6 unk
  [  80/288] p2_contextual  | openai_flagship    | run 8 -> 4 canon, 7 unk
  [  81/288] p2_contextual  | google_flash       | run 1 -> 3 canon, 14 unk
  [  82/288] p2_contextual  | google_flash       | run 2 -> 4 canon, 12 unk
  [  83/288] p2_contextual  | google_flash       | run 3 -> 2 canon, 9 unk
  [  84/288] p2_contextual  | google_flash       | run 4 -> 2 canon, 13 unk
  [  85/288] p2_contextual  | google_flash       | run 5 -> 3 canon, 12 unk
  [  86/288] p2_contextual  | google_flash       | run 6 -> 3 canon, 10 unk
  [  87/288] p2_contextual  | google_flash       | run 7 -> 3 canon, 9 unk
  [  88/288] p2_contextual  | google_flash       | run 8 -> 2 canon, 9 unk
  [  89/288] p2_contextual  | xai_grok           | run 1 -> 2 canon, 4 unk
  [  90/288] p2_contextual  | xai_grok           | run 2 -> 1 canon, 3 unk
  [  91/288] p2_contextual  | xai_grok           | run 3 -> 0 canon, 3 unk
  [  92/288] p2_contextual  | xai_grok           | run 4 -> 1 canon, 3 unk
  [  93/288] p2_contextual  | xai_grok           | run 5 -> 2 canon, 5 unk
  [  94/288] p2_contextual  | xai_grok           | run 6 -> 1 canon, 7 unk
  [  95/288] p2_contextual  | xai_grok           | run 7 -> 2 canon, 4 unk
  [  96/288] p2_contextual  | xai_grok           | run 8 -> 1 canon, 7 unk
  [  97/288] p3_constraint  | anthropic_sonnet   | run 1 -> 4 canon, 2 unk
  [  98/288] p3_constraint  | anthropic_sonnet   | run 2 -> 2 canon, 3 unk
  [  99/288] p3_constraint  | anthropic_sonnet   | run 3 -> 3 canon, 1 unk
  [ 100/288] p3_constraint  | anthropic_sonnet   | run 4 -> 3 canon, 1 unk
  [ 101/288] p3_constraint  | anthropic_sonnet   | run 5 -> 2 canon, 2 unk
  [ 102/288] p3_constraint  | anthropic_sonnet   | run 6 -> 3 canon, 1 unk
  [ 103/288] p3_constraint  | anthropic_sonnet   | run 7 -> 3 canon, 1 unk
  [ 104/288] p3_constraint  | anthropic_sonnet   | run 8 -> 4 canon, 2 unk
  [ 105/288] p3_constraint  | anthropic_opus     | run 1 -> 4 canon, 2 unk
  [ 106/288] p3_constraint  | anthropic_opus     | run 2 -> 4 canon, 2 unk
  [ 107/288] p3_constraint  | anthropic_opus     | run 3 -> 4 canon, 2 unk
  [ 108/288] p3_constraint  | anthropic_opus     | run 4 -> 4 canon, 2 unk
  [ 109/288] p3_constraint  | anthropic_opus     | run 5 -> 4 canon, 2 unk
  [ 110/288] p3_constraint  | anthropic_opus     | run 6 -> 4 canon, 2 unk
  [ 111/288] p3_constraint  | anthropic_opus     | run 7 -> 4 canon, 2 unk
  [ 112/288] p3_constraint  | anthropic_opus     | run 8 -> 4 canon, 2 unk
  [ 113/288] p3_constraint  | openai_mini        | run 1 -> 4 canon, 1 unk
  [ 114/288] p3_constraint  | openai_mini        | run 2 -> 4 canon, 1 unk
  [ 115/288] p3_constraint  | openai_mini        | run 3 -> 4 canon, 2 unk
  [ 116/288] p3_constraint  | openai_mini        | run 4 -> 4 canon, 2 unk
  [ 117/288] p3_constraint  | openai_mini        | run 5 -> 4 canon, 1 unk
  [ 118/288] p3_constraint  | openai_mini        | run 6 -> 4 canon, 1 unk
  [ 119/288] p3_constraint  | openai_mini        | run 7 -> 4 canon, 3 unk
  [ 120/288] p3_constraint  | openai_mini        | run 8 -> 4 canon, 1 unk
  [ 121/288] p3_constraint  | openai_flagship    | run 1 -> 3 canon, 5 unk
  [ 122/288] p3_constraint  | openai_flagship    | run 2 -> 5 canon, 5 unk
  [ 123/288] p3_constraint  | openai_flagship    | run 3 -> 5 canon, 3 unk
  [ 124/288] p3_constraint  | openai_flagship    | run 4 -> 5 canon, 3 unk
  [ 125/288] p3_constraint  | openai_flagship    | run 5 -> 5 canon, 3 unk
  [ 126/288] p3_constraint  | openai_flagship    | run 6 -> 4 canon, 3 unk
  [ 127/288] p3_constraint  | openai_flagship    | run 7 -> 4 canon, 3 unk
  [ 128/288] p3_constraint  | openai_flagship    | run 8 -> 4 canon, 3 unk
  [ 129/288] p3_constraint  | google_flash       | run 1 -> 4 canon, 3 unk
  [ 130/288] p3_constraint  | google_flash       | run 2 -> 5 canon, 2 unk
  [ 131/288] p3_constraint  | google_flash       | run 3 -> 4 canon, 4 unk
  [ 132/288] p3_constraint  | google_flash       | run 4 -> 5 canon, 2 unk
  [ 133/288] p3_constraint  | google_flash       | run 5 -> 5 canon, 2 unk
  [ 134/288] p3_constraint  | google_flash       | run 6 -> 4 canon, 2 unk
  [ 135/288] p3_constraint  | google_flash       | run 7 -> 4 canon, 2 unk
  [ 136/288] p3_constraint  | google_flash       | run 8 -> 5 canon, 3 unk
  [ 137/288] p3_constraint  | xai_grok           | run 1 -> 6 canon, 2 unk
  [ 138/288] p3_constraint  | xai_grok           | run 2 -> 7 canon, 3 unk
  [ 139/288] p3_constraint  | xai_grok           | run 3 -> 6 canon, 6 unk
  [ 140/288] p3_constraint  | xai_grok           | run 4 -> 4 canon, 5 unk
  [ 141/288] p3_constraint  | xai_grok           | run 5 -> 5 canon, 3 unk
  [ 142/288] p3_constraint  | xai_grok           | run 6 -> 7 canon, 5 unk
  [ 143/288] p3_constraint  | xai_grok           | run 7 -> 6 canon, 5 unk
  [ 144/288] p3_constraint  | xai_grok           | run 8 -> 7 canon, 2 unk
  [ 145/288] p4_identity    | anthropic_sonnet   | run 1 -> 3 canon, 4 unk
  [ 146/288] p4_identity    | anthropic_sonnet   | run 2 -> 4 canon, 4 unk
  [ 147/288] p4_identity    | anthropic_sonnet   | run 3 -> 4 canon, 4 unk
  [ 148/288] p4_identity    | anthropic_sonnet   | run 4 -> 3 canon, 7 unk
  [ 149/288] p4_identity    | anthropic_sonnet   | run 5 -> 4 canon, 5 unk
  [ 150/288] p4_identity    | anthropic_sonnet   | run 6 -> 3 canon, 4 unk
  [ 151/288] p4_identity    | anthropic_sonnet   | run 7 -> 3 canon, 6 unk
  [ 152/288] p4_identity    | anthropic_sonnet   | run 8 -> 4 canon, 4 unk
  [ 153/288] p4_identity    | anthropic_opus     | run 1 -> 6 canon, 5 unk
  [ 154/288] p4_identity    | anthropic_opus     | run 2 -> 6 canon, 5 unk
  [ 155/288] p4_identity    | anthropic_opus     | run 3 -> 4 canon, 4 unk
  [ 156/288] p4_identity    | anthropic_opus     | run 4 -> 6 canon, 5 unk
  [ 157/288] p4_identity    | anthropic_opus     | run 5 -> 7 canon, 5 unk
  [ 158/288] p4_identity    | anthropic_opus     | run 6 -> 6 canon, 3 unk
  [ 159/288] p4_identity    | anthropic_opus     | run 7 -> 6 canon, 3 unk
  [ 160/288] p4_identity    | anthropic_opus     | run 8 -> 4 canon, 7 unk
  [ 161/288] p4_identity    | openai_mini        | run 1 -> 7 canon, 12 unk
  [ 162/288] p4_identity    | openai_mini        | run 2 -> 5 canon, 13 unk
  [ 163/288] p4_identity    | openai_mini        | run 3 -> 6 canon, 9 unk
  [ 164/288] p4_identity    | openai_mini        | run 4 -> 4 canon, 2 unk
  [ 165/288] p4_identity    | openai_mini        | run 5 -> 5 canon, 11 unk
  [ 166/288] p4_identity    | openai_mini        | run 6 -> 7 canon, 9 unk
  [ 167/288] p4_identity    | openai_mini        | run 7 -> 6 canon, 12 unk
  [ 168/288] p4_identity    | openai_mini        | run 8 -> 7 canon, 15 unk
  [ 169/288] p4_identity    | openai_flagship    | run 1 -> 5 canon, 11 unk
  [ 170/288] p4_identity    | openai_flagship    | run 2 -> 6 canon, 12 unk
  [ 171/288] p4_identity    | openai_flagship    | run 3 -> 5 canon, 13 unk
  [ 172/288] p4_identity    | openai_flagship    | run 4 -> 6 canon, 5 unk
  [ 173/288] p4_identity    | openai_flagship    | run 5 -> 6 canon, 21 unk
  [ 174/288] p4_identity    | openai_flagship    | run 6 -> 6 canon, 8 unk
  [ 175/288] p4_identity    | openai_flagship    | run 7 -> 4 canon, 16 unk
  [ 176/288] p4_identity    | openai_flagship    | run 8 -> 6 canon, 13 unk
  [ 177/288] p4_identity    | google_flash       | run 1 -> 4 canon, 9 unk
  [ 178/288] p4_identity    | google_flash       | run 2 -> 5 canon, 18 unk
  [ 179/288] p4_identity    | google_flash       | run 3 -> 7 canon, 11 unk
  [ 180/288] p4_identity    | google_flash       | run 4 -> 3 canon, 15 unk
  [ 181/288] p4_identity    | google_flash       | run 5 -> 3 canon, 11 unk
  [ 182/288] p4_identity    | google_flash       | run 6 -> 4 canon, 13 unk
  [ 183/288] p4_identity    | google_flash       | run 7 -> 5 canon, 13 unk
  [ 184/288] p4_identity    | google_flash       | run 8 -> 5 canon, 9 unk
  [ 185/288] p4_identity    | xai_grok           | run 1 -> 7 canon, 11 unk
  [ 186/288] p4_identity    | xai_grok           | run 2 -> 10 canon, 10 unk
  [ 187/288] p4_identity    | xai_grok           | run 3 -> 10 canon, 13 unk
  [ 188/288] p4_identity    | xai_grok           | run 4 -> 10 canon, 10 unk
  [ 189/288] p4_identity    | xai_grok           | run 5 -> 8 canon, 16 unk
  [ 190/288] p4_identity    | xai_grok           | run 6 -> 9 canon, 5 unk
  [ 191/288] p4_identity    | xai_grok           | run 7 -> 7 canon, 12 unk
  [ 192/288] p4_identity    | xai_grok           | run 8 -> 7 canon, 8 unk
  [ 193/288] p5_discovery   | anthropic_sonnet   | run 1 -> 6 canon, 1 unk
  [ 194/288] p5_discovery   | anthropic_sonnet   | run 2 -> 7 canon, 1 unk
  [ 195/288] p5_discovery   | anthropic_sonnet   | run 3 -> 7 canon, 3 unk
  [ 196/288] p5_discovery   | anthropic_sonnet   | run 4 -> 7 canon, 3 unk
  [ 197/288] p5_discovery   | anthropic_sonnet   | run 5 -> 6 canon, 3 unk
  [ 198/288] p5_discovery   | anthropic_sonnet   | run 6 -> 8 canon, 1 unk
  [ 199/288] p5_discovery   | anthropic_sonnet   | run 7 -> 6 canon, 3 unk
  [ 200/288] p5_discovery   | anthropic_sonnet   | run 8 -> 7 canon, 1 unk
  [ 201/288] p5_discovery   | anthropic_opus     | run 1 -> 8 canon, 0 unk
  [ 202/288] p5_discovery   | anthropic_opus     | run 2 -> 10 canon, 0 unk
  [ 203/288] p5_discovery   | anthropic_opus     | run 3 -> 6 canon, 0 unk
  [ 204/288] p5_discovery   | anthropic_opus     | run 4 -> 7 canon, 2 unk
  [ 205/288] p5_discovery   | anthropic_opus     | run 5 -> 6 canon, 0 unk
  [ 206/288] p5_discovery   | anthropic_opus     | run 6 -> 8 canon, 1 unk
  [ 207/288] p5_discovery   | anthropic_opus     | run 7 -> 7 canon, 3 unk
  [ 208/288] p5_discovery   | anthropic_opus     | run 8 -> 7 canon, 4 unk
  [ 209/288] p5_discovery   | openai_mini        | run 1 -> 7 canon, 1 unk
  [ 210/288] p5_discovery   | openai_mini        | run 2 -> 8 canon, 2 unk
  [ 211/288] p5_discovery   | openai_mini        | run 3 -> 8 canon, 2 unk
  [ 212/288] p5_discovery   | openai_mini        | run 4 -> 8 canon, 0 unk
  [ 213/288] p5_discovery   | openai_mini        | run 5 -> 7 canon, 2 unk
  [ 214/288] p5_discovery   | openai_mini        | run 6 -> 8 canon, 3 unk
  [ 215/288] p5_discovery   | openai_mini        | run 7 -> 9 canon, 1 unk
  [ 216/288] p5_discovery   | openai_mini        | run 8 -> 8 canon, 2 unk
  [ 217/288] p5_discovery   | openai_flagship    | run 1 -> 10 canon, 1 unk
  [ 218/288] p5_discovery   | openai_flagship    | run 2 -> 8 canon, 1 unk
  [ 219/288] p5_discovery   | openai_flagship    | run 3 -> 9 canon, 1 unk
  [ 220/288] p5_discovery   | openai_flagship    | run 4 -> 10 canon, 0 unk
  [ 221/288] p5_discovery   | openai_flagship    | run 5 -> 9 canon, 1 unk
  [ 222/288] p5_discovery   | openai_flagship    | run 6 -> 8 canon, 4 unk
  [ 223/288] p5_discovery   | openai_flagship    | run 7 -> 10 canon, 1 unk
  [ 224/288] p5_discovery   | openai_flagship    | run 8 -> 11 canon, 0 unk
  [ 225/288] p5_discovery   | google_flash       | run 1 -> 7 canon, 3 unk
  [ 226/288] p5_discovery   | google_flash       | run 2 -> 9 canon, 5 unk
  [ 227/288] p5_discovery   | google_flash       | run 3 -> 8 canon, 5 unk
  [ 228/288] p5_discovery   | google_flash       | run 4 -> 7 canon, 5 unk
  [ 229/288] p5_discovery   | google_flash       | run 5 -> 8 canon, 8 unk
  [ 230/288] p5_discovery   | google_flash       | run 6 -> 8 canon, 4 unk
  [ 231/288] p5_discovery   | google_flash       | run 7 -> 8 canon, 6 unk
