substrate,brand,cell,set,mean_r,sd_pop,cpc_raw,cpc_score,status,panel_n,n_frames
v0.22,Chevrolet,C,omnibus,1.1666666666666667,0.3726779962499649,0.31943828249996986,0.7578982763068516,defined,6,6
v0.22,Hyundai,C,omnibus,2.6666666666666665,0.9428090415820634,0.3535533905932738,0.7387961250362586,defined,6,6
v0.22,Volkswagen,C,omnibus,1.1666666666666667,0.3726779962499649,0.31943828249996986,0.7578982763068516,defined,6,6
v0.22,Nissan,C,omnibus,0.0,0.0,,,undefined,6,6
v0.22,Pontiac,D,omnibus,0.0,0.0,,,undefined,6,6
v0.22,Oldsmobile,D,omnibus,0.0,0.0,,,undefined,6,6
v0.22,Plymouth,D,omnibus,0.0,0.0,,,undefined,6,6
v0.22,Mercury,D,omnibus,0.0,0.0,,,undefined,6,6
v0.22,Saturn,D,omnibus,0.0,0.0,,,undefined,6,6
v0.19,Audeze,,omnibus,2.5,1.2583057392117916,0.5033222956847166,0.6651933539936831,defined,6,6
v0.19,Audio-Technica,,omnibus,3.6666666666666665,2.3570226039551585,0.6428243465332251,0.6087078037954897,defined,6,6
v0.19,Beyerdynamic,,omnibus,3.6666666666666665,1.7950549357115013,0.4895604370122277,0.6713389904513093,defined,6,6
v0.19,Dan Clark Audio,,omnibus,0.8333333333333334,0.8975274678557507,,,undefined,6,6
v0.19,Denon,,omnibus,0.0,0.0,,,undefined,6,6
v0.19,Final Audio,,omnibus,0.0,0.0,,,undefined,6,6
v0.19,Focal,,omnibus,3.1666666666666665,1.5723301886761007,0.4965253227398213,0.6682145532754579,defined,6,6
v0.19,Grado,,omnibus,1.1666666666666667,0.8975274678557508,0.7693092581620721,0.5651923175029236,defined,6,6
v0.19,HiFiMan,,omnibus,2.1666666666666665,1.0671873729054748,0.49254801826406536,0.6699951946357263,defined,6,6
v0.19,Koss,,omnibus,0.0,0.0,,,undefined,6,6
v0.19,Meze,,omnibus,0.6666666666666666,0.74535599249993,,,undefined,6,6
v0.19,Sennheiser,,omnibus,5.0,2.23606797749979,0.447213595499958,0.6909830056250527,defined,6,6
v0.19,Sony,,omnibus,4.0,2.0,0.5,0.6666666666666666,defined,6,6
v0.19,Spirit Torino,,omnibus,0.0,0.0,,,undefined,6,6
v0.19,Stax,,omnibus,0.6666666666666666,0.4714045207910317,,,undefined,6,6
v0.19,ZMF Headphones,,omnibus,0.16666666666666666,0.372677996249965,,,undefined,6,6
v0.23,S01,,omnibus,0.16666666666666666,0.372677996249965,,,undefined,6,6
v0.23,S02,,omnibus,1.6666666666666667,0.9428090415820634,0.565685424949238,0.6386979044864147,defined,6,6
v0.23,S03,,omnibus,0.8333333333333334,0.372677996249965,,,undefined,6,6
v0.23,S04,,omnibus,1.8333333333333333,1.0671873729054748,0.5821022034029862,0.6320704173529833,defined,6,6
v0.23,S05,,omnibus,1.5,0.9574271077563381,0.6382847385042254,0.6103945037741196,defined,6,6
v0.23,S06,,omnibus,0.3333333333333333,0.4714045207910317,,,undefined,6,6
v0.23,S07,,omnibus,0.0,0.0,,,undefined,6,6
v0.23,S08,,omnibus,0.16666666666666666,0.372677996249965,,,undefined,6,6
v0.23,S09,,omnibus,0.6666666666666666,0.7453559924999299,,,undefined,6,6
v0.23,S10,,omnibus,0.8333333333333334,0.8975274678557507,,,undefined,6,6
v0.23,S11,,omnibus,1.5,1.8929694486000912,1.2619796324000607,0.44209062967510265,defined,6,6
v0.23,S12,,omnibus,0.16666666666666666,0.372677996249965,,,undefined,6,6
v0.23,S13,,omnibus,1.1666666666666667,1.4624940645653537,1.2535663410560174,0.44374109684803054,defined,6,6
v0.23,S14,,omnibus,0.0,0.0,,,undefined,6,6
v0.23,S15,,omnibus,1.6666666666666667,1.1055415967851334,0.66332495807108,0.6012054320159286,defined,6,6
v0.23,S16,,omnibus,0.0,0.0,,,undefined,6,6
v0.23,S17,,omnibus,1.5,1.2583057392117916,0.8388704928078611,0.5438120867734688,defined,6,6
v0.23,S18,,omnibus,0.0,0.0,,,undefined,6,6
v0.23,S19,,omnibus,1.1666666666666667,0.8975274678557507,0.769309258162072,0.5651923175029236,defined,6,6
v0.23,S20,,omnibus,1.5,0.9574271077563381,0.6382847385042254,0.6103945037741196,defined,6,6
v0.23,S21,,omnibus,0.0,0.0,,,undefined,6,6
v0.23,S22,,omnibus,0.6666666666666666,0.74535599249993,,,undefined,6,6
v0.23,S23,,omnibus,0.3333333333333333,0.4714045207910317,,,undefined,6,6
v0.23,S24,,omnibus,0.6666666666666666,0.74535599249993,,,undefined,6,6
v0.18,Maison Francis Kurkdjian,cell_a_designer_niche,supplementary,1.8333333333333333,1.0671873729054748,0.5821022034029862,0.6320704173529833,defined,6,3
v0.18,Le Labo,cell_a_designer_niche,supplementary,2.0,1.0,0.5,0.6666666666666666,defined,6,3
v0.18,Diptyque,cell_a_designer_niche,supplementary,1.1666666666666667,1.0671873729054748,0.9147320339189784,0.5222662922462574,defined,6,3
v0.18,Frederic Malle,cell_a_designer_niche,supplementary,1.6666666666666667,0.9428090415820634,0.565685424949238,0.6386979044864147,defined,6,3
v0.18,Byredo,cell_a_designer_niche,supplementary,2.1666666666666665,1.0671873729054748,0.49254801826406536,0.6699951946357263,defined,6,3
v0.18,Comme des Garçons Parfums,cell_a_designer_niche,supplementary,0.3333333333333333,0.74535599249993,,,undefined,6,3
v0.18,Memo Paris,cell_a_designer_niche,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Etat Libre d'Orange,cell_a_designer_niche,supplementary,0.16666666666666666,0.372677996249965,,,undefined,6,3
v0.18,D.S. & Durga,cell_b_indie_artisan,supplementary,0.3333333333333333,0.4714045207910317,,,undefined,6,3
v0.18,Boy Smells,cell_b_indie_artisan,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Heretic Parfum,cell_b_indie_artisan,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Ellis Brooklyn,cell_b_indie_artisan,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Vyrao,cell_b_indie_artisan,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Henry Rose,cell_b_indie_artisan,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Phlur,cell_b_indie_artisan,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Snif,cell_b_indie_artisan,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Chanel,cell_c_mass_prestige,supplementary,0.8333333333333334,0.37267799624996495,,,undefined,6,3
v0.18,Dior,cell_c_mass_prestige,supplementary,0.6666666666666666,0.4714045207910317,,,undefined,6,3
v0.18,YSL,cell_c_mass_prestige,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Tom Ford,cell_c_mass_prestige,supplementary,1.0,0.816496580927726,0.816496580927726,0.5505102572168219,defined,6,3
v0.18,Givenchy,cell_c_mass_prestige,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Versace,cell_c_mass_prestige,supplementary,0.16666666666666666,0.372677996249965,,,undefined,6,3
v0.18,Marc Jacobs,cell_c_mass_prestige,supplementary,0.0,0.0,,,undefined,6,3
v0.18,Calvin Klein,cell_c_mass_prestige,supplementary,0.0,0.0,,,undefined,6,3
