brand,category,region,t1_n_days_total,t1_n_nonzero_days,t1_mean,t1_sd,t1_min,t1_max,t1_raw_mean,t1_raw_sd,t1_eligible_E1b,t1_raw_eligible,t1_sparse_E5,t2_n_days_total,t2_n_nonzero_days,t2_mean,t2_sd,t2_min,t2_max,t2_raw_mean,t2_raw_sd,t2_eligible_E1b,t2_raw_eligible,t2_sparse_E5
EveryDollar,finance,worldwide,7,7,37.67,6.51,33.33,50.0,2.43,0.53,True,True,False,7,7,44.69,5.07,40.0,50.0,2.43,0.53,True,True,False
EveryDollar,finance,US,7,7,54.07,5.59,46.15,60.87,14,1.63,True,True,False,7,7,60.56,5.46,50.0,66.67,13.86,2.73,True,True,False
First Aid Beauty,skincare,worldwide,7,7,1.88,0.62,1.35,2.7,1.43,0.53,True,True,False,7,7,1.83,0.71,1.0,2.6,1.43,0.53,True,True,False
First Aid Beauty,skincare,US,7,7,5.5,0.58,4.49,6.12,5,0.58,True,True,False,7,7,5.51,0.81,4.3,6.74,5,0.58,True,True,False
Glossier,skincare,worldwide,7,7,8.46,0.43,7.89,9.21,6.43,0.53,True,True,False,7,7,8.19,1.54,6.0,11.11,6.43,0.79,True,True,False
Glossier,skincare,US,7,7,20.3,1.55,18.48,22.5,18,1.41,True,True,False,7,7,20.02,1.25,18.09,21.11,18.29,1.7,True,True,False
Goodbudget,finance,worldwide,7,7,7.31,2.58,5.81,13.04,5.14,1.77,True,True,False,7,7,6.72,0.89,5.45,7.81,4.14,1.07,True,True,False
Goodbudget,finance,US,7,7,4.56,0.96,3.57,6.12,2.43,0.53,True,True,False,7,7,4.14,1.35,2.38,6.12,2,0.82,True,True,False
Kiehl's,skincare,worldwide,7,7,2.99,0.88,1.32,3.95,2.29,0.76,True,True,False,7,7,2.53,0.76,1.33,3.8,2,0.58,True,True,False
Kiehl's,skincare,US,7,7,2.43,1.04,1.09,3.75,2.14,0.9,True,True,False,7,7,1.41,0.85,1.0,3.33,1.29,0.76,True,True,False
La Mer,skincare,worldwide,7,7,8.66,0.68,7.89,9.86,6.57,0.53,True,True,False,7,7,8.14,0.88,7.0,9.72,6.43,0.53,True,True,False
La Mer,skincare,US,7,7,10.01,1.21,8.7,12.35,8.86,0.9,True,True,False,7,7,10.02,0.92,8.89,11.63,9.14,0.9,True,True,False
La Roche-Posay,skincare,worldwide,7,7,118.81,7.39,110.81,129.03,79.43,4.24,True,True,False,7,7,111.12,6.35,104.35,120.9,79.43,9.88,True,True,False
La Roche-Posay,skincare,US,7,7,68.02,4.13,62.22,74.07,60.29,2.93,True,True,False,7,7,65.51,3.14,62.22,70.93,59.71,2.43,True,True,False
Lancôme,skincare,worldwide,7,7,4.5,0.48,3.95,5.26,3.43,0.53,True,True,False,7,7,4.33,0.64,3.75,5.41,3.43,0.53,True,True,False
Lancôme,skincare,US,7,7,3.72,0.68,3.12,4.94,3.29,0.49,True,True,False,7,7,3.59,0.41,3.19,4.3,3.29,0.49,True,True,False
Lunch Money,finance,worldwide,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Lunch Money,finance,US,7,7,3.89,0.41,3.12,4.35,1,0.0,True,False,False,7,7,4.48,0.63,3.7,5.56,1,0.0,True,False,False
Mint,finance,worldwide,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Mint,finance,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Monarch Money,finance,worldwide,7,4,14.29,17.82,0.0,50.0,0.86,1.07,True,True,False,7,3,7.99,10.49,0.0,25.0,0.43,0.53,True,True,True
Monarch Money,finance,US,7,7,21.12,21.6,3.12,60.87,5.14,4.95,True,True,False,7,4,11.29,16.14,0.0,36.0,2.86,4.22,True,True,False
Murad,skincare,worldwide,7,7,3.77,0.51,2.78,4.23,2.86,0.38,True,True,False,7,7,3.81,0.39,3.0,4.17,3,0.0,True,False,False
Murad,skincare,US,7,7,6.77,0.69,5.56,7.5,6,0.58,True,True,False,7,7,5.8,0.57,5.32,6.98,5.29,0.49,True,True,False
NerdWallet,finance,worldwide,7,7,123.46,13.39,111.76,150.0,17.14,1.21,True,True,False,7,7,149.21,12.68,128.57,163.64,17.57,1.13,True,True,False
NerdWallet,finance,US,7,7,159.85,24.94,127.27,187.5,14,1.53,True,True,False,7,7,173.24,17.09,155.56,200.0,13.57,1.99,True,True,False
Neutrogena,skincare,worldwide,7,7,5.11,0.68,4.41,6.25,3.43,0.53,True,True,False,7,7,10.11,8.57,5.8,29.47,8,8.83,True,True,False
Neutrogena,skincare,US,7,7,4.52,0.32,4.17,5.0,4,0.0,True,False,False,7,7,5.32,0.68,4.44,6.38,4.86,0.69,True,True,False
Olay,skincare,worldwide,7,7,17.13,0.65,16.28,18.31,13,0.82,True,True,False,7,7,20.5,7.42,15.19,37.0,16.86,8.93,True,True,False
Olay,skincare,US,7,7,28.46,2.26,25.56,32.26,25.29,2.69,True,True,False,7,7,29.25,2.72,25.56,33.33,26.71,3.09,True,True,False
Origin,finance,worldwide,7,7,465.74,58.41,418.75,553.33,71.57,10.88,True,True,False,7,7,568.79,95.1,460.0,700.0,73.57,4.96,True,True,False
Origin,finance,US,7,7,146.92,28.15,115.38,181.82,15.57,2.51,True,True,False,7,7,191.59,36.21,154.55,257.14,17.14,1.21,True,True,False
Origins,skincare,worldwide,7,7,3.37,0.55,2.78,3.95,2.57,0.53,True,True,False,7,7,3.3,0.89,2.0,4.17,2.57,0.53,True,True,False
Origins,skincare,US,7,7,4.52,0.32,4.17,5.0,4,0.0,True,False,False,7,7,4.23,0.46,3.33,4.65,3.86,0.38,True,True,False
Paula's Choice,skincare,worldwide,7,7,10.15,0.66,9.3,11.25,7.71,0.76,True,True,False,7,7,9.21,0.65,8.0,10.0,7.29,0.49,True,True,False
Paula's Choice,skincare,US,7,7,11.72,0.6,10.64,12.35,10.14,0.38,True,True,False,7,7,10.46,0.94,9.47,12.05,9.43,0.53,True,True,False
PocketGuard,finance,worldwide,7,7,5.49,0.68,4.48,6.35,3.86,0.38,True,True,False,7,7,6.53,2.67,5.08,12.5,4,1.83,True,True,False
PocketGuard,finance,US,7,7,4.79,0.69,4.08,5.56,2.57,0.53,True,True,False,7,7,5.05,1.29,2.63,6.38,2.43,0.79,True,True,False
Quicken,finance,worldwide,7,7,500.29,89.62,328.57,588.24,70.29,17.11,True,True,False,7,7,559.9,128.16,340.0,672.73,67.29,19.46,True,True,False
Quicken,finance,US,7,7,803.48,131.67,587.5,922.22,71.57,16.86,True,True,False,7,7,867.6,163.47,583.33,1000.0,69.57,20.4,True,True,False
Rocket Money,finance,worldwide,7,7,73.4,8.25,66.28,90.48,51.57,4.2,True,True,False,7,7,77.96,6.09,67.95,84.75,47.43,6.95,True,True,False
Rocket Money,finance,US,7,7,115.01,13.14,98.46,134.04,60.86,3.13,True,True,False,7,7,123.91,7.16,114.29,132.65,58.43,8.14,True,True,False
SK-II,skincare,worldwide,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
SK-II,skincare,US,7,2,0.3,0.52,0.0,1.08,0.29,0.49,True,True,True,7,4,0.62,0.58,0.0,1.16,0.57,0.53,True,True,False
Skinceuticals,skincare,worldwide,7,7,13.95,0.88,12.79,15.49,10.57,0.53,True,True,False,7,7,13.06,1.44,10.0,14.29,10.29,0.49,True,True,False
Skinceuticals,skincare,US,7,7,20.97,1.26,19.57,23.17,18.14,0.69,True,True,False,7,7,19.92,0.92,18.39,20.88,18,1.15,True,True,False
Sunday Riley,skincare,worldwide,7,7,1.32,0.09,1.16,1.41,1,0.0,True,False,False,7,7,1.27,0.13,1.0,1.39,1,0.0,True,False,False
Sunday Riley,skincare,US,7,7,3.23,0.51,2.22,3.75,2.86,0.38,True,True,False,7,7,2.82,0.58,2.13,3.49,2.57,0.53,True,True,False
Tatcha,skincare,worldwide,7,7,5.65,0.67,5.0,7.04,4.29,0.49,True,True,False,7,7,5.45,0.93,4.0,6.94,4.29,0.49,True,True,False
Tatcha,skincare,US,7,7,14.8,0.92,13.33,16.05,13.14,1.07,True,True,False,7,7,14.7,0.79,13.83,16.13,13.43,1.13,True,True,False
The Ordinary,skincare,worldwide,7,7,76.14,4.65,68.6,81.94,57.71,2.98,True,True,False,7,7,68.07,7.98,53.0,79.17,53.57,2.15,True,True,False
The Ordinary,skincare,US,7,7,65.97,4.54,60.87,72.84,58.43,2.64,True,True,False,7,7,60.13,3.43,53.19,63.44,54.86,3.8,True,True,False
Tiller,finance,worldwide,7,7,6.57,0.77,5.0,7.14,1,0.0,True,False,False,7,7,7.7,0.93,6.67,9.09,1,0.0,True,False,False
Tiller,finance,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Vanicream,skincare,worldwide,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Vanicream,skincare,US,7,7,1.13,0.08,1.04,1.25,1,0.0,True,False,False,7,7,1.55,0.53,1.08,2.22,1.43,0.53,True,True,False
YNAB,finance,worldwide,7,7,100.0,0.0,100.0,100.0,14,1.63,False,True,False,7,7,100.0,0.0,100.0,100.0,11.86,1.35,False,True,False
YNAB,finance,US,7,7,100.0,0.0,100.0,100.0,8.86,1.07,False,True,False,7,7,100.0,0.0,100.0,100.0,7.86,1.07,False,True,False
Youth to the People,skincare,worldwide,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
Youth to the People,skincare,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True
