brand,category,region,t1_n_days_total,t1_n_nonzero_days,t1_mean,t1_sd,t1_min,t1_max,t1_raw_mean,t1_raw_sd,t1_eligible_E1b,t1_raw_eligible,t1_sparse_E5,t2_n_days_total,t2_n_nonzero_days,t2_mean,t2_sd,t2_min,t2_max,t2_raw_mean,t2_raw_sd,t2_eligible_E1b,t2_raw_eligible,t2_sparse_E5
Smith Teamaker,premium_tea,US,7,6,12.09,5.85,0.0,18.18,6.29,2.93,True,True,False,7,7,12.23,2.84,7.55,15.91,6.57,1.62,True,True,False
TWG Tea,premium_tea,worldwide,7,7,23.39,1.46,20.93,25.61,20,1.83,True,True,False,7,7,24.91,1.39,23.17,26.51,21.29,1.98,True,True,False
TWG Tea,premium_tea,US,7,6,10.2,4.62,0.0,13.79,7,3.16,True,True,False,7,7,10.78,2.29,8.57,13.79,7.57,1.27,True,True,False
Tea Box,premium_tea,worldwide,7,7,166.74,53.72,127.59,285.71,51.43,21.72,True,True,False,7,7,169.35,20.47,139.29,193.33,51.14,7.8,True,True,False
Tea Box,premium_tea,US,7,7,428.17,181.92,309.09,833.33,40.29,26.47,True,True,False,7,7,406.63,48.66,350.0,475.0,35.29,6.37,True,True,False
Tea Pigs,premium_tea,worldwide,7,6,3.39,1.93,0.0,6.67,1,0.58,True,True,False,7,7,4.73,1.72,3.33,7.14,1.43,0.53,True,True,False
Tea Pigs,premium_tea,US,7,6,10.28,4.81,0.0,14.29,0.86,0.38,True,True,False,7,7,11.76,1.86,8.33,14.29,1,0.0,True,False,False
Twinings,premium_tea,worldwide,7,7,100.0,0.0,100.0,100.0,85.57,6.92,False,True,False,7,7,100.0,0.0,100.0,100.0,85.43,6.24,False,True,False
Twinings,premium_tea,US,7,7,100.0,0.0,100.0,100.0,73.57,14.51,False,True,False,7,7,100.0,0.0,100.0,100.0,71.57,13.09,False,True,False
Whittard of Chelsea,premium_tea,worldwide,7,7,4.61,2.13,3.23,8.57,1.43,0.79,True,True,False,7,7,5.66,1.52,3.45,6.9,1.71,0.49,True,True,False
Whittard of Chelsea,premium_tea,US,7,0,0.0,0.0,0.0,0.0,0,0.0,False,False,True,7,1,1.79,4.72,0.0,12.5,0.14,0.38,True,True,True
Yunnan Sourcing,premium_tea,worldwide,7,6,2.76,1.38,0.0,3.85,2.29,1.11,True,True,False,7,7,3.35,0.48,2.41,3.75,2.86,0.38,True,True,False
Yunnan Sourcing,premium_tea,US,7,6,9.96,5.25,0.0,15.38,6.71,3.25,True,True,False,7,7,11.81,1.83,9.09,13.79,8.29,0.76,True,True,False
